RecordID,Name,NameAlphabetized,Name - HOO,OperationalStatus,PreliminaryOrganizationType,Description,URL,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,PrincipalOfficerName,PrincipalOfficerTitle,PrincipalOfficerContactURL,Notes,InstanceOf,NYC.gov Agency Directory,Name - CPO,Name - Checkbook,Name - Greenbook,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov
FINAL_REC_000138,Department of Citywide Administrative Services,"Citywide Administrative Services, Department of","Citywide Administrative Services, Department of (DCAS)",Active,Mayoral Agency,,https://www.nyc.gov/site/dcas/index.page,,DCAS,,,,1996.0,Louis Molina,,https://www.nyc.gov/nyc-resources/mail/dcas-email-the-commissioner.page,,,True,,,,,,,,Department of Citywide Administrative Services,
FINAL_REC_000139,Department of Consumer and Worker Protection,"Consumer and Worker Protection, Department of","Consumer and Worker Protection, Department of (DCWP)",Active,Mayoral Agency,The NYC Department of Consumer and Worker Protection (DCWP)—formerly the Department of Consumer Affairs (DCA)—protects and enhances the daily economic lives of New Yorkers to create thriving communities.,https://www.nyc.gov/site/dca/index.page,Department of Consumer Affairs,DCWP,DCA,866.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Consumer+and+Worker+Protection+%28DCWP%29,1969.0,Vilda Vera Mayuga,Commissioner,https://www.nyc.gov/site/dca/about/email-the-commissioner.page,,,True,Department of Consumer and Worker Protection,Department of Consumer & Worker Protection,Consumer and Worker Protection,Department of Consumer and Worker Protection (DCWP),"Consumer and Worker Protection, Department of (DCWP)","Consumer and Worker Protection, Department of (DCWP)",Department of Consumer and Worker Protection (DCWP),Department of Consumer and Worker Protection,Department of Consumer and Worker Protection
FINAL_REC_000140,Department of Correction,"Correction, Department of","Correction, Department of (DOC)",Active,Mayoral Agency,"The Department of Correction operates ten jails on Rikers Island and additional facilities and court pens throughout the city.  It houses an average daily population of approximately 12,500 inmates.",https://www.nyc.gov/site/doc/index.page,,DOC,,72.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Correction+%28DOC%29,1895.0,Lynelle Maginley-Liddie,Commissioner,https://www.nyc.gov/site/doc/about/contact-the-commissioner.page,,,True,Department of Correction,Department of Correction,"Correction, Department of",Department of Correction (DOC),"Correction, Department of (DOC)","Correction, Department of (DOC)",Department of Correction (DOC),Department of Correction,Department of Correction
FINAL_REC_000141,Department of Cultural Affairs,"Cultural Affairs, Department of","Cultural Affairs, Department of (DCLA)",Active,Mayoral Agency,"The Department of Cultural Affairs (DCLA) ensures that cultural activities are an integral part of New York City’s civic and economic life by providing support, advocacy and technical assistance for the City’s cultural community. DCLA’s constituency consists of the 34 City-owned cultural institutions comprising the Cultural Institutions Group (CIG) and more than 1,500 other not-for-profit organizations serving constituencies in all neighborhoods of the City. DCLA also provides donated materials for arts programs offered by the public schools and cultural and social service groups, and commissions works of public art at Cityfunded construction projects throughout the City.",https://www.nyc.gov/site/dcla/index.page,,DCLA,,126.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Cultural+Affairs+%28DCLA%29,1962.0,Laurie Cumbo,Commissioner,https://www.nyc.gov/site/dcla/about/email-the-commissioner.page,,,True,Department of Cultural Affairs,Department of Cultural Affairs,Cultural Affairs,Department of Cultural Affairs (DCLA),"Cultural Affairs, Department of (DCLA)","Cultural Affairs, Department of (DCLA)",Department of Cultural Affairs (DCLA),Department of Cultural Affairs,Department of Cultural Affairs
FINAL_REC_000142,Department of Design and Construction,"Design and Construction, Department of","Design and Construction, Department of (DDC)",Active,Mayoral Agency,"The Department of Design and Construction (DDC) currently manages a design and construction portfolio of over $4.6 billion of the City's capital construction projects. Projects range from streets, highways, sewers and water mains to public safety, health and human service facilities, as well as cultural institutions and libraries. Through a combination of in-house staff and private consultants and contractors, the Department delivers quality, cost-effective projects in a safe and efficient manner.",https://www.nyc.gov/site/ddc/index.page,,DDC,,850.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Design+and+Construction+%28DDC%29,1996.0,Thomas Foley,Commissioner,https://www.nyc.gov/site/ddc/about/contact-form.page?recipient=Thomas%20Foley,,,True,Department of Design and Construction,Department of Design and Construction,Design and Construction,Department of Design and Construction (DDC),"Design and Construction, Department of (DDC)","Design and Construction, Department of (DDC)",Department of Design and Construction (DDC),Department of Design & Construction,Department of Design and Construction
FINAL_REC_000143,Department of Education,"Education, Department of","Education, Department of (DOE)",Active,Mayoral Agency,"The New York City Department of Education is the largest system of public schools in the United States, serving about 1.1 million students in over 1,700 schools.",https://www.schools.nyc.gov/,,DOE,,40.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Education+%28DOE%29,1847.0,Melissa Aviles Ramos,Chancellor,https://www.schools.nyc.gov/get-help,,,True,,Department of Education,Education,Department of Education (DOE),"Education, Department of (DOE)","Education, Department of (DOE)",Department of Education (DOE),Department of Education,Department of Education
FINAL_REC_000144,Department of Environment Protection,"Environmental Protection, Department of","Enviormental Protection, Department of (DEP)",Active,Mayoral Agency,"The NYC DEP protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous substances pollution.",https://www.nyc.gov/site/dep/index.page,,DEP,,826.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Environmental+Protection+%28DEP%29,1977.0,Rohit Aggarwala,Commissioner,https://www.nyc.gov/nyc-resources/mail/dep-email-the-commissioner.page,,,True,Department of Environmental Protection,Department of Environmental Protection,Environmental Protection,Department of Environmental Protection (DEP),"Environmental Protection, Department of (DEP)","Environmental Protection, Department of (DEP)",Department of Environmental Protection (DEP),Department of Environment Protection,Department of Environmental Protection
FINAL_REC_000145,Department of Finance,"Finance, Department of","Finance, Department of (DOF)",Active,Mayoral Agency,"We collect revenue, value property, record property documents, administer tax benefits, adjudicate parking tickets, advise the Mayor on pension issues, and are the chief civil law enforcement officer.",https://www.nyc.gov/site/finance/index.page,,DOF,,836.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Finance+%28DOF%29,,Preston Niblack,Commissioner,https://www.nyc.gov/site/finance/about/contact-by-email/contact-us-general-correspondence.page,,,True,Department of Finance,Department of Finance,Finance,Department of Finance (DOF),"Finance, Department of (DOF)","Finance, Department of (DOF)",Department of Finance (DOF),Department of Finance,Department of Finance
FINAL_REC_000146,Department of Health and Mental Hygiene,"Health and Mental Hygiene, Department of","Health and Mental Hygiene, Department of (DOHMH)",Active,Mayoral Agency,The Department of Health and Mental Hygiene (DOHMH) protects and promotes the health and mental well being of all New Yorkers.,https://www.nyc.gov/site/doh/index.page,NYC Health; Health Department,DOHMH,DOH,816.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Health+and+Mental+Hygiene+%28DOHMH%29,1870.0,Michelle Morse,Commissioner,https://www.nyc.gov/assets/home/mail/html/maildoh.html,,,True,Department of Health and Mental Hygiene,Department of Health and Mental Hygiene,"Health & Mental Hygiene, Department of",Department of Health and Mental Hygiene (DOHMH),"Health and Mental Hygiene, Department of (DOHMH)","Health and Mental Hygiene, Department of (DOHMH)",Department of Health and Mental Hygiene (DOHMH),Department of Health and Mental Hygiene,Department of Health and Mental Hygiene
FINAL_REC_000147,Department of Information Technology and Telecommunications,"Information Technology and Telecommunications, Department of",,Reorganized,Mayoral Agency,,,,,,,,,,,,,,False,,Department of Information Technology and Telecommunications,,,,,,,
FINAL_REC_000148,Department of Investigation,"Investigation, Department of","Investigation, Department of (DOI)",Active,Mayoral Agency,"DOI is NYC's watchdog, exposing and stopping corruption, and referring for prosecution City employees, contractors, and others who engage in fraudulent activities against the City and its taxpayers.",http://www.nyc.gov/doi,,DOI,,32.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Investigation+%28DOI%29,1873.0,Jocelyn Strauber,Commissioner,Contact - Department of Investigation (nyc.gov),,,True,Department of Investigation,Department of Investigation,Investigation,Department of Investigation (DOI),"Investigation, Department of (DOI)","Investigation, Department of (DOI)",Department of Investigation (DOI),Department of Investigation,Department of Investigation
FINAL_REC_000149,Department of Parks and Recreation,"Parks and Recreation, Department of","Parks and Recreation, Department of (DPR)",Active,Mayoral Agency,"We oversee parks, athletic fields, playgrounds, public pools, golf courses, and beaches. We look after 650,000 street trees, and are providers of recreational and athletic facilities and programs.",https://www.nycgovparks.org/,NYC Parks,DPR,Parks,846.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Parks+and+Recreation+%28DPR%29,1934.0,Sue Donoghue,Commissioner,https://www.nyc.gov/assets/home/mail/html/maildpr.html,,,False,Department of Parks and Recreation,Department of Parks and Recreation,"Parks, NYC",Department of Parks and Recreation (DPR),"Parks and Recreation, Department of (DPR)","Parks and Recreation, Department of (DPR)",Department of Parks and Recreation (PARKS),Department of Parks & Recreation,Department of Parks and Recreation
FINAL_REC_000150,Department of Probation,"Probation, Department of","Probation, Department of (DOP)",Active,Mayoral Agency,"DOP helps build stronger and safer communities by expanding opportunities for probation clients to seek meaningful education, employment, health services, family engagement and civic participation.",https://www.nyc.gov/site/probation/index.page,,DOP,,781.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Probation+%28DOP%29,1974.0,Juanita Holmes,Commissioner,https://www.nyc.gov/nyc-resources/mail/dop-email-the-commissioner.page,,,True,Department of Probation,Department of Probation,Probation,Department of Probation (DOP),"Probation, Department of (DOP)","Probation, Department of (DOP)",Department of Probation (DOP),Department of Probation,Department of Probation
FINAL_REC_000151,Department of Records and Information Service,"Records and Information Services, Department of","Records and Information Services, Department of (DORIS)",Active,Mayoral Agency,"The Department of Records and Information Services preserves and maintains the City’s records and publications through the Municipal Archives, the Municipal Records Management Division, and the City Hall Library. The Department currently responds to more than 65,000 requests annually and provides the public and City agencies access to approximately 160,000 cubic feet of historically valuable City records and photos, and a unique collection of nearly 260,000 books, official government reports, studies and other publications. Through its Web site, the Department also provides electronic access to official reports issued by New York City government agencies.",https://www.nyc.gov/site/records/index.page,,DORIS,DoRIS,860.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Records+and+Information+Services+%28DORIS%29,1977.0,Pauline Toole,Commissioner,https://www.nyc.gov/site/records/about/email-the-commissioner.page,,,True,Department of Records and Information Services,Department of Records and Information Services,Records & Information Services,Department of Records and Information Services (DORIS),"Records and Information Services, Department of (DORIS)","Records and Information Services, Department of (DORIS)",Department of Records and Information Services (DORIS),Department of Records & Information Service,Department of Records and Information Services
FINAL_REC_000152,Department of Sanitation,"Sanitation, Department of","Sanitation, Department of (DSNY)",Active,Mayoral Agency,"DSNY manages NYC’s municipal and residential solid waste, both refuse and recyclables; clears snow & ice; cleans vacant lots, enforces sanitation laws and removes abandoned vehicles from city streets.",https://www.nyc.gov/site/dsny/index.page,,DSNY,,827.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Sanitation+%28DSNY%29,1881.0,Javier Lojan,Commissioner,https://www.nyc.gov/site/dsny/about/contact.page,,,True,Department of Sanitation,Department of Sanitation,Sanitation,Department of Sanitation (DSNY),"Sanitation, Department of (DSNY)","Sanitation, Department of (DSNY)",Department of Sanitation (DSNY),Department of Sanitation,Department of Sanitation
FINAL_REC_000153,Department of Small Business Services,"Small Business Services, Department of",Small Business Services (SBS),Active,Mayoral Agency,"SBS makes it easier for businesses to start, operate and grow by providing direct assistance to business owners, linking employers to a qualified workforce, and fostering neighborhood development. ",https://www.nyc.gov/site/sbs/index.page,,SBS,,801.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Small+Business+Services+%28SBS%29,1980.0,Dynishal Gross,Commissioner,https://www.nyc.gov/site/sbs/about/email-the-commissioner.page,,,True,Department of Small Business Services,Department of Small Business Services,Small Business Services,Department of Small Business Services (SBS),Small Business Services (SBS),Small Business Services (SBS),Department of Small Business Services (SBS),Department of Small Business Services,Department of Small Business Services
FINAL_REC_000154,Department of Social Services,"Social Services, Department of",Department of Social Services (DSS),Active,Mayoral Agency,The Department of Social Services (DSS) is comprised of the administrative units of the NYC Human Resources Administration (HRA) and the Department of Homeless Services (DHS).,https://www.nyc.gov/site/dss/index.page,,DSS,,69.0,,2019.0,Molly Park,Commissioner,https://www.nyc.gov/assets/home/mail/html/mailhra.html,,,True,Department of Social Services,Department of Social Services,,,Department of Social Services (DSS),Department of Social Services (DSS),Department of Social Services (DSS),Department of Social Services,Department of Social Services
FINAL_REC_000155,Department of Homeless Services,"Homeless Services, Department of","Homeless Services, Department of (DHS)",Active,Division,"The mission of the Department of Homeless Services (DHS) is to prevent homelessness when possible and to provide short-term, emergency shelter for individuals and families who have no other housing options available.",https://www.nyc.gov/site/dhs/index.page,,DHS,,71.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Homeless+Services+%28DHS%29,1993.0,Joslyn Carter,Administrator,https://www.nyc.gov/assets/home/mail/html/maildhs.html,,,True,,Department of Homeless Services,"Homeless Services, Department of",Department of Homeless Services (DHS),"Homeless Services, Department of (DHS)","Homeless Services, Department of (DHS)",Department of Homeless Services (DHS),Department of Social Services - Department of Homeless Services,Department of Homeless Services
FINAL_REC_000156,Human Resources Administration,Human Resources Administration,Human Resources Administration (HRA),Active,Division,HRA works to end poverty and income inequality in New York City by connecting New Yorkers in need with a variety of essential services such as Food Stamps and Cash Assistance.,https://www.nyc.gov/site/hra/index.page,,HRA,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Human+Resources+Administration+%28HRA%29,1966.0,Scott French,Commissioner,https://www.nyc.gov/assets/home/mail/html/mailhra.html,,,True,,,Human Resources Administration / Department of Social Services,Human Resources Administration (HRA),Human Resources Administration (HRA),Human Resources Administration (HRA),Human Resources Administration (HRA),Department of Social Services - Human Resources Administration,Human Resources Administration
FINAL_REC_000157,Department of Transportation,"Transportation, Department of","Transportation, Department of (DOT)",Active,Mayoral Agency,"DOT provides for the safe and efficient movement of people and goods in New York City. The agency maintains bridges, tunnels, streets, sidewalks and bike lanes, and operates the Staten Island Ferry.",https://www.nyc.gov/html/dot/html/home/home.shtml,,NYC DOT,DOT,841.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Transportation+%28DOT%29,1977.0,Ydanis Rodriguez,Commissioner,https://www.nyc.gov/html/dot/html/contact/contact-form.shtml,,,True,Department of Transportation,Department of Transportation,Transportation,Department of Transportation (DOT),"Transportation, Department of (DOT)","Transportation, Department of (DOT)",Department of Transportation (DOT),Department of Transportation,Department of Transportation
FINAL_REC_000158,Department of Veterans' Services,"Veterans' Services, Department of","Veterans' Service, Department of (DVS)",Active,Mayoral Agency,The Department of Veterans' Services advises the Mayor on issues and projects impacting the veterans' community.,https://www.nyc.gov/site/veterans/index.page,,DVS,,63.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Veterans%27+Services+%28DVS%29,1945.0,James Hendon,Commissioner,https://www.nyc.gov/site/veterans/contact/contact.page,,,True,Department of Veteran Services,Department of Veterans' Services,"Veterans' Services, Department of",Department of Veterans’ Services (DVS),"Veterans' Services, Department of (DVS)","Veterans' Services, Department of (DVS)",Department of Veterans' Services (DVS),Department of Veteran's Services,Department of Veterans' Services
FINAL_REC_000159,Department of Youth and Community Development,"Youth and Community Development, Department of","Youth and Community Development, Department of (DYCD)",Active,Mayoral Agency,"The Department of Youth and Community Development (DYCD) was created in 1996 to provide the City of New York with high-quality youth and family programming. Our central task is administering available City, state, and federal funds to effective community-based organizations. ",https://www.nyc.gov/site/dycd/index.page,,DYCD,,260.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Youth+and+Community+Development+%28DYCD%29,1996.0,Keith Howard,Commissioner,https://www.nyc.gov/site/dycd/about/contact/email-the-commissioner.page,,,True,Department of Youth and Community Development,Department of Youth and Community Development,Youth and Community Development,Department of Youth and Community Development (DYCD),"Youth and Community Development, Department of (DYCD)","Youth and Community Development, Department of (DYCD)",Department of Youth and Community Development (DYCD),Department of Youth & Community Development,Department of Youth and Community Development
FINAL_REC_000160,Deputy Chief Administrative Judge for the New York City Courts,Deputy Chief Administrative Judge for the New York City Courts,,Active,Judiciary,,,,,,,,2021.0,,,,,,False,,,Deputy Chief Administrative Judge for the New York City Courts,,,,,,
FINAL_REC_000161,Deputy Mayor of Health and Human Services,"Health and Human Services, Deputy Mayor for",Mayor's Office - Deputy Mayor for Health and Human Services,Active,Mayoral Office,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,DMHHS,,,,2022.0,Anne Williams-Isom,Deputy Mayor for Health and Human Services,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,,True,Deputy Mayor for Health and Human Services,,,,,Office of the Deputy Mayor for Health and Human Services,Deputy Mayor for Health and Human Services (DMHHS),Deputy Mayor of Health & Human Services,
FINAL_REC_000162,Deputy Mayor of Housing Economic and Workforce Development,"Housing, Economic Development and Workforce, Deputy Mayor for",Mayor's Office - Deputy Mayor for Economic and Workforce Development,Active,Mayoral Office,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,DMEWD,,,,2021.0,Adolfo Carrión Jr.,Deputy Mayor for Economic and Workforce Development,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,,True,Deputy Mayor for Economic and Workforce Development,,,,,Office of the Deputy Mayor for Economic and Workforce Development,Deputy Mayor for Economic and Workforce Development (DMEWD),Deputy Mayor of Housing Economic & Workforce Development,
FINAL_REC_000163,Deputy Mayor of Operations,"Operations, Deputy Mayor for",Mayor's Office - Deputy Mayor for Operations,Active,Mayoral Office,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,DMOPS,,,,1977.0,Meera Joshi,Deputy Mayor for Operations,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,,True,Deputy Mayor for Operations,,,,,Office of the Deputy Mayor for Operations,Deputy Mayor for Operations (DMOPS),Deputy Mayor of Operations,
FINAL_REC_000164,Deputy Mayor of Public Safety,"Public Safety, Deputy Mayor for",Mayor's Office - Deputy Mayor for Public Safety,Active,Mayoral Office,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,DMPS,,,,1990.0,Suzanne Miles-Gustave,Deputy Mayor for Public Safety,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,,True,Deputy Mayor for Public Safety,,,,,Office of the Deputy Mayor for Public Safety,Deputy Mayor for Public Safety (DMPS),Deputy Mayor of Public Safety,Deputy Mayor for Public Safety
FINAL_REC_000165,Deputy Mayor of Strategic Initiatives,"Strategic Initiatives, Deputy Mayor for",Mayor's Office - Deputy Mayor for Strategic Intitiatives,Active,Mayoral Office,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,DMSI,,,,2014.0,Ana Almanzar,Deputy Mayor for Strategic Initiatives,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,,True,Deputy Mayor for Strategic Initiatives,,,,,Office of the Deputy Mayor for Strategic Initiatives,Deputy Mayor for Strategic Initiatives (DMSI),Deputy Mayor of Strategic Initiatives,
FINAL_REC_000166,Deputy Mayor for Communications,"Communications, Deputy Mayor for",Mayor's Office - Deputy Mayor for Communications,Active,Mayoral Office,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,,Fabien Levy,Deputy Mayor for Communications,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,,True,,,,,,,,Director of Communications,
FINAL_REC_000167,Disconnected Youth Task Force,Disconnected Youth Task Force,,Dissolved,"Advisory, Oversight, or Regulatory Body",,https://www1.nyc.gov/site/youthemployment/initiatives/disconnected-youth-task-force.page,,,,,,,,,,,,False,,,,,,,,Disconnected Youth Task Force,
FINAL_REC_000168,Bronx County District Attorney's Office,District Attorney - Bronx County,District Attorney- Bronx County,Active,Elected Office,,https://www.bronxda.nyc.gov/html/home/home.shtml,,,,,,,Darcel D. Clark,,https://www.bronxda.nyc.gov/html/contact/contact.shtml,,District Attorney's Office,True,,,,,,,,District Attorney - Bronx County,
FINAL_REC_000169,Brooklyn District Attorney's Office,District Attorney - Brooklyn,District Attorney- Kings County (Brooklyn),Active,Elected Office,,http://www.brooklynda.org/,District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County,,,,,,,,http://brooklynda.org/das-action-center/,,District Attorney's Office,True,,,,,,,,District Attorney - Kings County (Brooklyn),
FINAL_REC_000170,Manhattan District Attorney's Office,District Attorney - Manhattan,District Attorney- New York County (Manhattan),Active,Elected Office,,https://manhattanda.org/,District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County,,,,,,,,https://manhattanda.org/contact-us/,,District Attorney's Office,True,,,,,,,,District Attorney - New York County (Manhattan),
FINAL_REC_000171,Queens District Attorney's Office,District Attorney - Queens County,District Attorney- Queens County,Active,Elected Office,,https://queensda.org/,,,,,,,Melinda Katz,,https://queensda.org/contact-us/,,District Attorney's Office,True,,,,,,,,District Attorney - Queens County,
FINAL_REC_000172,Office of the District Attorney Richmond County,District Attorney - Richmond County,District Attorney- Richmond County (Staten Island),Active,Elected Office,,https://www.statenislandda.org/,District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island,,,,,,,,https://www.statenislandda.org/contact/,,District Attorney's Office,True,,,,,,,,District Attorney - Richmond County (Staten Island),
FINAL_REC_000173,District Attorneys,District Attorneys,,Duplicate,Elected Office,,,,,,,,1801.0,,,,,,False,,,District Attorney,,,,,,
FINAL_REC_000174,Domestic Violence Fatality Review Committee,Domestic Violence Fatality Review Committee,,Active,"Advisory, Oversight, or Regulatory Body",,https://www1.nyc.gov/site/ocdv/press-resources/fatality-review-committee.page,,,,,,,,,,,,True,,,,,,,,Domestic Violence Fatality Review Committee,
FINAL_REC_000175,Downtown Brooklyn Partnership,Downtown Brooklyn Partnership,,Active,Non-Governmental Organization,,https://www.downtownbrooklyn.com/,,DBP,,,,2004.0,,,,,,False,,,,,,,Downtown Brooklyn Partnership (DBP),,
FINAL_REC_000176,Drug Strategy Advisory Council,Drug Strategy Advisory Council,,Dissolved,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Drug Strategy Advisory Council,
FINAL_REC_000177,Economic Development Corporation,Economic Development Corporation,Economic Development Corporation (NYCEDC),Active,Authority or Public Benefit Corporation,"The New York City Economic Development Corporation (NYCEDC), a nonprofit organization operating under contract with the City of New York, is the City’s primary vehicle for economic development services. NYCEDC serves as a catalyst for public and private initiatives that promote the City’s long-term vitality. Through affordable financing, tax exemptions and low-cost energy programs, NYCEDC helps City businesses gain the competitive edge they need to meet their short- and long-term goals.",https://edc.nyc/,,NYCEDC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Economic+Development+Corporation+%28EDC%29,1991.0,Andrew Kimball,President and CEO,https://edc.nyc/contact-us,,,True,,,"Economic Development Corporation, NYC",Economic Development Corporation (EDC),Economic Development Corporation (NYCEDC),Economic Development Corporation (NYCEDC),Economic Development Corporation (EDC),Economic Development Corporation,Economic Development Corporation
FINAL_REC_000178,Economic Development Corporation Board of Trustees,Economic Development Corporation Board of Trustees,,Duplicate,"Advisory, Oversight, or Regulatory Body",,https://edc.nyc/board-disclosures,,,,,,,,,,,,False,,,,,,,,Economic Development Corporation Board of Trustees,
FINAL_REC_000179,Economic Development Corporation Life Sciences Advisory Council,Economic Development Corporation Life Sciences Advisory Council,,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Economic Development Corporation Life Sciences Advisory Council,
FINAL_REC_000180,Economic Development Corporation Real Estate Life Sciences Advisory Board,Economic Development Corporation Real Estate Life Sciences Advisory Board,,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Economic Development Corporation Real Estate Life Sciences Advisory Board,
FINAL_REC_000181,Educational Construction Fund,Educational Construction Fund,,Active,Authority or Public Benefit Corporation,,https://infohub.nyced.org/reports/financial/educational-construction-fund,,,,,,1966.0,,,,,,True,,,Educational Construction Fund,,,,,Educational Construction Fund,Educational Construction Fund
FINAL_REC_000182,Environmental Control Board,Environmental Control Board,,Active,"Advisory, Oversight, or Regulatory Body",,https://www.nyc.gov/site/oath/hearings/about-ecb.page,,ECB,,,,2008.0,,,,,,True,,,,,,,Environmental Control Board (ECB),Environmental Control Board,
FINAL_REC_000183,Environmental Justice Advisory Board,Environmental Justice Advisory Board,,Active,"Advisory, Oversight, or Regulatory Body",,https://www1.nyc.gov/site/sustainability/our-programs/environmental-justice.page,,,,,,,,,,,,True,,,,,,,,Environmental Justice Advisory Board,
FINAL_REC_000184,"Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force","Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force",,Dissolved,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,"Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force",
FINAL_REC_000185,Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission (EEPC),Active,"Advisory, Oversight, or Regulatory Body","This Commission is an independent City agency composed of a Chair and four other members, all appointed for staggered four year terms. The Commission is responsible for monitoring the equal employment programs, practices, policies, and procedures of all local government agencies that are funded in whole or in part by the City, or have a majority of board members who are appointed by the Mayor, or serve by virtue of being City officers.",https://www.nyc.gov/site/eepc/index.page,Equal Employment Opportunity,EEPC,,133.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Equal+Employment+Practices+Commission+%28EEPC%29,1989.0,Jeanne M. Victor,Executive Director,https://www.nyc.gov/site/eepc/about/email-the-executive-director.page,,,True,Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission,Equal Employment Practices Commission
FINAL_REC_000186,Fair Recovery Task Force,Fair Recovery Task Force,,Dissolved,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Fair Recovery Task Force,
FINAL_REC_000187,Family Court of the State of New York - City of New York,Family Court of the State of New York - City of New York,,Active,Judiciary,,https://ww2.nycourts.gov/COURTS/nyc/family/index.shtml,,,,,,1962.0,,,,,,False,,,Family Court of the State of New York - City of New York,,,,,,
FINAL_REC_000188,Fashion Institute of Technology - Board of Trustees,Fashion Institute of Technology - Board of Trustees,,Active,Division,,,,,,,,,,,,,,False,,,,,,,,Fashion Institute of Technology - Board of Trustees,
FINAL_REC_000189,FDNY Department Pension Fund,FDNY Department Pension Fund,,Duplicate,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,FDNY Department Pension Fund,
