name,type
Court-Livingston-Schermerhorn,Business Improvement District
Third Avenue,Business Improvement District
Morris Park,Business Improvement District
Bed-Stuy Gateway,Business Improvement District
Brighton Beach,Business Improvement District
Forest Avenue,Business Improvement District
Myrtle Avenue Brooklyn Partnership,Business Improvement District
Park Slope 5th Avenue,Business Improvement District
Fulton Mall Improvement Association,Business Improvement District
Columbus Avenue,Business Improvement District
Garment District Alliance,Business Improvement District
Times Square Alliance,Business Improvement District
Graham Avenue,Business Improvement District
Belmont,Business Improvement District
South Shore,Business Improvement District
Fordham Road,Business Improvement District
West Shore,Business Improvement District
MetroTech,Business Improvement District
Flatiron/23rd Street Partnership,Business Improvement District
Lincoln Square,Business Improvement District
Pitkin Avenue,Business Improvement District
SoHo Broadway,Business Improvement District
Myrtle Avenue (Queens),Business Improvement District
86th Street Bay Ridge,Business Improvement District
34th Street Partnership,Business Improvement District
Flatbush Avenue,Business Improvement District
Sutphin Boulevard,Business Improvement District
Steinway Street,Business Improvement District
New Dorp Lane,Business Improvement District
Bayside Village,Business Improvement District
Kings Highway,Business Improvement District
Washington Heights,Business Improvement District
Lower East Side,Business Improvement District
East Brooklyn,Business Improvement District
Alliance for Downtown New York,Business Improvement District
Jerome-Gun Hill,Business Improvement District
Union Square Partnership,Business Improvement District
Village Alliance,Business Improvement District
Fifth Avenue Association,Business Improvement District
Hudson Yards Hell's Kitchen Alliance,Business Improvement District
GatewayJFK,Business Improvement District
East Midtown Partnership,Business Improvement District
Montague Street,Business Improvement District
125th Street,Business Improvement District
180th Street,Business Improvement District
Grand Central Partnership,Business Improvement District
Columbus - Amsterdam,Business Improvement District
165th Street Mall,Business Improvement District
DUMBO Improvement District,Business Improvement District
Meatpacking District,Business Improvement District
White Plains Road,Business Improvement District
Southern Boulevard,Business Improvement District
Chinatown,Business Improvement District
The People of the City of New York,Classification
Elected County Officials,Classification
Additional Mayoral Agencies (Not on Chart),Classification
38th Assembly District Part B Regular Democratic Club,Political Club
41st A.D. Democrats Club,Political Club
Adlai Stevenson Regular Democratic Club,Political Club
America’s Mayor Republican Club,Political Club
Angelo Graci Republican Club,Political Club
ANOROC Democratic Club,Political Club
Assembly District 31- Sojourner Truth Democratic Club,Political Club
Audubon Reform Democratic Club,Political Club
Bay Democrats,Political Club
Bronx Dems,Political Club
Brooklyn Young Democrats,Political Club
Brooklyn Young Republican Club,Political Club
Brownstone Republican Club,Political Club
Central Queens Independent Democratic Club (CQuID),Political Club
Chippewa Democratic Club,Political Club
Coalition for a District Alternative (AD 74A),Political Club
Conservative Party of Richmond County (NYS),Political Club
Democratic Organization of Flushing,Political Club
Douglass King Regular Democratic Club,Political Club
East River Democratic Club,Political Club
Fiorello LaGuardia Republican Organization,Political Club
Geraldine A. Ferraro Democratic Club,Political Club
Good Government Regular Democratic Club Inc.,Political Club
Grand Street Democrats,Political Club
Guy R. Brewer United Democratic Club,Political Club
Hell’s Kitchen Democratic Club,Political Club
JFK Democratic Club,Political Club
Kings County Democrats/Brooklyn Democratic Party,Political Club
Kissena Democratic Club,Political Club
Liberty Club NYC,Political Club
Manhattan Republican Party,Political Club
"Martin Luther King, Jr. Club",Political Club
Middle Village Republican Club,Political Club
Moynihan Democratic Club,Political Club
New Visions Democratic Club,Political Club
Nuevo Caribe Democratic of El Barrio/ East Harlem,Political Club
Old Glory Republican Club,Political Club
Prospect Heights Democrats for Reform,Political Club
Queens Central Democratic Club,Political Club
Queens County GOP,Political Club
Queens County Young Democrats,Political Club
Queens United Independent Progressives (QUIP),Political Club
Queens Village Republican Club,Political Club
Ridgewood Democratic Club,Political Club
Rockaway Republican Club,Political Club
Ronald Reagan Republican Club,Political Club
Saul Weprin Democratic Club,Political Club
Shirley Chisholm Democratic Club,Political Club
SIGOP-Republican Party of Staten Island,Political Club
South Queens Republicans,Political Club
Stars & Stripes Democratic Club,Political Club
Staten Island Democratic Association,Political Club
Staten Island Democratic Party,Political Club
Staten Island Political Action Club,Political Club
Staten Island Young Republican Club,Political Club
Sunnyside GOP Club,Political Club
The Bronx Young Democrats Club,Political Club
The Bronx Young Republicans,Political Club
​The South Shore Democratic Club,Political Club
The West Bronx Democratic Club,Political Club
Thomas Jefferson Democratic Club,Political Club
Unified Political Association (UPA),Political Club
United for Progress Democratic Club,Political Club
Uptown Community Democrats,Political Club
Uptown Democratic Club,Political Club
West Harlem Progressive Democratic Club,Political Club
"West Side Democratic Club (formerly Ansonia, CFD, and PRID)",Political Club
​Young Democrats of Richmond County,Political Club
Red Horse Strategies,Political Consultants
The Parkside Group,Political Consultants
Pythia Public,Political Consultants
Hamilton Campaign Network,Political Consultants
Global Strategy Group,Political Consultants
BerlinRosen,Political Consultants
Tucker Green & Company,Political Consultants
Tiffany Raspberry Consulting LLC,Political Consultants
RJF Communications,Political Consultants
Adams Advisors,Political Consultants
Seneca Strategies,Political Consultants
Mark Guma Communications,Political Consultants
Declaration Media,Political Consultants
The Advance Group,Political Consultants
Connective Strategies,Political Consultants
New Deal Strategies,Political Consultants
SKDK,Political Consultants
Mercury,Political Consultants
Millennial Strategies,Political Consultants
North Shore Strategies,Political Consultants
Tulchin Research,Political Consultants
Moonshot Strategies,Political Consultants
Pitta LLP,Political Consultants
Shapiro Consulting Group,Political Consultants
Effective Media Strategies,Political Consultants
Trip Yang Strategies,Political Consultants
4C Partners,Political Consultants
The Win Company,Political Consultants
McLaughlin & Associates,Political Consultants
The Strategy Division,Political Consultants
SRG,Political Consultants
Culver Place Strategies,Political Consultants
Patrick B. Jenkins & Associates,Political Consultants
Political Consultant,Political Consultants
Ditto Consulting,Political Consultants
The Balduzzi Group,Political Consultants
LJW Community Strategies,Political Consultants
The Von Agency,Political Consultants
New Blue Interactive,Political Consultants
Middle Seat Consulting,Political Consultants
Marathon Strategies,Political Consultants
Siegel Strategies,Political Consultants
Engage Voters U.S.,Political Consultants
Weir & Co,Political Consultants
Bedford Grove,Political Consultants
Bartholomew Communications & Strategies,Political Consultants
Sykes Global Communications,Political Consultants
Lighthouse Public Affairs,Political Consultants
The Casale Group,Political Consultants
MissionWired,Political Consultants
Tusk Strategies,Political Consultants
North Country Strategies LLC,Political Consultants
Berger Hirschberg Strategies,Political Consultants
Political Consultant,Political Consultants
Honan Strategy Group,Political Consultants
Grassroots Strategies,Political Consultants
George Arzt Communications Inc.,Political Consultants
Dunton Consulting,Political Consultants
Meridian Strategies,Political Consultants
IMGE Advisors,Political Consultants
Capelianis Consulting LLC,Political Consultants
GQR,Political Consultants
Relentless Awareness,Political Consultants
Northside Research + Consulting,Political Consultants
Downfield,Political Consultants
Assemble,Political Consultants
Paragon Strategies,Political Consultants
Get Out the Vote,Political Consultants
Strategic Media Services,Political Consultants
Hermelyn Group LLC,Political Consultants
Ready for Change PAC,Political Consultants
Pink Cornrows,Political Consultants
Technicolor Political,Political Consultants
Greenestrat,Political Consultants
Kensworth Consulting LLC,Political Consultants
Appointments Committee (Adams 2021 Transition),Committee
"‌Arts, Park & Culture Committee (Adams 2021 Transition)",Committee
‌Budget Committee (Adams 2021 Transition),Committee
‌Civic Engagement Committee (Adams 2021 Transition),Committee
‌Clergy Committee (Adams 2021 Transition),Committee
‌Communications Committee (Adams 2021 Transition),Committee
Economic & Workforce Development Committee (Adams 2021 Transition),Committee
‌Education Committee (Adams 2021 Transition),Committee
‌Equity Committee (Adams 2021 Transition),Committee
‌Food Policy Committee (Adams 2021 Transition),Committee
Health Committee (Adams 2021 Transition),Committee
‌Housing Committee (Adams 2021 Transition),Committee
‌Human Services Committee (Adams 2021 Transition),Committee
‌Immigration Committee (Adams 2021 Transition),Committee
"‌Infrastructure, Climate & Sustainability Committee (Adams 2021 Transition)",Committee
‌Intergov Committee (Adams 2021 Transition),Committee
Legal Committee (Adams 2021 Transition),Committee
‌Public Safety & Justice Committee (Adams 2021 Transition),Committee
‌Senior Advisors Committee (Adams 2021 Transition),Committee
‌Technology/IT Committee (Adams 2021 Transition),Committee
Gartner Inc,Vendor
"District Council 37, AFSCME",Bargaining Unit
"International Brotherhood of Teamsters, Local 237, City Employees Union",Bargaining Unit
"Service Employees' International Union, Local 246",Bargaining Unit
"IUOE L15, SEIU L246",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"Communications Workers of America, Local 1183",Bargaining Unit
"International Union Of Operating Engineers, Local 211",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
Association of Legislative Employees,Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
Doctors' Council,Bargaining Unit
Correction Officers' Benevolent Association,Bargaining Unit
"IUOE L14, IUOE L15",Bargaining Unit
New York City Deputy Sheriffs' Association,Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
EMS Superior Officers Association,Bargaining Unit
"District Council 37, AFSCME, Local 375, Civil Service Technical Guild",Bargaining Unit
Law Enforcement Employees' Benevolent Association,Bargaining Unit
Marine Engineers' Beneficial Association,Bargaining Unit
"Local 94, Uniformed Firefighters Association, International Association of Firefighers",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
United Federation of Teachers,Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"DC37, SEIU L300, LIUNA",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"International Brotherhood of Teamsters, Local 237, City Employees Union",Bargaining Unit
Law Enforcement Employees' Benevolent Association,Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"International Brotherhood of Teamsters, Local 237, City Employees Union",Bargaining Unit
Committee of Interns and Residents,Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"Service Employees' International Union, Local 721",Bargaining Unit
"International Brotherhood of Teamsters, Local 237, City Employees Union",Bargaining Unit
"Atlantic Maritime Group, International Organization of Masters, Mates, & Pilots, ILA, AFL",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers",Bargaining Unit
"Service Employees' International Union, Local 1199",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"IUOE L15, IUOE L30",Bargaining Unit
"Painters L806, Painters DC9, SEIU L246",Bargaining Unit
"Service Employees' International Union, Local 1199",Bargaining Unit
"Local 94, Uniformed Firefighters Association, International Association of Firefighers",Bargaining Unit
"United Association of Plumbers and Gasfitters Union, Local 1",Bargaining Unit
Patrolmen's Benevolent Association,Bargaining Unit
Campaign Workers Guild,Bargaining Unit
"International Brotherhood of Teamsters, Local 237, City Employees Union",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"United Brotherhood of Carpenters and Joiners of America, AFL",Bargaining Unit
Uniformed Sanitation Chiefs' Association,Bargaining Unit
Law Enforcement Employees' Benevolent Association,Bargaining Unit
"District Council 37, AFSCME, Local 372",Bargaining Unit
"International Brotherhood of Teamsters, Local 237, City Employees Union",Bargaining Unit
Organization of Staff Analysts,Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"District Council 37, AFSCME, Local 1320",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"International Brotherhood of Teamsters, Local 237, City Employees Union",Bargaining Unit
Organization of Staff Analysts,Bargaining Unit
"International Union Of Operating Engineers, Local 30",Bargaining Unit
"Service Employees' International Union, Local 621",Bargaining Unit
United Federation of Teachers,Bargaining Unit
"CWA, DC 37 & Local 237, IBT",Bargaining Unit
"District Council 37, AFSCME",Bargaining Unit
"International Union Of Operating Engineers, Local 15",Bargaining Unit
Federal Emergency Management Administration,Federal Agency
Federal Communications Commission,Federal Agency
Office of Animal Welfare,City Agency
Office of Risk Management and Compliance,City Agency
Office of Innovation and Delivery,City Agency
Office of Civic Engagement,City Agency
Office of Youth Employment,City Agency
Office of Equity,City Agency
Deputy Mayor for Economic and Workforce Development,Official
NYC Media,City Agency
"Office of Film, Theater & Broadcasting",City Agency
Office of Nightlife,City Agency
Center for Older Workforce Development,City Agency
Office of Information Privacy,City Agency
Chief Efficiency Officer,City Agency
Sheriff,City Agency
Chief Climate Officer,Official
"Office of Sports, Wellness and Recreation",City Agency
Office of Capital Project Development,City Agency
Deputy Mayor for Public Safety,City Agency
Office for the Prevention of Hate Crimes,City Agency
Office to Prevent Gun Violence,City Agency
Office of Special Enforcement,City Agency
Director of Communications,Official
Office of Ethnic and Community Media,City Agency
