Agency Acronym,Agency Name,Entity type,MMR chapter,Rulemaking Entity,Agency Head First Name,Agency Head Last Name,Agency Contacts,Reports to Deputy Mayor/Executive,Executive Name (from Deputy Mayor/Executive),BC Description,Board/Commission Qualification,BC Source of Authority,Legal Source Link,Agency/Board Website,BC Type,COS Note,Legal Source,Executive Structure,Executive Structure Detail,Mayoral Agency?,Advisory Board?,Legal Source Notes,Charter and Statute,Rules and Regs,Year created,Sources Available (from MO101) copy 2,Core Mission
DOT,Department of Transportation,Agency,checked,checked,Ydanis,Rodriguez,"""Ydanis Rodriguez (Commissioner,  DOT)"",""Ryan Lynch (Chief of Staff,  DOT)"",""Margaret Forgione (First Deputy Commissioner,  DOT)"",""Soledad Lopez (Scheduler,  DOT)""",DM Operations,Meera Joshi,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4283,https://www.transportation.gov/?msclkid=5d02b320bc1011ec871cfb7ecbb9bd63,,,Charter Chapter 71,"""Single Agency Head (commissioner, exec director, administrator)""",The commissioner can appoint three deputies.,No,No,,,,,,
DPR,Department of Parks & Recreation,Agency,checked,checked,Sue,Donoghue,"""Sue Donoghue (Commissioner,  DPR)"",""Melody Rodriguez (Scheduler,  DPR)"",""Iris Rodriguez-Rosa (First Deputy Commissioner,  DPR)"",""Claudia Cereceda (Chief of Staff,  DPR)""",DM Operations,Meera Joshi,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1970,https://www.nycgovparks.org/,,,Charter Chapter 21,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
DSNY,Department of Sanitation,Agency,checked,checked,,,"""Javier Lojan (Acting Commissioner,  DSNY)"",""Rebecca Kriegman (Acting Chief of Staff,  DSNY)""",DM Operations,Meera Joshi,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2379,https://www1.nyc.gov/assets/dsny/site/home,,,Charter Chapter 31,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
DSS,Department of Social Services,Agency,checked,checked,Molly,Park ,"""Cristina Sepulveda (Scheduler,  DSS)"",""Molly Park  (Commissioner,  DSS)"",""Jill Berry (First Deputy Commissioner,  DSS)"",""Karen St Hilaire (Chief of Staff and Chief DEI Officer,  DSS)""",DM Health & Human Services,Anne Williams-Isom,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2140,https://www1.nyc.gov/site/dss/index.page?msclkid=903e8ea3bc1011ec8b98828a0cf907b6,,,"Charter Chapter 24, Section 601","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
DSS - DHS,Department of Social Services - Department of Homeless Services,Agency,checked,checked,Joslyn,Carter,"""Joslyn Carter (Administrator,  DSS - DHS)"",""Erica Dean (Chief of Staff,  DSS - DHS)""",DM Health & Human Services,Anne Williams-Isom,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2151,https://www1.nyc.gov/site/dhs/index.page?msclkid=d091d8a9bc0f11ec9bec30e4e4c00ad5,,,"Charter Chapter 24-A, Section 610","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
DSS - HRA,Department of Social Services - Human Resources Administration,Agency,checked,checked,Scott,French,"""Scott French (Administrator,  DSS - HRA)"",""Irfan Ahmed (Chief of Staff,  DSS - HRA)""",DM Health & Human Services,Anne Williams-Isom,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCrules/0-0-0-94130,https://www1.nyc.gov/site/hra/about/about-hra.page,,,Rules Title 68,"""Single Agency Head (commissioner, exec director, administrator)""",,No,No,,,,,,
DVS,Department of Veteran's Services,Agency,checked,,James,Hendon,"""James Hendon (Commissioner,  DVS)"",""Cassandra Alvarez (Chief of Staff,  DVS)""",DM Health & Human Services,Anne Williams-Isom,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4464,https://www1.nyc.gov/site/veterans/index.page?msclkid=b763efa6bc1011ecb9447ad66b35c528,,Ext Affairs,Charter Chapter 75,"""Single Agency Head (commissioner, exec director, administrator)""",The commissioner may appoint deputies within available appropriations.,No,No,,,,,,
DYCD,Department of Youth & Community Development,Agency,checked,,Keith,Howard,"""Keith Howard (Commissioner,  DYCD)"",""Alan Cheng (First Deputy Commissioner,  DYCD)"",""Gloria Chin (Chief of Staff,  DYCD)""",DM Strategic Initiatives,Ana Almanzar,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2336,https://www1.nyc.gov/site/dycd/index.page?msclkid=c24b2fd1bc1011eca7ba8ad2c750e62a,,,Charter Chapter 30 ,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
EDC,Economic Development Corporation,Agency,checked,,Andrew,Kimball,"""Andrew Kimball (President & CEO,  EDC)"",""Genesis Roman (Scheduler,  EDC)"",""Jennifer Montalvo (EVP, Chief of Staff,  EDC)""",DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://edc.nyc/meet-nycedc,,,Certificate of Incorporation of New York City Economic Development Corporation,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,"Certificate of Incorporation: https://edc.nyc/sites/default/files/2021-10/Tab%2004%20-%20Authority%27s%20Enabling%20Statute.pdf 
By Laws: https://edc.nyc/sites/default/files/filemanager/EDC_Bylaws.pdf ",,,,,
FDNY,Fire Department,Agency,checked,checked,Robert,Tucker,"""Alyssa Spooner (Scheduler,  FDNY)"",""Robert Tucker (Commissioner,  FDNY)""",DM Public Safety,Chauncey Parker,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1742,https://www1.nyc.gov/site/fdny/index.page?msclkid=fc516d51bc1211ec89ba12b9d1c551c3,,,"Charter Chapter 19; Administrative Code Title 14, Chapter 1","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
FILM,"Office of Film, Theatre, & Broadcasting",Agency,,checked,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,https://www1.nyc.gov/assets/records/pdf/executive_orders/1993EO047.PDF,http://www.nyc.gov/html/film////////////html/news_2009/060109_green_moftb_initiatives.shtml?msclkid=27e93e27bc1b11ec85cc154237ef491a,,,EO 47 1993,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
FUNDPUBLICSCHOOLS,Fund for Public Schools,Agency,,,,,,Chancellor,David Banks,,,,,https://www.fundforpublicschools.org/mission,,,,Multi-member Commission,,No,No,"This institution was founded in 1982 and partners with DOE. The press release below showcases the relationship between DOE and the organization.

Press Release: https://www.schools.nyc.gov/about-us/news/announcements/contentdetails/2019/10/10/chancellor-carranza-announces-appointment-of-julie-l-shapiro-as-chief-executive-officer-of-the-fund-for-public-schools ",,,,,
H+H,NYC Health + Hospitals,Agency,checked,,Mitchell ,Katz,"""Mitchell  Katz (President & CEO,  H+H)"",""Eric Wei (Senior Vice President ,  H+H)"",""Devika Brown (Executive Assistant,  H+H)"",""Deborah Brown (Chief of Staff/Senior Vice President/Chief External Affairs Officer,  H+H)""",DM Health & Human Services,Anne Williams-Isom,,,,https://babel.hathitrust.org/cgi/pt?id=uc1.b4378130&view=1up&seq=794&skin=2021&q1=chapter%201016,https://www.nychealthandhospitals.org/about-nyc-health-hospitals/,,,"Laws of New York 1969, Chapter 1016 ","""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission",Administered by a board of directors consisting of sixteen members. ,Yes,No,,,,,,
HPD,Housing Preservation & Development,Agency,checked,checked,Adolfo,Carrion Jr.,"""Adolfo Carrion Jr. (Commissioner,  HPD)"",""Ahmed Tigani (First Deputy Commissioner,  HPD)"",""Christina Velalquez (Scheduler,  HPD)"",""Rosa Kelly (Deputy Chief of Staff,  HPD)""",DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3824,https://www1.nyc.gov/site/hpd/index.page,,,Charter Chapter 61,"""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission",The commissioner may appoint not more than five deputy commissioners. ,No,No,,,,,,
LAW,Law Department,Agency,checked,checked,Muriel,Goode-Trufant,"""Betty Matondo-John (Special Assistant,  LAW)"",""Ashley Iodice (Chief of Staff,  LAW)"",""Muriel Goode-Trufant (Acting Corporation Counsel,  LAW)""","Corporation Counsel,Mayor,First Deputy Mayor","Muriel Goode-Trufant, Eric Adams, Maria Torres-Springer",,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1594,https://www1.nyc.gov/site/law/index.page,,,"Charter Chapter 17, Section 391","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
NYCEM,NYC Emergency Management,Agency,checked,checked,Zach,Iscol,"""Yokarina Duarte (Chief of Staff,  NYCEM)"",""Roseann Mastrandrea (Scheduler,  NYCEM)"",""Zach Iscol (Commissioner,  NYCEM)""",DM Public Safety,Chauncey Parker,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1786,https://www1.nyc.gov/site/em/about/overview.page,,,Charter Chapter 19-A,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
NYCGO,NYC & Company,Agency,,,Nancy,Mammana,"""Nancy Mammana (Interim CEO,  NYCGO)"",""Mariama Bradley (Scheduler,  NYCGO)"",""Alexandra Silversmith (Vice President, Government Affairs & External Relations,  NYCGO)""",DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://business.nycgo.com/about-us/who-we-are/,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,,No,NYC& Company is a 501(c) 6 private corporation organization. We have not been able to find its certificate of incorporation.,,,,,
NYCHA,NYC Housing Authority,Agency,checked,,Lisa,Bova-Hiatt,"""Lisa Bova-Hiatt (Acting Chair,  NYCHA)"",""Evelyn Sanchez   (Scheduler,  NYCHA)"",""Andrew Kaplan (Chief of Staff,  NYCHA)""",DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,https://newyork.public.law/laws/n.y._public_housing_law_section_401,https://www1.nyc.gov/site/nycha/index.page,,,"Public Housing Law Article 13, Title 1, Section 401","""Single Agency Head (commissioner, exec director, administrator)""",,No,No,,,,,,
NYCOA,Office of the Actuary,Agency,,,,,,DM Operations,Meera Joshi,,,,,https://www1.nyc.gov/site/actuary/about/about-the-office-of-the-actuary.page ,,,"Charter Chapter 5, Section 96","""Single Agency Head (commissioner, exec director, administrator)""",,No,No,,,,,Charter,
NYCPS,Department of Education,Agency,checked,checked,Melissa,Aviles Ramos,"""Daniel Weisberg (First Deputy Chancellor,  CHANCELLOR, NYCPS)"",""Melissa Aviles Ramos (Chancellor,  CHANCELLOR, NYCPS)"",""Kenita Lloyd (Chief of Staff,  CHANCELLOR, NYCPS)"",""Chantell Griffith (Deputy Chief of Staff,  CHANCELLOR, NYCPS)""",Chancellor,David Banks,,,,,https://www.schools.nyc.gov/,,,"New York Education Law, Section 101","""Single Agency Head (commissioner, exec director, administrator)""",,No,No,"New York Education Law:
https://newyork.public.law/laws/n.y._education_law_section_101 ",,,,,
NYPD,Police Department,Agency,checked,checked,Jessica,Tisch,"""Jessica Diaz (Scheduler,  NYPD)"",""Ryan Merola (Chief of Staff,  NYPD)"",""Jessica Tisch (Commissioner,  NYPD)""",Mayor,Eric Adams,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1616,https://www1.nyc.gov/site/nypd/index.page,,PD email addresses aren't readily available,Charter Chapter 18,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
OATA,Office of Administrative Tax Appeals,Agency,,checked,,,,,,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-680,https://www1.nyc.gov/site/oata/index.page,,Dep Director,"Charter Chapter 7, Section 150","""Single Agency Head (commissioner, exec director, administrator)""",,No,No,,,,,Admin law,
OATH,Office of Administrative Trials and Hearings,Agency,checked,checked,Asim,Rehman,"""Asim Rehman (Commissioner & Chief Administrative Law Judge,  OATH)"",""Wanda  Arenas Perozo (Confidential Secretary (Admin Support for Commissioner Rehman),  OATH)""",Chief Counsel to the Mayor,Allison Stoddart,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2801,https://www1.nyc.gov/site/oath/index.page,,,Charter Chapter 45-A,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,EO,
OCME,Office of the Chief Medical Examiner,Agency,checked,,Jason,Graham,"""Jason Graham (Chief Medical Examiner,  OCME)"",""Michele Slone (First Deputy Chief Medical Examiner,  OCME)"",""Robert Van Pelt (Chief of Staff,  OCME)"",""Nicholas Schultz (Chief Operating Officer & Deputy Commissioner,  OCME)""",DM Health & Human Services,Anne Williams-Isom,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6205,https://www1.nyc.gov/site/ocme/index.page,,,"Charter Chapter 22, Section 557","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
OIGNYPD,Office of Inspector General NYPD,Agency,,,,,,,,,,,https://www1.nyc.gov/assets/oignypd/downloads/pdf/Local-Law-70.pdf,https://www1.nyc.gov/site/doi/offices/oignypd.page,,,LL 70 2013,"""Single Agency Head (commissioner, exec director, administrator)""",,No,No,,,,,,
OLR,Office of Labor Relations,Agency,,,Renee,Campion,"""Renee Campion (Commissioner,  OLR)""",Chief Counsel to the Mayor,Allison Stoddart,,,,,https://www1.nyc.gov/site/olr/index.page,,,EO 38 1967,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,1967,EO,
OMB,Office of Management and Budget,Agency,,,Jacques,Jiha,"""Jacques Jiha (Budget Director,  OMB)"",""Joseph Taranto (Chief of Staff,  OMB)"",""Samantha Howard-Ravenell (Scheduler,  OMB)"",""Kenneth Godiner (First Deputy Budget Director,  OMB)""",First Deputy Mayor,Maria Torres-Springer,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5715,https://www1.nyc.gov/site/omb/index.page,,,"Charter Chapter 10, Section 225-b","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
OPA,Office of Payroll Administration,Agency,,,,,,Comptroller,Brad Lander,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2677,https://www1.nyc.gov/site/opa/index.page,,,Charter Chapter 39,"""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission", The mayor appoints an executive director of payroll administration.  Office of Payroll Administration  headed by two directors. ,Yes,No,,,,,,
OTI,Office of Technology and Innovation,Agency,checked,checked,Matthew,Fraser,"""Matthew Fraser (Chief Technology Officer,  OTI)"",""Tunisia McDonald (Scheduler,  OTI)"",""Dineil Diaz (Deputy Chief of Staff,  OTI)""","First Deputy Mayor,Chief Technology Officer","Maria Torres-Springer, Matt Fraser",,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3132,https://www1.nyc.gov/site/doitt/about/mayors-office-of-technology-and-innovation-moti-positions.page?msclkid=2d936176bc1011ecbc421dad1c609357,,,Charter Chapter 48,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,,
SBS,Department of Small Business Services,Agency,checked,checked,Dynishal,Gross,"""Scheduling Team  (Scheduling Team,  SBS)"",""Dynishal Gross (Commissioner,  SBS)"",""Destany Batista (Senior Special Assistant,  SBS)"",""Haris Khan (Acting Chief of Staff,  SBS)""",DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3464,https://www1.nyc.gov/site/sbs/index.page,,,Charter Chapter 56,"""Single Agency Head (commissioner, exec director, administrator)""",The commissioner may appoint deputies within available appropriations. ,No,No,,,,,,
SCA,School Construction Authority,Agency,checked,,Nina,Kubota,"""Nina Kubota (President & CEO,  SCA)"",""Victor Sherline (Sec'y to President/Scheduler,  SCA)"",""Karen Maher (Chief of Staff,  SCA)""",DM Operations,Meera Joshi,,,,https://newyork.public.law/laws/n.y._public_authorities_law_section_1727,http://www.nycsca.org/,,,"Public Authorities Law Title 6, Section 1727",Multi-member Commission,,Yes,No,This agency is repeated in row 383. ,,,,,
SHERIFF,Sheriff,Agency,,,Anthony,Miranda,"""Anthony Miranda (Sheriff,  SHERIFF)""",First Deputy Mayor,Maria Torres-Springer,,,,,,,,,,,,,,,,,,
SNP,NYC Office of the Special Narcotics Prosecutor,Agency,,,,,,DM Public Safety,Chauncey Parker,,,,https://newyork.public.law/laws/n.y._judiciary_law_section_177-b,https://www.snpnyc.org/organization/,,,"New York Judiciary Law, Sec. 177-B","""Single Agency Head (commissioner, exec director, administrator)""",,No,No,,,,,,
CCRB,Civilian Complaint Review Board ,"Agency,Board/Commission",checked,checked,,,,Chief Counsel to the Mayor,Allison Stoddart,"The Civilian Complaint Review Board (CCRB) is an independent agency with the power to receive, investigate, hear, make findings and recommend action upon complaints by members of the public against members of the NYPD that allege misconduct involving the use of excessive or unnecessary force, abuse of authority, discourtesy, or use of offensive language.  ",,"City Charter – Chapter 18-A, § 440(b). Amendments to the Charter under Local Law 215 of 2019",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1641,https://www1.nyc.gov/site/ccrb/index.page?msclkid=8b3bf071bc0d11ecb2c27a7c1bb56f25,MC,,Charter Chapter 18-A,Multi-member Commission,,Yes,No,,CCRB_CharterCh18A.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/L0d606TsGSQDEMAHrBDmKQ/Tq802b1rv4oboiF6Rz1kNRDt4ha-Lq5W2XRxU9sokXO7YFOWLeSjhxiFFmL31EHvkpDKmm7t7QcZLtdSIRCIav1vkaySQ4Zp4h_z9hUsLUdbpbNAJvKSibSLkigvA01ce4Z-djl5RZ6Q3jpkZeckLVkfEMgbS44Xzwdd-75BNSU/MVKfXDqY5kcqe1qHiMC_lm89ajGZFLF15XD_n7SS6J8),ccrb_rules.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/3Z8_1AG3RmsLlQnpToF_Ew/5liApIxaC7-K0w03ueDcPuaelYyoMxo2vOXUopX2peFPtDQt-57IZoRBuA15xJBgXyZ1o_yt06V9yoik41uDOLeLd4_edyfvlvPocdM8CC4FuegG0sp5i_2Ujdr7fDZvNq_bWEyPHL-1vN1amhJ0Jg/wSuuJIyNSjvojOkf3OJU8pFIhtPUi1ME5tLoJWKx_78),,,
CGE,Commission on Gender Equity,"Board/Commission,Agency",,,,,"""Robin Thomas (Special Assistant to the Executive Director,  CGE)"",""Carlos Manzano (Deputy Executive Director for Communications and Public Engagement,  CGE)"",""Aura Jimenez (Executive Operations Manager,  CGE)""",DM Strategic Initiatives,Ana Almanzar,"The Commission is an advisory body that supports City agencies in dismantling institutional barriers for women and girls in order to achieve the Mayor's commitment to reduce gender-based inequity.  The CGE recommends policies that promote the economic, social, political and physical well-being of women and girls regardless of their race, ethnicity, class, gender identity or sexual orientation.",,Local Law 45 of 2020 (initially passed with Local Law 67 of 2016),https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5699,https://www1.nyc.gov/site/genderequity/index.page?msclkid=d039ef1fbc0d11eca67c346962b000e0,,,"Charter Chapter 1, Section 20-b",Multi-member Commission,,Yes,No,,,"Local Law 67 CGE Board 2016.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/NSN-7n1aYU8FKFDdL1gJrA/UUn26A5gUivXvImp9Kfr5MbeTZq7sy749zrqDrkrAMoSZfqUU7J8Mud-3nhCa07EdR9gLoCyyrFTCitxkuaLVwr7elnnTFhHIXCRfvutL9ZT8ODfTtI8A5UJKI-R3w5Ye7LakxkPv0opgI2CjtlwSXH37FeYbKWqRLd4CUUDmPY/6Yw7KhpUGEMs_1HF138-Z0g-VurSHulibJ6xpyQINDg),Local Law 45 - amend resp of CGE.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/BN9Sh6bF49bRFUSfIGGVQA/EiOHfpsy4RYsLORoKSoUZZA7Ue1fL1WQEgtveRPBYIhaaLHIAcEvf3IlcH_jV0GRs0-8NHlLL9THFyhpZLS2yRGIIyRJpMgQB0Ohkx406B3zzqNiiXQ_y2KCJWukjsNn0FxYVPf9W9HOlY_DrmayWT2MBE4Hy_h9Q-3nXzRgA9A/fWrQ9t59EatkfYhjISxv2qDiT0ChqHNVP_UsoRlzZtI)",,,"Concerned that far too many New Yorkers continue to face discrimination because of their gender, Mayor de Blasio established the Commission on Gender Equity (CGE) in June 2015 to address issues of inequity and discrimination facing girls, women, transgender, and gender non-conforming and non-binary persons, regardless of ability, age, ethnicity/race, faith, gender expression, immigrant status, sexual orientation, and socioeconomic status. Focusing on economic mobility and opportunity, health and reproductive justice, and safety, CGE ensures that our City leads in the development and implementation of best practices in gender-equitable policies and programs for its workforce and its residents. CGE will continue to create a deep and lasting institutional commitment to tearing down equity barriers across our City."
CHILDRENS CABINET,New York City Children's Cabinet ,"Agency,Board/Commission",,,Ahsia,Badi,"""Ahsia Badi (Executive Director,  CHILDRENS CABINET)""",DM Strategic Initiatives,Ana Almanzar,,,,,https://www1.nyc.gov/site/childrenscabinet/index.page?msclkid=da315577bc0d11ecb9cfda6d9d498f68,,,,Multi-member Commission,"The New York City Children’s Cabinet originally chaired by Richard Buery, the Deputy
Mayor for Strategic Policy Initiatives. It is composed of
commissioners and directors from 20 different city agencies and mayoral offices, with
subcommittees to be created at the discretion of members.",Yes,Yes,"This board is repeated in row 381.
Press Release: https://www1.nyc.gov/office-of-the-mayor/news/132-14/mayor-de-blasio-the-new-york-city-children-s-cabinet",,,,,"- Mission: Drive communication, coordination and problem solving across city agencies; mobilize new resources; strengthen partnerships with the non-profit and private sectors; and facilitate a holistic approach to serving children by aligning city wide policies that affect children’s health, safety, and well-being. The Children’s Cabinet is composed of 24 City agencies and Mayoral offices.
- Priorities: Current policy priorities include: childcare reform, child tax credits, child vaccination, maternal health and home visiting, family violence, domestic violence, centralized children’s resources, trauma-informed care, human trafficking, child fatalities, and children’s mental health services."
CRE,Commission on Racial Equity,"Agency,Board/Commission",,,Linda,Tigani,"""Linda Tigani (Commissioner,  CRE)""",DM Strategic Initiatives,Ana Almanzar,The Commission will enable community members with equity expertise or lived experience relevant to the goal of equity to propose priorities for racial equity in city decision-making and policy and assess performance towards those priorities.,,2022 Referendum ,,,,,,"Multi-member Commission,""Single Agency Head (commissioner, exec director, administrator)""",,,No,,,,,,"The Taskforce on Racial Inclusion & Equity (TRIE) was launched in April 2020 in response to the disproportionate impact of COVID-19 on communities of color. The Taskforce brings together over 100 City Agency leaders, primary of color, from 67 agencies and offices, working collectively to prioritize and drive resources to the communities of color and neighborhoods hardest-hit by COVID-19."
FISA,Financial Information Services Agency,"Agency,Board/Commission",,,,,,"Comptroller,First Deputy Mayor","Brad Lander, Maria Torres-Springer","The board advises FISA, which is an information technology services agency responsible for providing City officials with Citywide financial, payroll and human resources information.",,"
  City Charter – § 860-862
  ",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5350,https://www1.nyc.gov/site/eepc/about/jurisdictions/fisa.page?msclkid=4d30ffbbbc1b11ecb9e3fd0450c3bf7a,,First Dep Exec Director,Charter Chapter 38,"""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission",Financial Information Services Agency is headed by three directors. The directors recommend and the mayor appoints an executive director of financial information services,Yes,No,This agency is repeated again in row 379.,City Charter – § 860-862.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/on5gyUVsZ5ZtOvwmqTdPwg/b5MxkjztBfQs5m3tnVAJYuIoEt6-yLIosA-coTLTQFfHWnlpJygO8IwirqLKvPBcwElEI2y4jueBnj0LE15IO0vwGNH_NfzDryP6Udtb-04nUMnZ2LkzfOQWLiV5tMYSxoMr4v3iQb_8WgLYl12-ffK_wXF73p2euDvxmkp5ojQ/Mqp5_2TUUaKMXIp1UUzgghNyImfyS5CVs6bhiilC85M),,,,
HDC,Housing Development Corporation,"Board/Commission,Agency",,,Eric,Enderlin,"""Eric Enderlin (President,  HDC)"",""Susan Tso (Executive Assistant,  HDC)"",""Stephanie Mavronicolas (Chief of Staff,  HDC)""",DM Housing - Economic Development & Workforce,Maria Torres-Springer,"A corporate governmental agency constituted as a public benefit corp. and established under Article XII, Private Housing Finance Law to encourage investment in private capital through low-interest mortgage loans and provide safe and sanitary dwellings for families and persons whose housing needs can’t be met by private enterprise.",,"Article XII of the Private Housing Finance Law (Chapter 44-b of the Consolidated Laws of New York), as amended (the “Act”).",https://newyork.public.law/laws/n.y._private_housing_finance_law_section_653,https://www.nychdc.com/,MC,,"New York Private Housing Finance Law, Section 653","""Single Agency Head (commissioner, exec director, administrator)""",The corporation consists of seven members. ,No,No,,,HDC By-Laws 2014.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/YAmkafDGTbE7EGCvcNsQPw/hgzWKB_oPRyMgkTe6GbsGT8TOdyY0o3fwi0uWYjGl66YjgP_YxwAzM1unITn_s2QqMKqX-M6yuCRbYRS2Oer-8NaWNl2pPajl_Kcsx1dO3STYMhxNlevVL7ov3ztGd4vYMxqILCmLrt4X3yBAq6Pvw/5zS9ncBRiaQySvtRTe-t3sTBsJHXFsZw2ZI3FAgKnpg),,,
LPC,Landmarks Preservation Commission,"Board/Commission,Agency",checked,checked,Lisa,Kersavage,"""Jasmine  Holland (Executive Assistant to the Chair,  LPC)"",""Sarah Carroll (Chair,  LPC)"",""Lisa Kersavage (Executive Director,  LPC)""",DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The Landmarks Preservation Commission designates, preserves, and monitors landmarks and historic districts in NYC.",,City Charter §§ 3020,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4430,https://www1.nyc.gov/site/lpc/index.page,,,Charter Chapter 74,Multi-member Commission,The landmarks preservation commission consists of eleven members which are all appointed by the mayor. ,Yes,No,,"NYC City Charter 3020 LPC.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/DBjPeo7aXc6glUO0YHxB8Q/JNSeGS9wboSAVbS8LcuME4jMQdpC4Bj4ik6C3G9imx7kNOX2c6VJFTpR2O5u4xiS4Ovu-M7wOnvczIpIEhUAhiI4RbN-a-WxqR7OBKuMoRMyhLtXm42xeQs5wyGtQOYtYx1EVZAH4XLTgPMggGeb4ZV1feUVCGeyJQxJgyLN-xw/ej5qugfa0VPeFUfZMcuQiNoNqpg5xleHrDJmSaqZY4o),NYC_Charter_Landmarks_Preservation_Commission.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/pTWMzx2L1DMlsgrEm4yS6A/NP9OCNU6HVglj1f3GatYEUrIa9yunGVJcfbNsoZp9j9MPv866lRjCt86sX-czFQVEpZUtU_gZTy9mBhCQFNjF4j6lQYRLTYNHakoYM6q8gsTS7iAmx_9gdFoiVisryIT2oIAYHWPyPtlnT_XUXYXjbMME-fBlAxmq-4OCbsCEvnCgnxz88DHCeJ5_nRtxstA/t-WE_z4iUKO1u7PjmrIE1J2u1VxF5FwWJowvWyDpaKM)",,,,
