Name,NameAlphabetized,Name - HOO,URL,Description,PrincipalOfficerName,PrincipalOfficerTitle,ParentOrganization,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,Name - Checkbook,Name - Greenbook,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - Ops,Name - WeGov
Cultural Affairs Advisory Commission,,,,,,,,,,,,,,,,,,,Cultural Affairs Advisory Commission,
Cultural Institutions Retirement System - Board of Trustees,,,,,,,,,,,,,,,,,,,Cultural Institutions Retirement System - Board of Trustees,
Cyber Command,Cyber Command,,https://www.nyc.gov/content/oti/pages/meet-the-team/cyber-command,,,,Office of Technology and Innovation,,NYC3,,,,2017.0,,,,,,,NYC Cyber Command
Dangerous Dog Advisory Board,,,,,,,,,,,,,,,,,,,Dangerous Dog Advisory Board,
Deferred Compensation Board,,,,,,,,,,,,,,,,,,,Deferred Compensation Board,
Department for the Aging,"Aging, Department for the","Aging, Department for the (NYC Aging)",http://www.nyc.gov/aging,"NYC Aging funds community-based organizations throughout the five boroughs to provided essential services for seniors, including hot meals and activities at senior centers, home-delivered meals, case management, home care, transportation, legal services and caregiver services.    ",Lorraine A. Cortés-Vázquez,Commissioner,Mayor's Office,,NYC AGING,DFTA,125.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+for+the+Aging+%28NYC Aging%29,1973.0,Department for the Aging,"Aging, Department for the",Department for the Aging (NYC Aging),"Aging, Department for the (NYC Aging)","Aging, Department for the (NYC Aging)",Department for the Aging,Department for the Aging
Department of Buildings,"Buildings, Department of","Buildings, Department of (DOB)",http://www.nyc.gov/dob,"The Department of Buildings (DOB) ensures the safe and lawful use of over 900,000 buildings and properties by enforcing the Building Code, Zoning Resolution, and other applicable laws. Each year it reviews over 60,000 construction plans, issues over 110,000 new and renewed permits, performs over 300,000 inspections, and issues 12 types of licenses, registrations, and certificates. It facilitates construction by continually streamlining the permit application process, and delivers services with integrity and professionalism.",Jimmy Oddo,Commissioner,Mayor's Office,,DOB,,810.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Buildings+%28DOB%29,1892.0,Department of Buildings,Buildings,Department of Buildings (DOB),"Buildings, Department of (DOB)","Buildings, Department of (DOB)",Department of Buildings,Department of Buildings
Department of City Planning,"City Planning, Department of","City Planning, Department of (DCP)",http://www.nyc.gov/planning,"The Department of City Planning (DCP) oversees land use planning for New York City, utilizing zoning regulations to promote strategic growth and sustainable communities throughout the five boroughs.",Dan Garodnick,Director,Mayor's Office,,DCP,,30.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+City+Planning+%28DCP%29,1938.0,Department of City Planning,City Planning,Department of City Planning (DCP),"City Planning, Department of (DCP)","City Planning, Department of (DCP)",Department of City Planning,Department of City Planning
Department of Citywide Administrative Services,"Citywide Administrative Services, Department of","Citywide Administrative Services, Department of (DCAS)",https://www.nyc.gov/site/dcas/index.page,,,,Mayor's Office,,DCAS,,,,1996.0,,,,,,Department of Citywide Administrative Services,
Department of Consumer and Worker Protection,"Consumer and Worker Protection, Department of","Consumer and Worker Protection, Department of (DCWP)",https://www1.nyc.gov/site/dca/index.page,The NYC Department of Consumer and Worker Protection (DCWP)—formerly the Department of Consumer Affairs (DCA)—protects and enhances the daily economic lives of New Yorkers to create thriving communities.,Vilda Vera Mayuga,Commissioner,Mayor's Office,Department of Consumer Affairs,DCWP,DCA,866.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Consumer+and+Worker+Protection+%28DCWP%29,1969.0,Department of Consumer & Worker Protection,Consumer and Worker Protection,Department of Consumer and Worker Protection (DCWP),"Consumer and Worker Protection, Department of (DCWP)","Consumer and Worker Protection, Department of (DCWP)",Department of Consumer and Worker Protection,Department of Consumer and Worker Protection
Department of Correction,"Correction, Department of","Correction, Department of (DOC)",http://www.nyc.gov/doc,"The Department of Correction operates ten jails on Rikers Island and additional facilities and court pens throughout the city.  It houses an average daily population of approximately 12,500 inmates.",Lynelle Maginley-Liddie,Commissioner,Mayor's Office,,DOC,,72.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Correction+%28DOC%29,1895.0,Department of Correction,"Correction, Department of",Department of Correction (DOC),"Correction, Department of (DOC)","Correction, Department of (DOC)",Department of Correction,Department of Correction
Department of Cultural Affairs,"Cultural Affairs, Department of","Cultural Affairs, Department of (DCLA)",http://www.nyc.gov/culture,"The Department of Cultural Affairs (DCLA) ensures that cultural activities are an integral part of New York City’s civic and economic life by providing support, advocacy and technical assistance for the City’s cultural community. DCLA’s constituency consists of the 34 City-owned cultural institutions comprising the Cultural Institutions Group (CIG) and more than 1,500 other not-for-profit organizations serving constituencies in all neighborhoods of the City. DCLA also provides donated materials for arts programs offered by the public schools and cultural and social service groups, and commissions works of public art at Cityfunded construction projects throughout the City.",Laurie Cumbo,Commissioner,Mayor's Office,,DCLA,,126.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Cultural+Affairs+%28DCLA%29,1962.0,Department of Cultural Affairs,Cultural Affairs,Department of Cultural Affairs (DCLA),"Cultural Affairs, Department of (DCLA)","Cultural Affairs, Department of (DCLA)",Department of Cultural Affairs,Department of Cultural Affairs
Department of Design and Construction,"Design and Construction, Department of","Design and Construction, Department of (DDC)",http://www.nyc.gov/ddc,"The Department of Design and Construction (DDC) currently manages a design and construction portfolio of over $4.6 billion of the City's capital construction projects. Projects range from streets, highways, sewers and water mains to public safety, health and human service facilities, as well as cultural institutions and libraries. Through a combination of in-house staff and private consultants and contractors, the Department delivers quality, cost-effective projects in a safe and efficient manner.",Tom Foley,Commissioner,Mayor's Office,,DDC,,850.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Design+and+Construction+%28DDC%29,1996.0,Department of Design and Construction,Design and Construction,Department of Design and Construction (DDC),"Design and Construction, Department of (DDC)","Design and Construction, Department of (DDC)",Department of Design & Construction,Department of Design and Construction
Department of Education,"Education, Department of","Education, Department of (DOE)",http://schools.nyc.gov/,"The New York City Department of Education is the largest system of public schools in the United States, serving about 1.1 million students in over 1,700 schools.",David Banks,Chancellor,Mayor's Office,,DOE,,40.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Education+%28DOE%29,1847.0,Department of Education,Education,Department of Education (DOE),"Education, Department of (DOE)","Education, Department of (DOE)",Department of Education,Department of Education
Department of Environment Protection,"Environmental Protection, Department of","Enviormental Protection, Department of (DEP)",http://www.nyc.gov/dep,"The NYC DEP protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous substances pollution.",Rohit T. Aggarwala,Commissioner,Mayor's Office,,DEP,,826.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Environmental+Protection+%28DEP%29,1977.0,Department of Environmental Protection,Environmental Protection,Department of Environmental Protection (DEP),"Environmental Protection, Department of (DEP)","Environmental Protection, Department of (DEP)",Department of Environment Protection,Department of Environmental Protection
Department of Finance,"Finance, Department of","Finance, Department of (DOF)",http://www.nyc.gov/finance,"We collect revenue, value property, record property documents, administer tax benefits, adjudicate parking tickets, advise the Mayor on pension issues, and are the chief civil law enforcement officer.",Preston Niblack,Commissioner,Mayor's Office,,DOF,,836.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Finance+%28DOF%29,,Department of Finance,Finance,Department of Finance (DOF),"Finance, Department of (DOF)","Finance, Department of (DOF)",Department of Finance,Department of Finance
Department of Health and Mental Hygiene,"Health and Mental Hygiene, Department of","Health and Mental Hygiene, Department of (DOHMH)",http://www.nyc.gov/health,The Department of Health and Mental Hygiene (DOHMH) protects and promotes the health and mental well being of all New Yorkers.,Dr. Ashwin Vasan,Commissioner,Mayor's Office,NYC Health; Health Department,DOHMH,DOH,816.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Health+and+Mental+Hygiene+%28DOHMH%29,1870.0,Department of Health and Mental Hygiene,"Health & Mental Hygiene, Department of",Department of Health and Mental Hygiene (DOHMH),"Health and Mental Hygiene, Department of (DOHMH)","Health and Mental Hygiene, Department of (DOHMH)",Department of Health and Mental Hygiene,Department of Health and Mental Hygiene
Department of Investigation,"Investigation, Department of","Investigation, Department of (DOI)",http://www.nyc.gov/doi,"DOI is NYC's watchdog, exposing and stopping corruption, and referring for prosecution City employees, contractors, and others who engage in fraudulent activities against the City and its taxpayers.",Jocelyn Strauber,Commissioner,Mayor's Office,,DOI,,32.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Investigation+%28DOI%29,1873.0,Department of Investigation,Investigation,Department of Investigation (DOI),"Investigation, Department of (DOI)","Investigation, Department of (DOI)",Department of Investigation,Department of Investigation
Department of Parks and Recreation,"Parks and Recreation, Department of","Parks and Recreation, Department of (DPR)",http://www.nycgovparks.org/,"We oversee parks, athletic fields, playgrounds, public pools, golf courses, and beaches. We look after 650,000 street trees, and are providers of recreational and athletic facilities and programs.",Susan Donoghue,Commissioner,Mayor's Office,NYC Parks,DPR,Parks,846.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Parks+and+Recreation+%28DPR%29,1934.0,Department of Parks and Recreation,"Parks, NYC",Department of Parks and Recreation (DPR),"Parks and Recreation, Department of (DPR)","Parks and Recreation, Department of (DPR)",Department of Parks & Recreation,Department of Parks and Recreation
Department of Probation,"Probation, Department of","Probation, Department of (DOP)",http://www.nyc.gov/probation,"DOP helps build stronger and safer communities by expanding opportunities for probation clients to seek meaningful education, employment, health services, family engagement and civic participation.",Juanita N. Holmes,Commissioner,Mayor's Office,,DOP,,781.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Probation+%28DOP%29,1974.0,Department of Probation,Probation,Department of Probation (DOP),"Probation, Department of (DOP)","Probation, Department of (DOP)",Department of Probation,Department of Probation
Department of Records & Information Service,"Records and Information Services, Department of","Records and Information Services, Department of (DORIS)",http://www.nyc.gov/records,"The Department of Records and Information Services preserves and maintains the City’s records and publications through the Municipal Archives, the Municipal Records Management Division, and the City Hall Library. The Department currently responds to more than 65,000 requests annually and provides the public and City agencies access to approximately 160,000 cubic feet of historically valuable City records and photos, and a unique collection of nearly 260,000 books, official government reports, studies and other publications. Through its Web site, the Department also provides electronic access to official reports issued by New York City government agencies.",Pauline Toole,Commissioner,Mayor's Office,,DORIS,DoRIS,860.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Records+and+Information+Services+%28DORIS%29,1977.0,Department of Records and Information Services,Records & Information Services,Department of Records and Information Services (DORIS),"Records and Information Services, Department of (DORIS)","Records and Information Services, Department of (DORIS)",Department of Records & Information Service,Department of Records and Information Services
Department of Sanitation,"Sanitation, Department of","Sanitation, Department of (DSNY)",http://www.nyc.gov/dsny,"DSNY manages NYC’s municipal and residential solid waste, both refuse and recyclables; clears snow & ice; cleans vacant lots, enforces sanitation laws and removes abandoned vehicles from city streets.",Jessica Tisch,Commissioner,Mayor's Office,,DSNY,,827.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Sanitation+%28DSNY%29,1881.0,Department of Sanitation,Sanitation,Department of Sanitation (DSNY),"Sanitation, Department of (DSNY)","Sanitation, Department of (DSNY)",Department of Sanitation,Department of Sanitation
Department of Small Business Services,"Small Business Services, Department of",Small Business Services (SBS),http://www.nyc.gov/sbs,"SBS makes it easier for businesses to start, operate and grow by providing direct assistance to business owners, linking employers to a qualified workforce, and fostering neighborhood development. ",Kevin D. Kim,Commissioner,Mayor's Office,,SBS,,801.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Small+Business+Services+%28SBS%29,1980.0,Department of Small Business Services,Small Business Services,Department of Small Business Services (SBS),Small Business Services (SBS),Small Business Services (SBS),Department of Small Business Services,Department of Small Business Services
Department of Social Services,"Social Services, Department of",Department of Social Services (DSS),http://www1.nyc.gov/site/dss/index.page,The Department of Social Services (DSS) is comprised of the administrative units of the NYC Human Resources Administration (HRA) and the Department of Homeless Services (DHS).,Molly Wasow Park,Commissioner,Mayor's Office,,DSS,,69.0,,2019.0,Department of Social Services,,,Department of Social Services (DSS),Department of Social Services (DSS),Department of Social Services,Department of Social Services
Department of Social Services - Department of Homeless Services,"Homeless Services, Department of","Homeless Services, Department of (DHS)",http://www.nyc.gov/dhs,"The mission of the Department of Homeless Services (DHS) is to prevent homelessness when possible and to provide short-term, emergency shelter for individuals and families who have no other housing options available.",Joslyn Carter,Administrator,Department of Social Services,,DHS,,71.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Homeless+Services+%28DHS%29,1993.0,Department of Homeless Services,"Homeless Services, Department of",Department of Homeless Services (DHS),"Homeless Services, Department of (DHS)","Homeless Services, Department of (DHS)",Department of Social Services - Department of Homeless Services,Department of Homeless Services
Department of Social Services - Human Resources Administration,Human Resources Administration,Human Resources Administration (HRA),http://www.nyc.gov/hra,HRA works to end poverty and income inequality in New York City by connecting New Yorkers in need with a variety of essential services such as Food Stamps and Cash Assistance.,Molly Park,Commissioner,Department of Social Services,,HRA,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Human+Resources+Administration+%28HRA%29,1966.0,,Human Resources Administration / Department of Social Services,Human Resources Administration (HRA),Human Resources Administration (HRA),Human Resources Administration (HRA),Department of Social Services - Human Resources Administration,Human Resources Administration
Department of Transportation,"Transportation, Department of","Transportation, Department of (DOT)",http://www.nyc.gov/dot,"DOT provides for the safe and efficient movement of people and goods in New York City. The agency maintains bridges, tunnels, streets, sidewalks and bike lanes, and operates the Staten Island Ferry.",Ydanis Rodriguez,Commissioner,Mayor's Office,,NYC DOT,DOT,841.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Transportation+%28DOT%29,1977.0,Department of Transportation,Transportation,Department of Transportation (DOT),"Transportation, Department of (DOT)","Transportation, Department of (DOT)",Department of Transportation,Department of Transportation
Department of Veterans' Services,"Veterans' Services, Department of","Veterans' Service, Department of (DVS)",http://www.nyc.gov/veterans,The Department of Veterans' Services advises the Mayor on issues and projects impacting the veterans' community.,James Hendon,Commissioner,Mayor's Office,,DVS,,63.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Veterans%27+Services+%28DVS%29,1945.0,Department of Veterans' Services,"Veterans' Services, Department of",Department of Veterans’ Services (DVS),"Veterans' Services, Department of (DVS)","Veterans' Services, Department of (DVS)",Department of Veteran's Services,Department of Veterans' Services
Department of Youth and Community Development,"Youth and Community Development, Department of","Youth and Community Development, Department of (DYCD)",http://www.nyc.gov/dycd,"The Department of Youth and Community Development (DYCD) was created in 1996 to provide the City of New York with high-quality youth and family programming. Our central task is administering available City, state, and federal funds to effective community-based organizations. ",Keith Howard,Commissioner,Mayor's Office,,DYCD,,260.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Youth+and+Community+Development+%28DYCD%29,1996.0,Department of Youth and Community Development,Youth and Community Development,Department of Youth and Community Development (DYCD),"Youth and Community Development, Department of (DYCD)","Youth and Community Development, Department of (DYCD)",Department of Youth & Community Development,Department of Youth and Community Development
Deputy Mayor of Health & Human Services,"Health and Human Services, Deputy Mayor for",Mayor's Office - Deputy Mayor for Health and Human Services,,,,Deputy Mayor for Health and Human Services,Mayor's Office,,DMHHS,,,,2022.0,,,,,Office of the Deputy Mayor for Health and Human Services,Deputy Mayor of Health & Human Services,
Deputy Mayor of Housing Economic & Workforce Development,"Housing, Economic Development and Workforce, Deputy Mayor for",Mayor's Office - Deputy Mayor for Economic and Workforce Development,,,,Deputy Mayor for Economic and Workforce Development,Mayor's Office,,DMEWD,,,,2021.0,,,,,Office of the Deputy Mayor for Economic and Workforce Development,Deputy Mayor of Housing Economic & Workforce Development,
Deputy Mayor of Operations,"Operations, Deputy Mayor for",Mayor's Office - Deputy Mayor for Operations,,,,Deputy Mayor for Operations,Mayor's Office,,DMOPS,,,,1977.0,,,,,Office of the Deputy Mayor for Operations,Deputy Mayor of Operations,
Deputy Mayor of Public Safety,"Public Safety, Deputy Mayor for",Mayor's Office - Deputy Mayor for Public Safety,,,,Deputy Mayor for Public Safety,Mayor's Office,,DMPS,,,,1990.0,,,,,Office of the Deputy Mayor for Public Safety,Deputy Mayor of Public Safety,Deputy Mayor for Public Safety
Deputy Mayor of Strategic Initiatives,"Strategic Initiatives, Deputy Mayor for",Mayor's Office - Deputy Mayor for Strategic Intitiatives,,,,Deputy Mayor for Strategic Initiatives,Mayor's Office,,DMSI,,,,2014.0,,,,,Office of the Deputy Mayor for Strategic Initiatives,Deputy Mayor of Strategic Initiatives,
Director of Communications,"Communications, Director of",Mayor's Office - Deputy Mayor for Communications,,,,,Mayor's Office,,,,,,,,,,,,Director of Communications,
Disconnected Youth Task Force,,,,,,,,,,,,,,,,,,,Disconnected Youth Task Force,
District Attorney - Bronx County,,District Attorney- Bronx County,,,,,,,,,,,,,,,,,District Attorney - Bronx County,
District Attorney - Kings County,,District Attorney- Kings County (Brooklyn),,,,,,,,,,,,,,,,,District Attorney - Kings County (Brooklyn),
District Attorney - New York County,,District Attorney- New York County (Manhattan),,,,,,,,,,,,,,,,,District Attorney - New York County (Manhattan),
District Attorney - Queens County,,District Attorney- Queens County,,,,,,,,,,,,,,,,,District Attorney - Queens County,
District Attorney - Richmond County,,District Attorney- Richmond County (Staten Island),,,,,,,,,,,,,,,,,District Attorney - Richmond County (Staten Island),
District Attorneys,District Attorneys,,,,,,,,,,,,1801.0,,District Attorney,,,,,
Domestic Violence Fatality Review Committee,,,,,,,,,,,,,,,,,,,Domestic Violence Fatality Review Committee,
Downtown Brooklyn Partnership,Downtown Brooklyn Partnership,,https://www.downtownbrooklyn.com/,,,,,,DBP,,,,2004.0,,,,,,,
Drug Strategy Advisory Council,,,,,,,,,,,,,,,,,,,Drug Strategy Advisory Council,
Economic Development Corporation,Economic Development Corporation,Economic Development Corporation (NYCEDC),http://www.nycedc.com,"The New York City Economic Development Corporation (NYCEDC), a nonprofit organization operating under contract with the City of New York, is the City’s primary vehicle for economic development services. NYCEDC serves as a catalyst for public and private initiatives that promote the City’s long-term vitality. Through affordable financing, tax exemptions and low-cost energy programs, NYCEDC helps City businesses gain the competitive edge they need to meet their short- and long-term goals.",Andrew Kimball,President and CEO,,,NYCEDC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Economic+Development+Corporation+%28EDC%29,1991.0,,"Economic Development Corporation, NYC",Economic Development Corporation (EDC),Economic Development Corporation (NYCEDC),Economic Development Corporation (NYCEDC),Economic Development Corporation,Economic Development Corporation
Economic Development Corporation Board of Trustees,,,,,,,,,,,,,,,,,,,Economic Development Corporation Board of Trustees,
Economic Development Corporation Life Sciences Advisory Council,,,,,,,,,,,,,,,,,,,Economic Development Corporation Life Sciences Advisory Council,
Economic Development Corporation Real Estate Life Sciences Advisory Board,,,,,,,,,,,,,,,,,,,Economic Development Corporation Real Estate Life Sciences Advisory Board,
Educational Construction Fund,Educational Construction Fund,,,,,,,,,,,,1966.0,,Educational Construction Fund,,,,Educational Construction Fund,Educational Construction Fund
Environmental Control Board,Environmental Control Board,,https://www.nyc.gov/site/oath/hearings/about-ecb.page,,,,Office of Administrative Trials and Hearings,,ECB,,,,2008.0,,,,,,Environmental Control Board,
Environmental Justice Advisory Board,,,,,,,,,,,,,,,,,,,Environmental Justice Advisory Board,
"Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force",,,,,,,,,,,,,,,,,,,"Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force",
Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission (EEPC),http://www.nyc.gov/eepc,"This Commission is an independent City agency composed of a Chair and four other members, all appointed for staggered four year terms. The Commission is responsible for monitoring the equal employment programs, practices, policies, and procedures of all local government agencies that are funded in whole or in part by the City, or have a majority of board members who are appointed by the Mayor, or serve by virtue of being City officers.",Jeanne M. Victor,Executive Director,,Equal Employment Opportunity,EEPC,,133.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Equal+Employment+Practices+Commission+%28EEPC%29,1989.0,Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission,Equal Employment Practices Commission
Fair Recovery Task Force,,,,,,,,,,,,,,,,,,,Fair Recovery Task Force,
Fashion Institute of Technology - Board of Trustees,,,,,,,,,,,,,,,,,,,Fashion Institute of Technology - Board of Trustees,
FDNY Department Pension Fund,,,,,,,,,,,,,,,,,,,FDNY Department Pension Fund,
Financial Information Services Agency,Financial Information Services Agency,,,,,,Mayor's Office,,,,,,1982.0,Financial Information Services Agency,Financial Information Services Agency,,,,Financial Information Services Agency,Financial Information Services Agency
Fire Department,Fire Department,"Fire Department, New York City (FDNY)",http://www.nyc.gov/fdny,"As first responders to fires, public safety and medical emergencies, disasters and terrorist acts, FDNY protects the lives and property of New York City residents and visitors.",Laura Kavanaugh,Commissioner,Mayor's Office,,FDNY,,57.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Fire+Department+of+New+York+City+%28FDNY%29,1865.0,Fire Department,Fire Department,Fire Department of New York City (FDNY),"Fire Department, New York City (FDNY)","Fire Department, New York City (FDNY)",Fire Department,Fire Department
First Deputy Mayor,"Mayor, First Deputy",Mayor's Office - First Deputy Mayor,,,,First Deputy Mayor,Mayor's Office,,,,,,1935.0,,,,,Office of the First Deputy Mayor,First Deputy Mayor,
Flushing Meadows Corona Park Alliance,,,,,,,,,,,,,,,,,,,Flushing Meadows Corona Park Alliance,
Food Service Establishment Advisory Board,,,,,,,,,,,,,,,,,,,Food Service Establishment Advisory Board,
Forest Park Trust,,,,,,,,,,,,,,,,,,,Forest Park Trust,
Franchise and Concession Review Committee,Franchise and Concession Review Committee,,,,,,,,,,,,1989.0,,,,,,Franchise and Concession Review Committee,
Fund for Public Schools,,,,,,,,,,,,,,,,,,,Fund for Public Schools,
Future Workers Task Force,,,,,,,,,,,,,,,,,,,Future Workers Task Force,
Gender and Racial Equity Advisory Board,,,,,,,,,,,,,,,,,,,Gender and Racial Equity Advisory Board,
Get Stuff Built Advisory Board,,,,,,,,,,,,,,,,,,,Get Stuff Built Advisory Board,
Gracie Mansion Conservancy,Gracie Mansion Conservancy,,https://www.graciemansion.org/,,,,,,,,,,1799.0,,,,,,Gracie Mansion Conservancy,Gracie Mansion
Gracie Mansion Conversancy Advisory Committee,,,,,,,,,,,,,,,,,,,Gracie Mansion Conversancy Advisory Committee,
Grand Central Partnership,Grand Central Partnership,,https://www.grandcentralpartnership.nyc/,,,,,,,,,,1985.0,,,,,,,
Green Economy Advisory Council,,,,,,,,,,,,,,,,,,,Green Economy Advisory Council,
Greenbelt Conservancy,,,,,,,,,,,,,,,,,,,Greenbelt Conservancy,
GrowNYC,GrowNYC,,https://www.grownyc.org/,,,,,,,,,,1970.0,,GrowNYC,,,,GrowNYC (previously Council on the Environment),
Handschu Committee,,,,,,,,,,,,,,,,,,,Handschu Committee,
Hardship Appeals Panel,Hardship Appeals Panel,,,,,,,,,,,,1989.0,,,,,,,
Health and Hospitals Corporation Board of Directors,,,,,,,,,,,,,,,,,,,Health and Hospitals Corporation Board of Directors,
Health and Hospitals Corporation Personnel Review Board,,,,,,,,,,,,,,,,,,,Health and Hospitals Corporation Personnel Review Board,
HIV Planning Council,,,,,,,,,,,,,,,,,,,HIV Planning Council,
HIV/AIDS Services Advisory Board,,,,,,,,,,,,,,,,,,,HIV/AIDS Services Advisory Board,
Housing Development Corporation,Housing Development Corporation,Hosing Development Corporation (NYC HDC),https://www.nychdc.com/,"The New York City Housing Development Corporation (HDC) seeks to increase the supply of multi-family housing, stimulate economic growth and revitalize neighborhoods by financing the creation and preservation of affordable housing for low- , moderate- , and middle-income New Yorkers.",Eric Enderlin,President,,,NYC HDC,,,,1971.0,,"Housing Development Corporation, NYC",,Housing Development Corporation (NYC HDC),Housing Development Corporation (NYC HDC),Housing Development Corporation,Housing Development Corporation
Housing Preservation & Development,"Housing Preservation and Development, Department of","Housing Preservation and Development, Department of (HPD)",http://www.nyc.gov/hpd,"Using a variety of preservation, development, and enforcement strategies, the Department of Housing Preservation and Development (HPD) strives to improve the availability, affordability, and quality of housing in New York City. As the nation’s largest municipal housing agency, HPD works with private, public, and community partners to strengthen neighborhoods and enable more New Yorkers to become homeowners or to rent well-maintained, affordable housing.",Adolfo Carrión Jr.,Commissioner,Mayor's Office,,HPD,,806.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Housing+Preservation+and+Development+%28HPD%29,1978.0,Housing Preservation and Development,Housing Preservation & Development,Department of Housing Preservation and Development (HPD),"Housing Preservation and Development, Department of  (HPD)","Housing Preservation and Development, Department of  (HPD)",Housing Preservation & Development,Department of Housing Preservation and Development
Housing Recovery Office,"Housing Recovery Operations, Mayor's Office of",Housing Recovery Operations (HRO),http://www.nyc.gov/recovery,"The Mayor's Office of Housing Recovery Operations (HRO), was created to assist homeowners, landlords, renters, and tenants affected by Hurricane Sandy within the five boroughs. The program offers multiple pathways of assistance, including: property rehabilitation or reconstruction, reimbursement for repair work already carried out, and acquisition of homes. The primary goal of the program is to make Sandy-affected New Yorkers and communities safer and more resilient.",Rudy S. Giuliani,Executive Director,Mayor's Office,,HRO,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Housing+Recovery+Operations+%28HRO%29,2012.0,,,Mayor’s Office of Housing Recovery Operations (HRO),Housing Recovery Operations (HRO),Housing Recovery Operations (HRO),Housing Recovery Office,Housing Recovery Operations
Hudson River Park Trust,,,,,,,,,,,,,,,,,,,Hudson River Park Trust,
Hudson River Valley Greenway Communities Council,,,,,,,,,,,,,,,,,,,Hudson River Valley Greenway Communities Council,
Hudson Yards Infrastructure Corporation,Hudson Yards Infrastructure Corporation,Hudson Yards Infastructure Corporation,http://www.nyc.gov/hyic,"The Hudson Yards Infrastructure Corporation is a local development corporation created in 2005 by the City of New York to finance certain property acquisition and infrastructure work, including the extension of the No. 7 subway line, as part of the development of the Hudson Yards Financing District.",David Womack,President,,,,,,,2005.0,,,,Hudson Yards Infrastructure Corporation,Hudson Yards Infrastructure Corporation,Hudson Yards Infrastructure Corporation,
Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce,,,,,,,,,,,,,,,,,,,Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce,
Independent Budget Office,Independent Budget Office,"Independent Budget Office, NYC (IBO)",http://www.ibo.nyc.ny.us/index.html,"The Independent Budget Office provides non-partisan budgetary, economic, and policy analysis for New York City residents and elected officials, and increases the visibility of the budget process.",Louisa Chafee,Director,,,IBO,,132.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=NYC+Independent+Budget+Office+%28IBO%29,1989.0,Independent Budget Office,"Independent Budget Office, NYC",NYC Independent Budget Office (IBO),"Independent Budget Office, NYC (IBO)","Independent Budget Office, NYC (IBO)",Independent Budget Office,Independent Budget Office
Independent Budget Office Advisory Committee,Independent Budget Office Advisory Committee,,,,,,,,,,,,1989.0,,,,,,,
Industrial Development Agency,,,,,,,,,,,,,,,,,,,Industrial Development Agency,
Interagency Coordinating Council,Interagency Coordinating Council,,,,,,Department of Youth and Community Development,,,,,,1988.0,,,,,,,
