Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,RecordID,data_source
"Deputy Mayor for Housing, Economic Development and Workforce","Housing, Economic Development and Workforce, Deputy Mayor for",Deputy Mayor for Economic and Workforce Development,,,,,,Office of the Deputy Mayor for Economic and Workforce Development,Deputy Mayor for Economic and Workforce Development (DMEWD),,,REC_000059,nyc_agencies_export
Deputy Mayor of Health & Human Services,"Health and Human Services, Deputy Mayor for",Deputy Mayor for Health and Human Services,,,,,,Office of the Deputy Mayor for Health and Human Services,Deputy Mayor for Health and Human Services (DMHHS),Deputy Mayor of Health & Human Services,,OPS_000004,ops
Deputy Mayor of Housing Economic & Workforce Development,,,,,,,,,,Deputy Mayor of Housing Economic & Workforce Development,,OPS_000003,ops
Deputy Mayor of Operations,"Operations, Deputy Mayor for",Deputy Mayor for Operations,,,,,,Office of the Deputy Mayor for Operations,Deputy Mayor for Operations (DMOPS),Deputy Mayor of Operations,,OPS_000005,ops
Deputy Mayor of Public Safety,"Public Safety, Deputy Mayor for",Deputy Mayor for Public Safety,,,,,,Office of the Deputy Mayor for Public Safety,Deputy Mayor for Public Safety (DMPS),Deputy Mayor of Public Safety,Deputy Mayor for Public Safety,OPS_000006,ops
Deputy Mayor of Strategic Initiatives,"Strategic Initiatives, Deputy Mayor for",Deputy Mayor for Strategic Initiatives,,,,,,Office of the Deputy Mayor for Strategic Initiatives,Deputy Mayor for Strategic Initiatives (DMSI),Deputy Mayor of Strategic Initiatives,,OPS_000007,ops
Director of Communications,"Communications, Director of",,,,,,,,,Director of Communications,,OPS_000017,ops
Disconnected Youth Task Force,,,,,,,,,,Disconnected Youth Task Force,,OPS_000219,ops
District Attorney - Bronx County,,,,,District Attorney- Bronx County,,,,,District Attorney - Bronx County,,OPS_000401,ops
District Attorney - Kings County (Brooklyn),,,,,District Attorney- Kings County (Brooklyn),,,,,District Attorney - Kings County (Brooklyn),,OPS_000400,ops
District Attorney - New York County (Manhattan),,,,,District Attorney- New York County (Manhattan),,,,,District Attorney - New York County (Manhattan),,OPS_000402,ops
District Attorney - Queens County,,,,,District Attorney- Queens County,,,,,District Attorney - Queens County,,OPS_000403,ops
District Attorney - Richmond County (Staten Island),,,,,District Attorney- Richmond County (Staten Island),,,,,District Attorney - Richmond County (Staten Island),,OPS_000404,ops
District Attorneys,District Attorneys,,,District Attorney,,,,,,,,REC_000064,nyc_agencies_export
Domestic Violence Fatality Review Committee,,,,,,,,,,Domestic Violence Fatality Review Committee,,OPS_000218,ops
Downtown Brooklyn Partnership,Downtown Brooklyn Partnership,,,,,,,,Downtown Brooklyn Partnership (DBP),,,REC_000066,nyc_agencies_export
Drug Strategy Advisory Council,,,,,,,,,,Drug Strategy Advisory Council,,OPS_000217,ops
Economic Development Corporation,Economic Development Corporation,,,"Economic Development Corporation, NYC",Economic Development Corporation (NYCEDC),Economic Development Corporation (EDC),Economic Development Corporation (NYCEDC),Economic Development Corporation (NYCEDC),Economic Development Corporation (EDC),Economic Development Corporation,Economic Development Corporation,OPS_000112,ops
Economic Development Corporation Board of Trustees,,,,,,,,,,Economic Development Corporation Board of Trustees,,OPS_000222,ops
Economic Development Corporation Life Sciences Advisory Council,,,,,,,,,,Economic Development Corporation Life Sciences Advisory Council,,OPS_000223,ops
Economic Development Corporation Real Estate Life Sciences Advisory Board,,,,,,,,,,Economic Development Corporation Real Estate Life Sciences Advisory Board,,OPS_000224,ops
Educational Construction Fund,Educational Construction Fund,,,Educational Construction Fund,,,,,,Educational Construction Fund,Educational Construction Fund,OPS_000221,ops
"Enviormental Coordination, Mayor's Office of (MOEC)",,,,,"Enviormental Coordination, Mayor's Office of (MOEC)",,,,,,,REC_000069,nyc_agencies_export
"Enviormental Protection, Department of (DEP)",,,,,"Enviormental Protection, Department of (DEP)",,,,,,,REC_000070,nyc_agencies_export
Environmental Control Board,Environmental Control Board,,,,,,,,Environmental Control Board (ECB),Environmental Control Board,,OPS_000220,ops
Environmental Justice Advisory Board,,,,,,,,,,Environmental Justice Advisory Board,,OPS_000226,ops
"Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force",,,,,,,,,,"Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force",,OPS_000360,ops
Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission,Equal Employment Practices Commission,OPS_000225,ops
Fair Recovery Task Force,,,,,,,,,,Fair Recovery Task Force,,OPS_000234,ops
Family Court of the State of New York - City of New York,Family Court of the State of New York - City of New York,,,Family Court of the State of New York - City of New York,,,,,,,,REC_000072,nyc_agencies_export
Fashion Institute of Technology - Board of Trustees,,,,,,,,,,Fashion Institute of Technology - Board of Trustees,,OPS_000230,ops
FDNY Department Pension Fund,,,,,,,,,,FDNY Department Pension Fund,,OPS_000228,ops
Financial Information Services Agency,Financial Information Services Agency,,Financial Information Services Agency,Financial Information Services Agency,,,,,,Financial Information Services Agency,Financial Information Services Agency,OPS_000115,ops
Fire Department,Fire Department,Fire Department,Fire Department,Fire Department,"Fire Department, New York City (FDNY)",Fire Department of New York City (FDNY),"Fire Department, New York City (FDNY)","Fire Department, New York City (FDNY)",New York City Fire Department (FDNY),Fire Department,Fire Department,OPS_000113,ops
Fire Department Pension Fund and Related Funds,Fire Department Pension Fund and Related Funds,,,,,,,,,,,REC_000075,nyc_agencies_export
First Deputy Mayor,"Mayor, First Deputy",First Deputy Mayor,,,,,,Office of the First Deputy Mayor,,First Deputy Mayor,,OPS_000008,ops
Flushing Meadows Corona Park Alliance,,,,,,,,,,Flushing Meadows Corona Park Alliance,,OPS_000232,ops
"Food Policy, Mayor's Office of",,,,,"Food Policy, Mayor's Office of",,,,,,,REC_000076,nyc_agencies_export
Food Service Establishment Advisory Board,,,,,,,,,,Food Service Establishment Advisory Board,,OPS_000235,ops
Forest Park Trust,,,,,,,,,,Forest Park Trust,,OPS_000233,ops
Franchise and Concession Review Committee,Franchise and Concession Review Committee,,,,,,,,,Franchise and Concession Review Committee,,OPS_000227,ops
Fund for Public Schools,,,,,,,,,,Fund for Public Schools,,OPS_000116,ops
Future Workers Task Force,,,,,,,,,,Future Workers Task Force,,OPS_000236,ops
Gender and Racial Equity Advisory Board,,,,,,,,,,Gender and Racial Equity Advisory Board,,OPS_000240,ops
Get Stuff Built Advisory Board,,,,,,,,,,Get Stuff Built Advisory Board,,OPS_000243,ops
Gracie Mansion Conservancy,Gracie Mansion Conservancy,Gracie Mansion,,,,,,,,Gracie Mansion Conservancy,Gracie Mansion,OPS_000025,ops
Gracie Mansion Conversancy Advisory Committee,,,,,,,,,,Gracie Mansion Conversancy Advisory Committee,,OPS_000239,ops
Grand Central Partnership,Grand Central Partnership,,,,,,,,Grand Central Partnership,,,REC_000078,nyc_agencies_export
Green Economy Advisory Council,,,,,,,,,,Green Economy Advisory Council,,OPS_000237,ops
Greenbelt Conservancy,,,,,,,,,,Greenbelt Conservancy,,OPS_000241,ops
GreeNYC,GreeNYC,,,,GreeNYC (GNYC),,GreeNYC (GNYC),GreeNYC (GNYC),,,,REC_000079,nyc_agencies_export
GrowNYC,GrowNYC,,,GrowNYC,,,,,,GrowNYC (previously Council on the Environment),,OPS_000242,ops
Handschu Committee,,,,,,,,,,Handschu Committee,,OPS_000244,ops
Hardship Appeals Panel,Hardship Appeals Panel,,,,,,,,,,,REC_000080,nyc_agencies_export
Health and Hospitals Corporation Board of Directors,,,,,,,,,,Health and Hospitals Corporation Board of Directors,,OPS_000247,ops
Health and Hospitals Corporation Personnel Review Board,,,,,,,,,,Health and Hospitals Corporation Personnel Review Board,,OPS_000248,ops
HIV Planning Council,,,,,,,,,,HIV Planning Council,,OPS_000249,ops
HIV/AIDS Services Advisory Board,,,,,,,,,,HIV/AIDS Services Advisory Board,,OPS_000245,ops
"Homeless Services, Department of (DHS)","Homeless Services, Department of",,Department of Homeless Services,"Homeless Services, Department of","Homeless Services, Department of (DHS)",Department of Homeless Services (DHS),"Homeless Services, Department of (DHS)","Homeless Services, Department of (DHS)",Department of Homeless Services (DHS),,Department of Homeless Services,REC_000082,nyc_agencies_export
Housing Development Corporation,Housing Development Corporation,,,"Housing Development Corporation, NYC",Hosing Development Corporation (NYC HDC),,Housing Development Corporation (NYC HDC),Housing Development Corporation (NYC HDC),Housing Development Corporation (HDC),Housing Development Corporation,Housing Development Corporation,OPS_000246,ops
Housing Preservation & Development,,,,,,,,,,Housing Preservation & Development,,OPS_000118,ops
"Housing Preservation and Development, Department of (HPD)","Housing Preservation and Development, Department of",Department of Housing Preservation and Development,Housing Preservation and Development,Housing Preservation & Development,"Housing Preservation and Development, Department of (HPD)",Department of Housing Preservation and Development (HPD),"Housing Preservation and Development, Department of  (HPD)","Housing Preservation and Development, Department of  (HPD)",Department of Housing Preservation and Development (HPD),,Department of Housing Preservation and Development,REC_000085,nyc_agencies_export
Housing Recovery Office,,,,,,,,,,Housing Recovery Office,,OPS_000026,ops
Housing Recovery Operations (HRO),,,,,Housing Recovery Operations (HRO),,,,,,,REC_000086,nyc_agencies_export
Hudson River Park Trust,,,,,,,,,,Hudson River Park Trust,,OPS_000250,ops
Hudson River Valley Greenway Communities Council,,,,,,,,,,Hudson River Valley Greenway Communities Council,,OPS_000251,ops
Hudson Yards Infrastructure Corporation,Hudson Yards Infrastructure Corporation,,,,Hudson Yards Infastructure Corporation,,Hudson Yards Infrastructure Corporation,Hudson Yards Infrastructure Corporation,,Hudson Yards Infrastructure Corporation,,OPS_000252,ops
Human Resources Administration,Human Resources Administration,,,Human Resources Administration / Department of Social Services,Human Resources Administration (HRA),Human Resources Administration (HRA),Human Resources Administration (HRA),Human Resources Administration (HRA),Human Resources Administration (HRA),,Human Resources Administration,REC_000088,nyc_agencies_export
"Human Rights, City Commission on (CCHR)",,,,,"Human Rights, City Commission on (CCHR)",,,,,,,REC_000089,nyc_agencies_export
Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce,,,,,,,,,,Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce,,OPS_000341,ops
Independent Budget Office,Independent Budget Office,Independent Budget Office,Independent Budget Office,"Independent Budget Office, NYC","Independent Budget Office, NYC (IBO)",NYC Independent Budget Office (IBO),"Independent Budget Office, NYC (IBO)","Independent Budget Office, NYC (IBO)",Independent Budget Office (IBO),Independent Budget Office,Independent Budget Office,OPS_000406,ops
Independent Budget Office Advisory Committee,Independent Budget Office Advisory Committee,,,,,,,,,,,REC_000091,nyc_agencies_export
Industrial Development Agency,,,,,,,,,,Industrial Development Agency,,OPS_000254,ops
Interagency Coordinating Council,Interagency Coordinating Council,,,,,,,,,,,REC_000094,nyc_agencies_export
Intergovernmental Affairs,"Intergovernmental Affairs, Mayor's Office of",Mayor's Office of Intergovernmental Affairs,,,,,"Intergovernmental Affairs, Mayor's Office of (MOIGA)","Intergovernmental Affairs, Mayor's Office of (MOIGA)",Mayor's Office of Intergovernmental Affairs (MOIGA),Intergovernmental Affairs,Office of Intergovernmental Affairs,OPS_000028,ops
Intergovernmental Affairs - City Legislative Affairs,,,,,,,,,,Intergovernmental Affairs - City Legislative Affairs,,OPS_000029,ops
Intergovernmental Affairs - Federal Legislative Affairs,,,,,,,,,,Intergovernmental Affairs - Federal Legislative Affairs,,OPS_000030,ops
"Intergovernmental Affairs, Mayors Office of (MOIGA)",,,,,"Intergovernmental Affairs, Mayors Office of (MOIGA)",,,,,,,REC_000095,nyc_agencies_export
Intergovernmental Affairs - State Legislative Affairs,,,,,,,,,,Intergovernmental Affairs - State Legislative Affairs,,OPS_000031,ops
"Jamaica Bay - Rockaway Parks Conservancy, Inc.",,,,,,,,,,"Jamaica Bay - Rockaway Parks Conservancy, Inc.",,OPS_000259,ops
Jamaica Bay Task Force,,,,,,,,,,Jamaica Bay Task Force,,OPS_000260,ops
Jewish Advisory Council,,,,,,,,,,Jewish Advisory Council,,OPS_000256,ops
"Judiciary, Mayors Advisory Committee on the (MACJ)",,,,,"Judiciary, Mayors Advisory Committee on the (MACJ)",,,,,,,REC_000097,nyc_agencies_export
Juvenile Justice Advisory Board,,,,,,,,,,Juvenile Justice Advisory Board,,OPS_000262,ops
Kings County Public Administrator,Public Administrator,,,Public Administrator,,,,,,Kings County Public Administrator,,OPS_000407,ops
Land Development Corporation,,,,,,,,,,Land Development Corporation,,OPS_000265,ops
Landmarks Preservation Commission,Landmarks Preservation Commission,Landmarks Preservation Commission,Landmarks Preservation Commission,Landmarks Preservation Commission,Landmarks Preservation Commission (LPC),Landmarks Preservation Commission (LPC),Landmarks Preservation Commission (LPC),Landmarks Preservation Commission (LPC),Landmarks Preservation Commission (LPC),Landmarks Preservation Commission,Landmarks Preservation Commission,OPS_000269,ops
Latin Media and Entertainment Commission,Latin Media and Entertainment Commission,,,,,Latin Media & Entertainment Commission (LMEC),,,,Latin Media & Entertainment Commission,,OPS_000263,ops
Law Department,Law Department,Law Department,Law Department,"Law Department, Office of the Corporation Counsel",Law Department (LAW),Law Department (LAW),Law Department (LAW),Law Department (LAW),Law Department (Law),Law Department,Law Department,OPS_000119,ops
Local Conditional Release Commission,,,,,,,,,,Local Conditional Release Commission,,OPS_000264,ops
Loft Board,"Loft Board, New York City",,,,Loft Board (LOFT),,Loft Board (LOFT),Loft Board (LOFT),,Loft Board,New York City Loft Board,OPS_000268,ops
Lower Manhattan Development Corporation,Lower Manhattan Development Corporation,,,Lower Manhattan Development Corporation,,,,,,Lower Manhattan Development Corporation,,OPS_000267,ops
Made in New York,Made in New York,,,,,,,,Made in New York (MINY),,,REC_000102,nyc_agencies_export
Marshall Plan for Moms Task Force,,,,,,,,,,Marshall Plan for Moms Task Force,,OPS_000279,ops
Mayor's Advance Team,,,,,,,,,,Mayor's Advance Team,,OPS_000010,ops
Mayor's Advisory Committee on the Judiciary,"Judiciary, Mayor's Advisory Committee on the",,,,,,,,,Mayor's Advisory Committee on the Judiciary,,OPS_000270,ops
Mayor's Chief of Staff,"Chief of Staff, Mayor's Office",Mayor's Office Chief of Staff,,,Mayor's Office - Chief of Staff,,,Office of the Chief of Staff,,Mayor's Chief of Staff,,OPS_000001,ops
Mayor's Committee on City Marshals,"City Marshals, Mayor's Committee on",,,,Mayor's Committee on City Marshals (MCCM),,Mayor's Committee on City Marshals (MCCM),Mayor's Committee on City Marshals (MCCM),,Mayor's Committee on City Marshals,Mayor's Committee on City Marshals,OPS_000273,ops
Mayor's Fund to Advance New York City,Mayor's Fund to Advance New York City,,,,Mayor's Fund to Advance NYC (Mayor's Fund),,Mayor's Fund to Advance NYC (Mayor's Fund),Mayor's Fund to Advance NYC (Mayor's Fund),,Mayor's Fund to Advance NYC,Mayor's Fund to Advance New York City,OPS_000032,ops
Mayor's Fund Board of Advisors,,,,,,,,,,Mayor's Fund Board of Advisors,,OPS_000271,ops
Mayor's Fund Board of Directors,,,,,,,,,,Mayor's Fund Board of Directors,,OPS_000272,ops
Mayor's Office,Mayor's Office,Mayor's Office NYC Service,Mayoralty,"Mayor, Office of the",Mayor's Office (OM),NYC Service,Mayor's Office (OM); NYC Service,Mayor's Office (OM); NYC Service,Office of the Mayor of New York City; NYC Service,Mayor's Office,Mayor's Office; NYC Service,OPS_000009,ops
Mayor's Office - Chief Advisor to the Mayor,,,,,Mayor's Office - Chief Advisor to the Mayor,,,,,,,REC_000104,nyc_agencies_export
Mayor's Office - Chief Counsel to the Mayor and City Hall,,,,,Mayor's Office - Chief Counsel to the Mayor and City Hall,,,,,,,REC_000105,nyc_agencies_export
Mayor's Office - Chief Efficiency Officer,,,,,Mayor's Office - Chief Efficiency Officer,,,,,,,REC_000106,nyc_agencies_export
Mayor's Office - Chief Housing officer (Resigned in July),,,,,Mayor's Office - Chief Housing officer (Resigned in July),,,,,,,REC_000107,nyc_agencies_export
Mayor's Office - Deputy Mayor for Communications,,,,,Mayor's Office - Deputy Mayor for Communications,,,,,,,REC_000110,nyc_agencies_export
Mayor's Office - Deputy Mayor for Economic and Workforce Development,,,,,Mayor's Office - Deputy Mayor for Economic and Workforce Development,,,,,,,REC_000111,nyc_agencies_export
Mayor's Office - Deputy Mayor for Health and Human Services,,,,,Mayor's Office - Deputy Mayor for Health and Human Services,,,,,,,REC_000112,nyc_agencies_export
Mayor's Office - Deputy Mayor for Operations,,,,,Mayor's Office - Deputy Mayor for Operations,,,,,,,REC_000113,nyc_agencies_export
Mayor's Office - Deputy Mayor for Public Safety,,,,,Mayor's Office - Deputy Mayor for Public Safety,,,,,,,REC_000114,nyc_agencies_export
Mayor's Office - Deputy Mayor for Strategic Intitiatives,,,,,Mayor's Office - Deputy Mayor for Strategic Intitiatives,,,,,,,REC_000115,nyc_agencies_export
"Mayor's Office - Director, Policy and Planning",,,,,"Mayor's Office - Director, Policy and Planning",,,,,,,REC_000116,nyc_agencies_export
Mayor's Office for Economic Opportunity,"Economic Opportunity, Mayor's Office for",Mayor's Office for Economic Opportunity,,,Mayor's Office for Economic Opportunity,Mayor’s Office for Economic Opportunity,Mayor's Office for Economic Opportunity,Mayor's Office for Economic Opportunity,Mayor's Office for Economic Opportunity (NYC Opportunity),Mayor's Office for Economic Opportunity,Office for Economic Opportunity,OPS_000060,ops
Mayor's Office to End Domestic and Gender-Based Violence,"End Domestic and Gender-Based Violence, Mayor's Office to",Mayor's Office to End Domestic and Gender-Based Violence,,,Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),Mayor’s Office to End Domestic and Gender-Based Violence (ENDGBV),Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),Mayor’s Office to End Domestic and Gender-Based Violence,Office to End Domestic Violence and Gender-Based Violence,OPS_000023,ops
Mayor's Office - Executive Director of Talent and Workforce Development,,,,,Mayor's Office - Executive Director of Talent and Workforce Development,,,,,,,REC_000117,nyc_agencies_export
Mayor's Office - First Deputy Mayor,,,,,Mayor's Office - First Deputy Mayor,,,,,,,REC_000118,nyc_agencies_export
Mayor's Office for International Affairs,"International Affairs, Mayor's Office for",Mayor's Office for International Affairs,,,Mayor's Office For International Affairs (IA),,Mayor's Office for International Affairs (IA),Mayor's Office for International Affairs (IA),Mayor's Office for International Affairs,Mayor's Office for International Affairs,Office of International Affairs,OPS_000027,ops
Mayor's Office -- Media and Research Analysis,,,,,,,,,,Mayor's Office -- Media and Research Analysis,,OPS_000055,ops
Mayor's Office for Nonprofit Services,,,,,,,,,,Mayor's Office for Nonprofit Services,,OPS_000045,ops
Mayor's Office of Administrative Services,"Administrative Services, Office of",,,,,,,,,Mayor's Office of Administrative Services,,OPS_000034,ops
Mayor's Office of Animal Welfare,"Animal Welfare, Office of",,,,,,"Animal Welfare, NYC Mayor’s Office of","Animal Welfare, NYC Mayor’s Office of",Office of Animal Welfare,Mayor's Office of Animal Welfare,Office of Animal Welfare,OPS_000035,ops
Mayor's Office of Appointments,"Appointments, Mayor's Office of",Mayor's Office of Appointments,,,"Appointments, Mayor's Office (MOA)",,"Appointments, Mayor's Office of (MOA)","Appointments, Mayor's Office of (MOA)",Mayor's Office of Appointments (MOA),Mayor's Office of Appointments,Office of Appointments,OPS_000033,ops
Mayor's Office of City Legislative Affairs,"City Legislative Affairs, Mayor's Office of",Mayor's Office of City Legislative Affairs; Mayor's Office of State Legislative Affairs; Mayor's Office of Federal Legislative Affairs,,,,,,,Mayor's Office of City Legislative Affairs; Mayor's Office of State Legislative Affairs; Mayor's Office of Federal Legislative Affairs (Fed Leg),,City Legislative Affairs; State Legislative Affairs,REC_000120,nyc_agencies_export
Mayor's Office of Citywide Events Coordination & Management,"Citywide Event Coordination and Management, Mayor's Office of",Mayor's Office of Citywide Event Coordination and Management,,,"Citywide Event Coordination and Management, Office of (CECM)",Office of Citywide Event Coordination and Management (CECM),"Citywide Event Coordination and Management, Office of (CECM)","Citywide Event Coordination and Management, Office of (CECM)",Mayor's Office of Citywide Event Coordination and Management (CECM),Mayor's Office of Citywide Events Coordination & Management,Office of Citywide Event Coordination and Management,OPS_000013,ops
Mayor's Office of Climate and Environmental Justice,"Climate and Environmental Justice, Mayor's Office of",Mayor's Office of Climate and Environmental Justice,,,Mayor's Office of Climate and Environmental Justice,Mayor’s Office of Climate and Environmental Justice (MOCEJ),Mayor’s Office of Climate and Environmental Justice,Mayor’s Office of Climate and Environmental Justice,Mayor's Office of Climate and Environmental Justice (MOCEJ),Mayor's Office of Climate and Environmental Justice,Office of Climate and Environmental Justice,OPS_000037,ops
Mayor's Office of Climate and Sustainability,"Climate and Sustainability, Mayor's Office of",,,,,,,,,,Mayor’s Office of Sustainability,REC_000122,nyc_agencies_export
Mayor's Office of Contract Services,"Contract Services, Mayor's Office of",Mayor's Office of Contract Services,,"Contract Services, Mayor's Office of","Contract Services, Mayor's Office of (MOCS)",Mayor’s Office of Contract Services (MOCS),"Contract Services, Mayor's Office of (MOCS)","Contract Services, Mayor's Office of (MOCS)",Mayor's Office of Contract Services (MOCS),Mayor's Office of Contract Services,Mayor’s Office of Contract Services,OPS_000039,ops
Mayor's Office of Correspondence,"Correspondence, Office of",,,,,,,,,Mayor's Office of Correspondence,,OPS_000036,ops
Mayor's Office of Criminal Justice,"Criminal Justice, Mayor's Office of",Mayor's Office of Criminal Justice,,,"Criminal Justice, Mayor's Office of",Mayors Office of Criminal Justice (MOCJ),"Criminal Justice, Mayor's Office of","Criminal Justice, Mayor's Office of",Mayor's Office of Criminal Justice (MOCJ),Mayor's Office of Criminal Justice,Office of Criminal Justice,OPS_000038,ops
Mayor's Office of Equity (MOE),,,,,Mayor's Office of Equity (MOE),,,,,,,REC_000128,nyc_agencies_export
Mayor's Office of Equity and Racial Justice,"Equity and Racial Justice, Mayor's Office of",Mayor's Office of Equity,,,,,Mayor's Office of Equity (MOE),Mayor's Office of Equity (MOE),Mayor's Office of Equity (MOE),Mayor's Office of Equity & Racial Justice,Office of Equity,OPS_000041,ops
Mayor's Office of Ethnic and Community Media,"Ethnic and Community Media, Mayor's Office of",Mayor's Office of Ethnic and Community Media,,,"Ethnic and Community Media, Mayor's Office of (MOECM)",Mayor’s Office of Ethnic and Community Media (MOECM),"Ethnic and Community Media, Mayor’s Office of (MOECM)","Ethnic and Community Media, Mayor’s Office of (MOECM)",Mayor's Office of Ethnic and Community Media (MOECM),Mayor’s Office of Ethnic & Community Media,Office of Ethnic and Community Media,OPS_000040,ops
Mayor's Office of Food Policy,"Food Policy, Office of",,,,,,,,,Mayor's Office of Food Policy,,OPS_000042,ops
Mayor's Office of Housing Recovery Operations,"Housing Recovery Operations, Mayor's Office of",Mayor's Office of Housing Recovery Operations,,,,Mayor’s Office of Housing Recovery Operations (HRO),Housing Recovery Operations (HRO),Housing Recovery Operations (HRO),Mayor's Office of Housing Recovery Operations (HRO),,Housing Recovery Operations,REC_000131,nyc_agencies_export
Mayor's Office of Immigrant Affairs,"Immigrant Affairs, Mayor's Office of",Mayor's Office of Immigrant Affairs,,,"Immigrant Affairs, Mayor's Office of (MOIA)",Mayor’s Office of Immigrant Affairs (MOIA),"Immigrant Affairs, Mayor's Office of (MOIA)","Immigrant Affairs, Mayor's Office of (MOIA)",Mayor's Office of Immigrant Affairs (MOIA),Mayor's Office of Immigrant Affairs,Office of Immigrant Affairs,OPS_000043,ops
Mayor's Office of Innovation and Emerging Markets,"Innovation and Emerging Markets, Mayor's Office of",,,,,,,,Mayor’s Office of Innovation and Emerging Markets,,,REC_000132,nyc_agencies_export
"Mayor's Office Of Management and Budget, Office of (OMB)",,,,,"Mayor's Office Of Management and Budget, Office of (OMB)",,,,,,,REC_000135,nyc_agencies_export
Mayor's Office of Media and Entertainment,"Media and Entertainment, Mayor's Office of",Mayor's Office of Media and Entertainment,,"Media and Entertainment, Mayor's Office of","Media and Entertainment, Mayor's Office of (MOME)",Mayor’s Office of Media And Entertainment (MOME),"Media and Entertainment, Mayor's Office of (MOME)","Media and Entertainment, Mayor's Office of (MOME)",Mayor's Office of Media and Entertainment (MOME),Mayor's Office of Media and Entertainment,Office of Media and Entertainment,OPS_000044,ops
Mayor's Office of Minority and Women-Owned Business Enterprises,"Minority and Women-Owned Business Enterprises, Mayor's Office of",Mayor's Office of Minority & Women Owned Business Enterprises,,,Mayor's Office of Minority and Women-Owned Business Enterprises (MWBE),,Mayor’s Office of Minority and Women-Owned Business Enterprises (MWBE),Mayor’s Office of Minority and Women-Owned Business Enterprises (MWBE),Mayor's Office of Minority and Women Owned Businesses (MWBE),Mayor's Office of Minority and Women-Owned Business Enterprises,Office of Minority and Women-Owned Business Enterprises,OPS_000057,ops
Mayor's Office of Nightlife,"Nightlife, Office of",,,,,,,,Office of Nightlife,Mayor's Office of Nightlife,Office of Nightlife,OPS_000058,ops
Mayor's Office of Operations,"Operations, Mayor's Office of",Mayor's Office of Operations,,,"Operations, Mayor's Office of (OPS)",Mayor’s Office of Operations (OPS),"Operations, Mayor's Office of (OPS)","Operations, Mayor's Office of (OPS)",Mayor's Office of Operations (OPS),Mayor's Office of Operations,Mayor's Office of Operations,OPS_000070,ops
Mayor's Office of Pensions and Investments,"Pensions and Investments, Mayor's Office of",,,,,,,,Mayor's Office of Pensions & Investments,Mayor's Office of Pensions and Investments,Office of Pensions and Investments,OPS_000048,ops
Mayor's Office of Policy and Planning,"Policy and Planning, Mayor's Office of",Mayor's Office of Policy and Planning,,,,,,"Office of the Director, Policy and Planning",Mayor's Office of Policy and Planning,Mayor's Office of Policy and Planning,Office of Policy and Planning,OPS_000049,ops
Mayor's Office of Special Enforcement,"Special Enforcement, Mayor's Office of",Mayor's Office of Special Enforcement,,,"Special Enforcement, Mayor's Office of (OSE)",,"Special Enforcement, Mayor’s Office of (OSE)","Special Enforcement, Mayor’s Office of (OSE)",Office of Special Enforcement (OSE),Mayor's Office of Special Enforcement,Office of Special Enforcement,OPS_000071,ops
Mayor's Office of Special Projects and Community Events,"Special Projects and Community Events, Mayor's Office of",Mayor's Office of Special Projects and Community Events,,,Mayor's Office of Special Projects & Community Events (MOSPCE),,Mayor's Office of Special Projects & Community Events (MOSPCE),Mayor's Office of Special Projects & Community Events (MOSPCE),Mayor's Office of Special Projects and Community Events (MOSPCE),Mayor's Office of Special Projects and Community Events,Office of Special Projects and Community Events,OPS_000052,ops
Mayor's Office of Sports and Recreation,,,,,,,,,,Mayor's Office of Sports and Recreation,,OPS_000079,ops
Mayor's Office of Strategic Partnerships,"Strategic Partnerships, Mayor's Office of",Mayor's Office of Strategic Partnerships,,,Mayor's Office of Strategic Partnerships (OSP),,Mayor's Office of Strategic Partnerships (OSP),Mayor's Office of Strategic Partnerships (OSP),,Mayor's Office of Strategic Partnerships,Office of Strategic Partnerships,OPS_000072,ops
Mayor's Office of Talent and Workforce Development,"Talent and Workforce Development, Mayor's Office of",,,,"Talent and Workforce Development, Mayor's Office of",,,,,Mayor’s Office of Talent and Workforce Development,,OPS_000059,ops
Mayor's Office of Urban Agriculture,"Urban Agriculture, Mayor's Office of",Mayor's Office of Urban Agriculture,,,"Urban Agriculture, Mayor's Office of",,"Urban Agriculture, Mayor’s Office of","Urban Agriculture, Mayor’s Office of",Mayor's Office of Urban Agriculture,Mayor's Office of Urban Agriculture,,OPS_000053,ops
