Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID_x,RecordID_y,HeadOfOrganizationTitle,HeadOfOrganizationURL,Name - NYC.gov Redesign,RecordID,Name - Ops,data_source
Chief Advisor to the Mayor,"Mayor, Chief Advisor to the",Active,Mayoral Office,,,Mayor's Office,Mayor's Office,Press Release,"January 10, 2022 Press Release",https://a860-gpp.nyc.gov/concern/nyc_government_publications/8k71nm387?locale=en,Mayor Eric Adams announces former deputy Brooklyn borough president Chaplain Ingrid Lewis-Martin as the new Chief Advisor to the Mayor.,,,,,,,Chief Advisor to the Mayor,,,2022.0,,chief-advisor-to-the-mayor,2024-07-29,,,,Office of the Chief Advisor to the Mayor,,,Chief Advisor to the Mayor,,,,Chief Advisor to the Mayor,"Mayor, Chief Advisor to the",,,chief advisor to the mayor,REC_000022,,,,,REC_000039,,nyc_agencies_export
Chief Housing Officer,Chief Housing Officer,Active,Mayoral Office,,,Mayor's Office,Mayor's Office,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,Chief Housing Officer,,,2022.0,2023.0,chief-housing-officer,2024-07-29,,,,Office of the Chief Housing Officer,,,Chief Housing Officer,,,,Chief Housing Officer,Chief Housing Officer,,,chief housing officer,REC_000023,,,,,REC_000040,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chief medical examiner,,REC_000021,Chief Medical Examiner,https://www.nyc.gov/site/ocme/index.page,"Chief Medical Examiner, NYC Office of (OCME)",REC_000126,Office of the Chief Medical Examiner,ops
Chief Technology Officer,Chief Technology Officer,Active,Mayoral Office,,,Mayor's Office,First Deputy Mayor,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,,,,2014.0,,chief-technology-officer,2024-07-29,,,,,,,,,,,Chief Technology Officer,Chief Technology Officer,,,chief technology officer,REC_000248,,,,,REC_000041,,nyc_agencies_export
Child Care Advisory Board,Child Care Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 24-B, Section 620",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6542,"Board established. There is hereby established a child care advisory board. 1.   The board shall be comprised of the following members: (a)   The commissioner of health and mental hygiene, or such commissioner's designee; (b)   The commissioner of the administration for children's services, or such commissioner's designee; (c)   The chancellor of the city school district, or such chancellor's designee; (d)   One member to be appointed by the mayor; (e)   One member to be appointed by the speaker of the council; (f)   One member to be appointed by the comptroller; (g)   One member to be appointed by the public advocate; and (h)   Such other members as deemed necessary by the mayor, who shall also be appointed by such mayor.",,,,,,,,,,2022.0,,child-care-advisory-board,2024-07-29,,,,,,,,,,,Child Care Advisory Board,Child Care Advisory Board,,,child care advisory board,REC_000024,,,,,REC_000181,Child Care Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,child care early childhood education,,REC_000022,,https://www.nyc.gov/site/childcare/index.page,"Child Care and Early Childhood Education, Office for (OCCECE)",REC_000042,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,child care task force,,,,,,REC_000189,Child Care Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,child fatality review advisory team,,,,,,REC_000193,Child Fatality Review Advisory Team,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,childcare early childhood education,,,,,,REC_000061,Office of Childcare and Early Childhood Education,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,children cabinet,,REC_000124,Executive Director ,https://www.nyc.gov/site/childrenscabinet/index.page,NYC Children's Cabinet,REC_000087,New York City Children's Cabinet,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,children services administration,,REC_000023,Commissioner,https://www.nyc.gov/site/acs/index.page,"Children's Services, Administration for (ACS)",REC_000043,,nyc_gov
Children's Cabinet,Children's Cabinet,Active,Mayoral Office,"The NYC Children’s Cabinet enables coordination and communication between government agencies and other partners that serve the City’s youth. Its mission is to help align City efforts and resources towards ensuring that all of New York City’s children can reach healthy, successful adulthood.",https://www1.nyc.gov/site/childrenscabinet/index.page,Mayor's Office,Deputy Mayor for Strategic Initiatives,Press Release,"January 28, 2016 Press Release",https://a860-gpp.nyc.gov/concern/nyc_government_publications/h702q854v?locale=en,"The de Blasio administration today announced the appointment of members to the newly created NYC Children’s Cabinet Advisory Board. The Board will allow City agencies that comprise the Cabinet to leverage the expertise, relationships and resources of non-government experts. Members of the Board include appointees from all five boroughs in academia, faith, media, business, technology, the non-profit sector and the judiciary.",,,,,,Megan Tackney,Executive Director,,,2014.0,,childrens-cabinet,2024-07-29,,,NYC Children's Cabinet,NYC Children's Cabinet,,Children's Cabinet,,Children's Cabinet,,,Children's Cabinet,Children's Cabinet,Megan,Tackney,children's cabinet,REC_000171,,,,,REC_000044,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig american museum natural history,,,,,,REC_000147,CIG American Museum of Natural History,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig ballet,,,,,,REC_000292,CIG New York City Ballet,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig bronx county historical society,,,,,,REC_000159,CIG Bronx County Historical Society,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig bronx museum arts,,,,,,REC_000169,CIG Bronx Museum of the Arts,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig brooklyn academy music,,,,,,REC_000153,CIG Brooklyn Academy of Music (BAM),ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig brooklyn botanical garden,,,,,,REC_000155,CIG Brooklyn Botanical Garden,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig brooklyn children museum,,,,,,REC_000161,CIG Brooklyn Children's Museum,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig brooklyn museum,,,,,,REC_000170,CIG Brooklyn Museum,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig carnegie hall,,,,,,REC_000180,CIG Carnegie Hall,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig center,,,,,,REC_000296,CIG New York City Center,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig el museo del barrio,,,,,,REC_000280,CIG El Museo del Barrio,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig flushing council culture arts flushing town hall,,,,,,REC_000228,CIG Flushing Council on Culture and the Arts / Flushing Town Hall,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig jamaica center arts learning,,,,,,REC_000253,CIG Jamaica Center for Arts and Learning,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig jazz at lincoln center,,,,,,REC_000254,CIG Jazz at Lincoln Center,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig lincoln center performing arts,,,,,,REC_000262,CIG Lincoln Center for the Performing Arts,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig metropolitan museum art,,,,,,REC_000272,CIG Metropolitan Museum of Art,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig museum city new york,,,,,,REC_000281,CIG Museum of the City of New York,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig museum jewish heritage,,,,,,REC_000257,CIG Museum of Jewish Heritage,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig museum modern art,,,,,,REC_000273,CIG Museum of Modern Art,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig museum moving image,,,,,,REC_000283,CIG Museum of the Moving Image,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig new york botanical garden,,,,,,REC_000291,CIG New York Botanical Garden,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig new york hall science,,,,,,REC_000304,CIG New York Hall of Science,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig ps 1 contemporary art center,,,,,,REC_000317,CIG PS 1 Contemporary Art Center,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig public theater,,,,,,REC_000319,CIG Public Theater,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig queens botanical garden,,,,,,REC_000320,CIG Queens Botanical Garden,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig queens museum art,,,,,,REC_000322,CIG Queens Museum of Art,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig queens theatre park,,,,,,REC_000323,CIG Queens Theatre in the Park,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig snug harbor cultural center botanical garden,,,,,,REC_000348,CIG Snug Harbor Cultural Center and Botanical Garden (SHCC),ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig staten island childrens museum,,,,,,REC_000344,CIG Staten Island Children’s Museum,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig staten island historical society,,,,,,REC_000345,CIG Staten Island Historical Society,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig staten island museum,,,,,,REC_000346,CIG Staten Island Museum (also known as SIIAS),ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig staten island zoological society,,,,,,REC_000347,CIG Staten Island Zoological Society,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig studio museum harlem,,,,,,REC_000282,CIG Studio Museum in Harlem,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig wave hill,,,,,,REC_000372,CIG Wave Hill,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig weeksville heritage center,,,,,,REC_000376,CIG Weeksville Heritage Center,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cig wildlife conservation society,,,,,,REC_000373,CIG Wildlife Conservation Society,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citizens advisory committee,,,,,,REC_000176,Citizens' Advisory Committee (DCLA),ops
Citizens' Advisory Committee for Cultural Plan,Citizens' Advisory Committee for Cultural Plan,Active,"Advisory, Oversight, or Regulatory Body",,,Department of Cultural Affairs,Department of Cultural Affairs,New York City Charter,"Chapter 67, Section 2506",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3995,"The department shall establish a citizens' advisory committee to advise the department with respect to the development of the cultural plan, gathering community input for such plan, and how to implement such plan.",,,,,,,,,,2017.0,,citizens-advisory-committee-for-cultural-plan,2024-07-29,,,,,,,,,,,Citizens' Advisory Committee for Cultural Plan,Citizens' Advisory Committee for Cultural Plan,,,citizens' advisory committee for cultural plan,REC_000025,,,,,REC_000045,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city clerk,,REC_000024,Clerk of the Council,https://www.cityclerk.nyc.gov/content/,"City Clerk, Office of the (CLERK)",REC_000393,Office of the City Clerk,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city commission human rights,,,,,,REC_000184,City Commission on Human Rights,ops
City Council,City Council,Active,Elected Office,"The Council monitors the operation and performance of city agencies, makes land use decisions and has sole responsibility for approving the city's budget. It also legislates on a wide range of other subjects. The Council is an equal partner with the Mayor in the governing of New York City.",http://council.nyc.gov/,,The People of the City of New York,New York City Charter,"Chapter 2, Section 21",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-294,"There shall be a council which shall be the legislative body of the city. In addition to the other powers vested in it by this charter and other law, the council shall be vested with the legislative power of the city. Any enumeration of powers in this charter shall not be held to limit the legislative power of the council, except as specifically provided in this charter.",,,NYCC,,102.0,,Speaker,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=City+Council+%28NYCC%29,,1653.0,,city-council,2024-07-29,,,"City Council, New York","City Council, New York",City Council (NYCC),City Council (NYCC),,City Council,City Council,City Council,City Council (NYCC),City Council (NYCC),,,city council,REC_000026,,,,,REC_000395,City Council,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city council new york,,REC_000025,Speaker ,https://council.nyc.gov/,"City Council, New York",REC_000046,,nyc_gov
Department of City Planning,"City Planning, Department of",Active,Mayoral Agency,"The Department of City Planning (DCP) oversees land use planning for New York City, utilizing zoning regulations to promote strategic growth and sustainable communities throughout the five boroughs.",http://www.nyc.gov/planning,Mayor's Office,"Deputy Mayor for Housing, Economic Development and Workforce",New York City Charter,"Chapter 8, Section 191",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-796,"There shall be a department of city planning, the head of which shall be the director of city planning. The director of city planning shall be the chair and a member of the city planning commission and shall serve at the pleasure of the mayor.",,,DCP,,30.0,Dan Garodnick,Director,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+City+Planning+%28DCP%29,,1938.0,,department-of-city-planning,2024-07-29,,,"City Planning, Department of (DCP)","City Planning, Department of (DCP)",Department of City Planning (DCP),Department of City Planning (DCP),Department of City Planning,Department of City Planning,City Planning,Department of City Planning,Department of City Planning (DCP),"City Planning, Department of (DCP)",Dan,Garodnick,city department planning,REC_000045,,,,,REC_000090,Department of City Planning,ops
City Planning Commission,City Planning Commission,Active,"Advisory, Oversight, or Regulatory Body",,https://www.nyc.gov/site/planning/about/commission.page,,Independent,New York City Charter,"Chapter 8, Section 192",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-809,"There shall be a city planning commission the members of which shall be the city planning commissioner who shall be the chair, and twelve other members to be appointed as follows: six by the mayor, each borough president shall appoint one member.",,,,,,,,,,1936.0,,city-planning-commission,2024-07-29,,,,,,,,City Planning Commission,City Planning Commission,,City Planning Commission,City Planning Commission,,,city planning commission,REC_000027,,,,,REC_000199,City Planning Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city planning department,,REC_000026,Director,https://www.nyc.gov/site/planning/index.page,"City Planning, Department of (DCP)",REC_000047,,nyc_gov
City University Construction Fund,City University Construction Fund,Active,Authority or Public Benefit Corporation,,https://www.cuny.edu/about/administration/offices/fpcm/cucf/,,,New York State Law,,,,,,CUCF,,,,,,,1966.0,,city-university-construction-fund,2024-07-29,,,,,,,,City University Construction Fund,City University Construction Fund,City University Construction Fund,City University Construction Fund (CUCF),City University Construction Fund (CUCF),,,city university construction fund,REC_000028,,,,,REC_000048,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city university new york,,REC_000027,Chancellor,https://www.cuny.edu/,City University of New York (CUNY),REC_000049,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city university new york board trustees,,,,,,REC_000207,CUNY Board of Trustees,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city university new york construction fund board trustees,,,,,,REC_000208,CUNY Construction Fund Board of Trustees,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city university new york task force,,,,,,REC_000209,CUNY Task Force,ops
City University of New York,City University of New York,Active,Non-Mayoral Agency,"The City University of New York (CUNY) is the largest urban university in the US, serving more than 400,000 students.",http://www.cuny.edu/,,Deputy Mayor for Strategic Initiatives,New York State Law,"Chapter 16, Article 125, Section 6203",https://www.nysenate.gov/legislation/laws/EDN/6203,"City university of New York. The separate and distinct body corporate designated as the board of higher education in the city of New York shall be continued and shall hereinafter be known as the city university of New York. The city university shall have the powers and privileges of colleges and shall be subject to the visitation of the regents of the university of the state of New York. The city university shall have the care, custody, control, and management of the lands, grounds, buildings, facilities and equipment used for the purposes of the educational units of the city university and it shall have the power to protect, preserve and improve the same. Each existing unit of the city university shall be given an appropriate and distinctive designation.",,,CUNY,,42.0,Félix V. Matos Rodríguez,Chancellor,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=City+University+of+New+York+%28CUNY%29,,1847.0,,city-university-of-new-york,2024-07-29,,,City University of New York (CUNY),City University of New York (CUNY),City University of New York (CUNY),City University of New York (CUNY),,City University of New York,City University of New York,City University of New York,City University of New York (CUNY),City University of New York (CUNY),Félix,Rodríguez,city university of new york,REC_000029,,,,,REC_000050,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citywide administrative services department,,REC_000028,Commissioner,https://www.nyc.gov/site/dcas/index.page,"Citywide Administrative Services, Department of (DCAS)",REC_000051,,nyc_gov
Department of Citywide Administrative Services,"Citywide Administrative Services, Department of",Active,Mayoral Agency,,https://www.nyc.gov/site/dcas/index.page,Mayor's Office,First Deputy Mayor,New York City Charter,"Chapter 35, Section 810",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6723,"There shall be a department of citywide administrative services, the head of which shall be the commissioner of citywide administrative services. The commissioner may appoint deputies within available appropriations.",,,DCAS,,,,,,,1996.0,,department-of-citywide-administrative-services,2024-07-29,,,,,,,,,,,Department of Citywide Administrative Services (DCAS),"Citywide Administrative Services, Department of (DCAS)",,,citywide department administrative services,REC_000046,,,,,REC_000088,Department of Citywide Administrative Services,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citywide event coordination management,,REC_000029,Executive Director ,https://www.nyc.gov/site/cecm/index.page,"Citywide Event Coordination and Management, Office of (CECM)",REC_000052,,nyc_gov
Civic Engagement Commission,Civic Engagement Commission,Active,Mayoral Agency,"The Civic Engagement Commission strives to enhance civic participation, promote civic trust, and strengthen democracy in New York City.",https://www1.nyc.gov/site/civicengagement/index.page,Mayor's Office,Mayor's Office of Engagement,New York City Charter,"Chapter 76, Section 3200",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5084,"There shall be a civic engagement commission, the purpose of which is to enhance civic participation in order to enhance civic trust and strengthen democracy in New York city, including through the commission's own initiatives and partnership with public and private entities related to civic service, volunteerism, stewardship of public spaces, civic education, participatory budgeting, participation in community boards, civic organizations and community groups, and other related activities, and to support and encourage New Yorkers to meaningfully participate in civic life.",,,CEC,,,Sarah Sayeed,Chair and Executive Director,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Civic+Engagement+Commission+%28CEC%29,,2019.0,,civic-engagement-commission,2024-07-29,,,Civic Engagement Commission (CEC),Civic Engagement Commission (CEC),Civic Engagement Commission (CEC),Civic Engagement Commission (CEC),Civic Engagement Commission,Civic Engagement Commission,,,Civic Engagement Commission (CEC),Civic Engagement Commission (CEC),Sarah,Sayeed,civic engagement commission,REC_000030,REC_000030,Chair and Executive Director,https://www.nyc.gov/site/civicengagement/index.page,Civic Engagement Commission (CEC),REC_000190,Civic Engagement Commission,ops
Office of Civil Justice,"Civil Justice, Office of",Active,Division,,,Human Resources Administration,Human Resources Administration,New York City Charter,"Chapter 1, Section 13-b",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-85,"The mayor shall establish an office of civil justice. Such office may, but need not, be established in the executive office of the mayor and may be established as a separate office, within any other office of the mayor or within any department, the head of which is appointed by the mayor. Such office shall be headed by a coordinator who shall be appointed by the mayor or the head of such department. For the purposes of this section only, ""coordinator"" shall mean the coordinator of the office of civil justice.",,,,,,,,,,2014.0,,office-of-civil-justice,2024-07-29,,,,,,,,,,,Office of Civil Justice,"Civil Justice, Office of",,,civil office justice,REC_000188,,,,,REC_000053,,nyc_agencies_export
Civil Service Commission,Civil Service Commission,Active,"Advisory, Oversight, or Regulatory Body",The Civil Service Commission functions as a quasi-judicial body for individual appeals from disciplinary actions and appeals from decisions of the Commissioner of the Department of Citywide Administrative Services and acts as guardian of the City's merit system.,http://www.nyc.gov/csc,,Independent,New York City Charter,"Chapter 35, Section 813",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6726,"There shall be a city civil service commission, consisting of five members, not more than three of whom shall be members of the same political party. Members shall be appointed by the mayor, from a list of nominations provided by the screening committee established pursuant to subdivision b of this section, for overlapping terms of six years. Of the members first appointed, two shall serve for two years and two for four years and one for six years. The members shall be removable in the manner provided for members of a municipal civil service commission in the civil service law. A vacancy in such commission shall be filled in the same manner as regular appointments for the balance of the unexpired term. The mayor shall designate a member as chair and vice chair, respectively, for one-year terms. Within appropriations for such purposes, the members of the commission shall be reimbursed on a per diem basis for attendance at regularly scheduled meetings and hearings of the commission.",,,CSC,,134.0,Nancy G. Chaffetz,Commissioner and Chair,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Civil+Service+Commission,,1883.0,,civil-service-commission,2024-07-29,,,Civil Service Commission (CSC),Civil Service Commission (CSC),Civil Service Commission,Civil Service Commission (CSC),Civil Service Commission,Civil Service Commission,"Civil Service Commission, City",Civil Service Commission,Civil Service Commission (CSC),Civil Service Commission (CSC),Nancy,Chaffetz,civil service commission,REC_000031,REC_000031,Commissioner and Chair,https://www.nyc.gov/site/csc/index.page,Civil Service Commission (CSC),REC_000205,Civil Service Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil service commission screening committee,,,,,,REC_000206,Civil Service Commission Screening Committee,ops
Civilian Complaint Review Board,Civilian Complaint Review Board,Active,"Advisory, Oversight, or Regulatory Body",The agency takes complaints from people who believe they’ve experienced misconduct by a NYC police officer and want to file a complaint. The CCRB is impartial and not part of the police department.,http://www.nyc.gov/ccrb,,Independent,New York City Charter,"Chapter 18-A, Section 440",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6814,"It is in the interest of the people of the city of New York and the New York city police department that the investigation of complaints concerning misconduct by officers of the department towards members of the public be complete, thorough and impartial. These inquiries must be conducted fairly and independently, and in a manner in which the public and the police department have confidence. An independent civilian complaint review board is hereby established as a body comprised solely of members of the public with the authority to investigate allegations of police misconduct as provided in this section.",,,CCRB,,54.0,Jonathan Darche,Executive Director,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Civilian+Complaint+Review+Board+%28CCRB%29,,1953.0,,civilian-complaint-review-board,2024-07-29,,,Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board,Civilian Complaint Review Board,Civilian Complaint Review Board,Civilian Complaint Review Board,Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board (CCRB),Jonathan,Darche,civilian complaint review board,REC_000032,REC_000032,Executive Director ,https://www.nyc.gov/site/ccrb/index.page,Civilian Complaint Review Board (CCRB),REC_000085,Civilian Complaint Review Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,climate change adaptation taskforce,,,,,,REC_000182,Climate Change Adaptation Taskforce,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,climate mobilization advisory board,,,,,,REC_000196,Climate Mobilization Advisory Board,ops
Office of Climate Resiliency,"Climate Resiliency, Office of",Reorganized,Mayoral Office,,,,,Mayoral Executive Order,"Executive Order 4, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/st74cs877?locale=en,"The Office of Long-Term Planning and Sustainability shall be established within the Office of the Mayor and hereafter be designated as the Office of Climate and Environmental Justice, except in court documents, contracts and any other situation where the name “Office of Long-Term Planning and Sustainability” is legally required. Such office shall perform the functions delineated in section 20 of the Charter as well as those functions that have been performed by the former Office of Climate and Sustainability and the Office of Climate Resiliency.",,,MOCR,,,,,,,,,office-of-climate-resiliency,2024-07-29,,,,,,Office of Climate Resiliency (MOCR),,,,,Office of Climate Resiliency (MOCR),"Climate Resiliency, Office of (MOCR)",,,climate office resiliency,REC_000189,,,,,REC_000054,,nyc_agencies_export
Office of Collective Bargaining,"Collective Bargaining, Office of",Active,Mayoral Agency,,https://www.ocb-nyc.org/,Mayor's Office,Mayor's Office,New York City Charter,"Chapter 54, Section 1171",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3432,"There shall be in the office of collective bargaining a board of collective bargaining, which shall consist of seven members. Two members of the board shall be city members, two members of the board shall be labor members, and three members of the board, of whom one shall be chairman, shall be impartial members. The mayor shall have the power to appoint the city members of the board to serve at his pleasure, and the labor members of the board from designations by the municipal labor committee. Each labor and city member shall have an alternate, who shall be appointed and removed in the same manner as the member for whom he is the alternate.",,,OCB,,313.0,,,,,1967.0,,office-of-collective-bargaining,2024-07-29,,,,,,Office of Collective Bargaining (OCB),Office of Collective Bargaining,Office of Collective Bargaining,"Collective Bargaining, Office of",Office of Collective Bargaining,Office of Collective Bargaining (OCB),"Collective Bargaining, Office of (OCB)",,,collective office bargaining,REC_000190,,,,,REC_000055,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial waste zone safety task force,,,,,,REC_000211,Commercial Waste Zone Safety Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commission combat police corruption,,REC_000034,Acting Chair,https://www.nyc.gov/site/ccpc/index.page,Commission to Combat Police Corruption (CCPC),REC_000187,Commission to Combat Police Corruption,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commission community reinvestment closure rikers island,,,,,,REC_000188,Commission on Community Reinvestment and the Closure of Rikers Island,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commission gender equality,,REC_000033,Execuitive Director,https://www.nyc.gov/content/genderequity/pages/,Commission on Gender Equality (CGE),REC_000056,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commission gender equity,,,,,,REC_000194,Commission on Gender Equity,ops
