Name,Name - Preferred,NYC Administrative Organization Type,Agency Operational Status,Parent Organization,Authorizing Authority,Legal Citation,Legal Citation URL,Legal Citation Text,Additional Citation,Additional Citation URL
records information services,Department of Records and Information Services,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 72, Section 3000",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4358,"There shall be a department of records and information services which shall include, but not be limited to, municipal archives, a municipal reference and research center and municipal records management division. The head of the department shall be the commissioner, who shall be appointed by the mayor.",,
sanitation,Department of Sanitation,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 31, Section 751",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2380,There shall be a department of sanitation the head of which shall be the commissioner of sanitation.,,
department of small business services,Department of Small Business Services,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 56, Section 1300",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6826,"There shall be a department of small business services, the head of which shall be the commissioner of small business services. The commissioner may appoint deputies within available appropriations.",,
board of elections,Board of Elections,Non-Mayoral Agency,Active,,New York City Charter,"Chapter 46-A, Section 1057-aa",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6192,The board of elections in the city of New York shall adopt all necessary rules and carry out all necessary staff training to carry out the provisions of this chapter.,,
department of social services,Department of Social Services,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 24, Section 601",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2140,There shall be a department of social services the head of which shall be the commissioner of social services.,,
county clerk,City Clerk,,Duplicate,,,,,,,
transportation,Department of Transportation,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 71, Section 2901",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4284,"There shall be a department of transportation, the head of which shall be the commissioner of transportation.",,
department of information technology and telecommunications,Department of Information Technology and Telecommunications,Mayoral Agency,Only active for legal purposes,Office of Technology and Innovation,,"Chapter 48, Section 1070",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6801,There shall be a department of information technology and telecommunications the head of which shall be the commissioner of information technology and telecommunications and the chief information officer of the city.,,
department of veterans services,Department of Veteran Services,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 75, Section 3101",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4465,"There shall be a department of veterans' services, the head of which shall be the commissioner of veterans' services. The commissioner may appoint deputies within available appropriations.",,
youth and community development,Department of Youth and Community Development,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 30, Section 735",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6716,"There shall be a department of youth and community development, the head of which shall be the commissioner of youth and community development.",,
downtown brooklyn partnership,Downtown Brooklyn Partnership,Non-Governmental Organization,Active,,New York State Law,,,,,
collective bargaining office of,Office of Collective Bargaining,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 54, Section 1171",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3432,"There shall be in the office of collective bargaining a board of collective bargaining, which shall consist of seven members. Two members of the board shall be city members, two members of the board shall be labor members, and three members of the board, of whom one shall be chairman, shall be impartial members. The mayor shall have the power to appoint the city members of the board to serve at his pleasure, and the labor members of the board from designations by the municipal labor committee. Each labor and city member shall have an alternate, who shall be appointed and removed in the same manner as the member for whom he is the alternate.",,
environmental control board,Environmental Control Board,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 45-A, Section 1049-a",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6838,"There shall be in the office of administrative trials and hearings an environmental control board consisting of the commissioner of environmental protection, the commissioner of sanitation, the commissioner of buildings, the commissioner of health and mental hygiene, the police commissioner, the fire commissioner and the chief administrative law judge of the office of administrative trials and hearings, who shall be chair, all of whom shall serve on the board without compensation and all of whom shall have the power to exercise or delegate any of their functions, powers and duties as members of the board, and six persons to be appointed by the mayor, with the advice and consent of the city council, who are not otherwise employed by the city, one to be possessed of a broad general background and experience in the field of air pollution control, one with such background and experience in the field of water pollution control, one with such background and experience in the field of noise pollution control, one with such background and experience in the real estate field, one with such background and experience in the business community, and one member of the public, and who shall serve for four-year terms. Such members shall be compensated at a rate that may be specified by the chair and approved by the mayor. Within the board's appropriation, the chair may appoint an executive director, subject to the approval of the board, and such hearing officers, including non-salaried hearing officers, and other employees as the chair may from time to time find necessary for the proper performance of the board's duties. The board shall be convened by the chairperson or in his or her absence a deputy commissioner of the office of administrative trials and hearings or at the request of any three members thereof. Five members of the board, at least two of whom shall not be city officials, shall constitute a quorum.",,
equal employment practices commission,Equal Employment Practices Commission,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 36, Section 830",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2576,"There shall be an equal employment practices commission which shall review, evaluate and monitor the employment procedures, practices and programs of any city agency and the department of citywide administrative services to maintain an effective affirmative employment program of equal employment opportunity for minority group members and women who are employed by or who seek employment with city agencies. b.   The commission shall consist of five members who, shall be compensated on a per diem basis. The mayor and the council shall each appoint two members. In addition, the mayor and the speaker of the council shall appoint a fifth member to serve as the chair of the commission for a term of four years.",,
finance,Department of Finance,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 58, Section 1501",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3643,"There shall be a department of finance, the head of which shall be the commissioner of finance.",,
financial information services agency,Financial Information Services Agency,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 58, Section 1511",,There shall be a financial information services agency the head of which shall be the executive director of financial information services​​,,
financial information services agency office of payroll administration,Financial Information Services Agency - Office of the Payroll Administration,,Duplicate,,,,,,,
office of payroll administration,Office of Payroll Administration,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 39, Section 870",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2678,"There shall be an office of payroll administration which shall be headed by two directors appointed by the mayor, one of whom shall be appointed upon the recommendation of the comptroller. The directors may be city employees. They shall receive no compensation for their services to the office (except that a city employee may continue to receive regular compensation) but shall be compensated for expenses actually and necessarily incurred in the performance of their duties.",,
fire department new york city,Fire Department,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 19, Section 481",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1743,There shall be a fire department the head of which shall be the commissioner.,,
greenyc,GreeNYC,Division,Active,Mayor's Office of Climate and Environmental Justice,,,,,,
loft board,New York City Loft Board,"Advisory, Oversight, or Regulatory Body",Active,,New York State Law,"Chapter 61-A, Article 7-C, Section 282",https://www.nysenate.gov/legislation/laws/MDW/282,"Establishment of special loft unit. 1. In order to resolve complaints of owners of interim multiple dwellings and of residential occupants of such buildings qualified for the protection of this article, and to act upon hardship applications made pursuant to this article, a special loft unit referred to herein as the ""loft board"" shall be established which shall consist of from four to nine members representative of the public, the real estate industry, loft residential tenants, and loft manufacturing interests, and a chairperson, all to be appointed by the mayor of the municipality and to serve such terms as he may designate. The compensation of the members of the loft board shall be fixed by the mayor. The members of the loft board shall not be considered employees of the state or the municipality, provided, however, that state or municipal employees or officers may be named to the loft board. The mayor shall establish the loft board within ninety days of the effective date of chapter three hundred forty-nine of the laws of nineteen hundred eighty-two. The loft board shall have such office and staff as shall be necessary to carry out functions conferred upon it and may request and receive assistance from any state or municipal agency or department. The loft board shall have the following duties: (i) the determination of interim multiple dwelling status and other issues of coverage pursuant to this article; (ii) the resolution of all hardship appeals brought under this article; (iii) the determination of any claim for rent adjustment under this article by an owner or tenant; (iv) the issuance, after a public hearing, and the enforcement of rules and regulations governing minimum housing maintenance standards in interim multiple dwellings (subject to the provisions of this chapter and any local building code), rent adjustments prior to legalization, compliance with this article and the hearing of complaints and applications made to it pursuant to this article; and (v) determination of controversies arising over the fair market value of a residential tenant's fixtures or reasonable moving expenses.",,
independent budget office nyc,Independent Budget Office,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 11, Section 259",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1263,"There shall be an independent budget office to be headed by a director who shall be appointed upon the recommendation of the independent budget office advisory board, by a special committee convened for this purpose. Such committee shall consist of the comptroller, the public advocate, a borough president chosen by the borough presidents, and a council member chosen by the council, and shall act by majority vote.",,
consumer and worker protection,Department of Consumer and Worker Protection,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 64, Section 2203",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5704,"There shall be a department of consumer and worker protection, the head of which shall be the commissioner of consumer and worker protection.",,
taxi limousine commission,Taxi and Limousine Commission,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 65, Section 2300",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3908,"There shall be a New York city taxi and limousine commission, the purposes of which shall be the continuance, further development and improvement of taxi and limousine service in the city of New York. It shall be the further purpose of the commission, consonant with the promotion and protection of the public comfort and convenience to adopt and establish an overall public transportation policy governing taxi, coach, limousine, wheelchair accessible van services and commuter van services as it relates to the overall public transportation network of the city; to establish certain rates, standards of service, standards of insurance and minimum coverage; standards for driver safety, standards for equipment safety and design; standards for noise and air pollution control; and to set standards and criteria for the licensing of vehicles, drivers and chauffeurs, owners and operators engaged in such services; all as more particularly set forth herein.",,
landmarks preservation commission,Landmarks Preservation Commission,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 74, Section 3020",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4431,"There shall be a landmarks preservation commission consisting of eleven members. The membership of such commission shall include at least three architects, one historian qualified in the field, one city planner or landscape architect, and one realtor. The membership shall include at least one resident of each of the five boroughs.",,
latin media entertainment commission,Latin Media & Entertainment Commission,"Advisory, Oversight, or Regulatory Body",Active,,Mayoral Executive Order,"Executive Order 43, 2003",https://a860-gpp.nyc.gov/concern/nyc_government_publications/9k41zd787?locale=en,This Executive Order by the Mayor announces the establishment of the Commission on Latin Media and Entertainment.,,
law department office of the corporation counsel,Law Department,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 17, Section 391",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1595,There shall be a law department the head of which shall be the corporation counsel.,,
tax appeals tribunal new york city,Tax Appeals Tribunal,Division,Active,Office of Administrative Tax Appeals,New York City Charter,"Chapter 7, Section 168",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6818,"An independent tax appeals tribunal is hereby established. Such tribunal shall be within the office of administrative tax appeals established under section one hundred fifty of this charter. The tribunal shall have jurisdiction to hear and determine cases initiated by the filing of petitions protesting notices issued by the commissioner of finance, which give a person the right to a hearing, including but not limited to any notice of determination of tax due, of a tax deficiency, of a denial of a refund or credit application or of the refusal to grant, the suspension or the revocation of a license issued pursuant to chapter thirteen of title eleven of the administrative code, which notices relate to nonproperty taxes, excise taxes and annual vault charges imposed by the city, except those taxes and charges administered by the State of New York on behalf of the City of New York. For purposes of the preceding sentence, if the commissioner of finance fails to act with respect to a refund application before the expiration of the time period after which the taxpayer may file a petition for refund with the tribunal pursuant to subdivision (c) of section 11-529 or subdivision three of section 11-680 of the administrative code, such failure shall be deemed to be a notice of denial of a refund issued by the commissioner of finance pursuant to such subdivision. The tribunal shall review petitions and other documents submitted to it, hold hearings, and render decisions as provided in this chapter. In rendering its decisions on claims asserted by taxpayers or the commissioner of finance, the tribunal shall have the same power and authority as the commissioner of finance to impose, modify or waive any taxes within its jurisdiction, interest thereon, and any applicable civil penalties. In appeals in which the rules of the commissioner of finance are at issue, the tribunal shall have the power and authority to rule on the legality of such rules.",,
made in new york,Made in New York,Non-Governmental Organization,Active,,New York State Law,,,,,
mayors office for international affairs,Mayor's Office for International Affairs,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 185, 2012",https://a860-gpp.nyc.gov/concern/nyc_government_publications/mk61rh241?locale=en,The 185th executive order from Mayor Michael R. Bloomberg orders a reorganization of various offices to create the Mayor's Office for International Affairs,,
mayors office of housing recovery operations,Mayor's Office of Housing Recovery Operations,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 87, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/dj52w799w?locale=en,"The Mayor's Office of Housing Recovery Operations is continued within the Office of the Mayor and shall coordinate or assist in the City operations related to housing issues for City residents impacted by major disasters, including those related to extreme weather or disease.",,
mayors office of innovation and emerging markets,Mayor's Office of Innovation and Emerging Markets,Mayoral Office,Active,Mayor's Office,Press Release,"January 23, 2023 Press Release",https://www.nyc.gov/office-of-the-mayor/news/052-23/mayor-adams-new-initiative-communicate-directly-new-yorkers,"New York City Mayor Eric Adams today announced a new initiative to communicate directly with New Yorkers about updates from the administration and services the administration has unlocked for New Yorkers. Those who sign up will receive digital communications directly from Mayor Adams with information about new initiatives and policies, local events, and more.",,
mayors office of sustainability,Mayor's Office of Sustainability,Mayoral Office,Inactive,,Mayoral Executive Order,"Executive Order 4, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/st74cs877?locale=en,"The Office of Long-Term Planning and Sustainability shall be established within the Office of the Mayor and hereafter be designated as the Office of Climate and Environmental Justice, except in court documents, contracts and any other situation where the name “Office of Long-Term Planning and Sustainability” is legally required. Such office shall perform the functions delineated in section 20 of the Charter as well as those functions that have been performed by the former Office of Climate and Sustainability and the Office of Climate Resiliency.",,
civic engagement commission,Civic Engagement Commission,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 76, Section 3200",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5084,"There shall be a civic engagement commission, the purpose of which is to enhance civic participation in order to enhance civic trust and strengthen democracy in New York city, including through the commission's own initiatives and partnership with public and private entities related to civic service, volunteerism, stewardship of public spaces, civic education, participatory budgeting, participation in community boards, civic organizations and community groups, and other related activities, and to support and encourage New Yorkers to meaningfully participate in civic life.",,
metropolitan transportation authority,Metropolitan Transportation Authority,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
city planning commission,City Planning Commission,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 8, Section 192",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-809,"There shall be a city planning commission the members of which shall be the city planning commissioner who shall be the chair, and twelve other members to be appointed as follows: six by the mayor, each borough president shall appoint one member.",,
mayors advisory committee on the judiciary,Mayor's Advisory Committee on the Judiciary,"Advisory, Oversight, or Regulatory Body",Active,,Mayoral Executive Order,Executive Order 14 of 2022,https://www.nyc.gov/office-of-the-mayor/news/014-002/executive-order-14,"The Mayor’s Advisory Committee on the Judiciary (hereinafter called the Committee) hereby is established in the Office of the Mayor to recruit, to evaluate, to consider and to nominate judicial candidates highly qualified for appointment and to evaluate the incumbent judges for reappointment to the following courts within The City of New York: Criminal Court, Family Court and, for interim appointments, Civil Court.",,
mayors judiciary committee,Mayor's Judiciary Committee,,Duplicate,,,,,,,
new york city water supply system,New York City Water Supply System,,Out of Scope,,"New York City Watershed MOU, 1997",,https://dos.ny.gov/system/files/documents/2020/08/nyc_watershed_moa_1997.pdf,,,
borough historians,Borough Historians,"Advisory, Oversight, or Regulatory Body",Active,,New York State Law,"Chapter 11-C, Title U, Article 57, Section 57.07",https://www.nysenate.gov/legislation/laws/ACA/57.07,"Local historian; appointment; maintenance of historical edifices. 1. A local historian shall be appointed, as provided in this section, for each city, town or village, except that in a city of over one million inhabitants a local historian shall be appointed for each borough therein instead of for the city at large; and a county historian may be appointed for each county. Such historian shall be appointed as follows: For a city, by the mayor; for a borough, by the borough president; for a town, by the supervisor; for a village, by the mayor; for a county, by the board of supervisors. Such historian shall serve without compensation, unless the governing board of the city, town, village or county for or in which he or she was appointed or in the city of New York, the mayor, shall otherwise provide. In a city having a board of estimate, other than the city of New York, a resolution or ordinance establishing compensation or salary for such historian shall not take effect without the concurrence of such board. Each local government historian shall promote the establishment and improvement of programs for the management and preservation of local government records with enduring value for historical or other research; encourage the coordinated collection and preservation of nongovernmental historical records by libraries, historical societies, and other repositories; and carry out and actively encourage research in such records in order to add to the knowledge, understanding and appreciation of the community's history. The local authorities of the city, town, village or county for which such historian is appointed, may provide the historian with sufficient space in a safe, vault or other fire proof structure for the preservation of historical materials collected. Such local authorities and also the board of supervisors of each of the counties of the state are hereby authorized and empowered to appropriate, raise by tax and expend moneys for historical purposes within their several jurisdictions, including historical edifices, the erection of historical markers and monuments, the collection of war mementos, and, either alone or in cooperation with patriotic or historical organizations, the preparation and publication of local histories and records and the printing and issuing of other historical materials in aid of the work of the local historian.",,
borough historical societies,Borough Historical Societies,Non-Governmental Organization,Active,,New York State Law,,,,,
broadway theater,Broadway Theater,Non-Governmental Organization,Active,,New York State Law,,,,,
brooklyn bridge park corporation,Brooklyn Bridge Park Corporation,Authority or Public Benefit Corporation,Active,,MOU,Memorandum of Understanding by and between the State of New York and the City of New York regarding Brooklyn Bridge Park,https://www.brooklynbridgepark.org/wp-content/uploads/2020/10/FEIS_Appendix-A.-Memorandum-of-Understanding.pdf,,,
brooklyn navy yard,Brooklyn Navy Yard Development Corporation,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
brooklyn public library,Brooklyn Public Library,Non-Governmental Organization,Active,,New York State Law,,,,,
center for innovation through data intelligence,Center for Innovation through Data Intelligence,Mayoral Office,Active,Mayor's Office,?,,,,,
center for older workforce development,Center for Older Workforce Development,Mayoral Office,Inactive,,,,,,,
charter revision commission,Charter Revision Commission,"Advisory, Oversight, or Regulatory Body",Active,,New York State Law,"Chapter 36-A, Article 4, Part 2, Section 36",https://www.nysenate.gov/legislation/laws/MHR/36,Provisions for adoption of new or revised city charter proposed by a charter commission. 1. A local law providing a new or revised city charter also may be adopted in any city pursuant to the provisions of this section.,,
chief efficiency officer,Chief Efficiency Officer,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 13, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/6d570023t?locale=en,"There shall be a Chief Efficiency Officer appointed by the Mayor, who shall be responsible for: Developing updated metrics to improve government transparency, performance and accountability; Determining the “time tax” on New Yorkers and improving delivery of services, informing the investment of new services, and increasing customer satisfaction; Identifying opportunities to reduce regulations and streamline business processes; and Reviewing the City budget and evaluating new needs through the lens of service performance improvement.",,
chief housing officer,Chief Housing Officer,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,
counsel to the mayor,Chief Counsel to the Mayor,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 17, Section 391",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1595,There shall be a law department the head of which shall be the corporation counsel.,,
debt service,Debt Service,,Unable to locate,,,,,,,
democracynyc,DemocracyNYC,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 88, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/7d278x68v?locale=en,The Mayor of New York City establishes DemocracyNYC under the direction of the Civic Engagement Commission. The program shall encourage greater civic and voter engagement by developing communication strategies and conducting citywide outreach efforts.,,
deputy mayor for economic and workforce development,Deputy Mayor for Economic and Workforce Development,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,
deputy mayor for health and human services,Deputy Mayor for Health and Human Services,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,
deputy mayor for public safety,Deputy Mayor for Public Safety,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,
deputy mayor for strategic initiatives,Deputy Mayor for Strategic Initiatives,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,
nyc office of asylum seeker operations,NYC Office of Asylum Seeker Operations,Mayoral Office,Active,Mayor's Office,Press Release,"March 7, 2023 Press Release",https://www.nyc.gov/office-of-the-mayor/news/158-23/mayor-adams-releases-the-road-forward-new-blueprint-handle-asylum-seeker-crisis-moving-forward#/0,"Mayor Adams announced he will create the Office of Asylum Seeker Operations (OASO) to focus solely on coordinating the city’s continued response with a focus on resettlement and legal services, as well as a new 24/7 arrival center for asylum seekers.",,
economic development corporation,Economic Development Corporation,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
educational construction fund,Educational Construction Fund,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
eeo officer,EEO Officer,,Policy,,,,,,,
family court of the state of new york city of new york,Family Court of the State of New York - City of New York,Judiciary,Active,,New York State,,,,,
federal affairs,Federal Affairs,Division,Active,Mayor's Office of Intergovernmental Affairs,?,,,,,
fire department pension fund related funds,Fire Department Pension Fund & Related Funds,Fiduciary Fund,Active,,New York State,,,,,
fire museum nyc,"Fire Museum, NYC",Non-Governmental Organization,Active,,New York State Law,,,,,
first deputy mayor,First Deputy Mayor,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,
governors island trust for,"Governors Island, Trust for",Non-Governmental Organization,Active,,New York State Law,,,,,
gracie mansion,Gracie Mansion,Non-Governmental Organization,Active,,New York State Law,,,,,
grand central partnership,Grand Central Partnership,Non-Governmental Organization,Active,,New York State Law,,,,,
tax appeals office of administrative,Office of Administrative Tax Appeals,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 7, Section 150",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-680,"There shall be an office of administrative tax appeals, which shall consist of the tax commission established by section one hundred fifty-three of this charter and the tax appeals tribunal established by section one hundred sixty-eight of this charter and shall provide staff and administrative assistance to such commission and such tribunal. The office of administrative tax appeals shall operate pursuant to a written agreement between the president of the tax commission and the president of the tax appeals tribunal, and shall be headed by a director appointed in accordance with such agreement. Such director may be the president of the tax commission or the president of the tax appeals tribunal or both. If there is no such agreement, such office shall provide staff and administrative assistance to such commission and such tribunal in accordance with the respective powers of such presidents.",,
grownyc,GrowNYC,Non-Governmental Organization,Active,,New York State Law,,,,,
health and hospitals corporation,NYC Health + Hospital,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
health hospitals board of directors nyc,"Health + Hospitals / Board of Directors, NYC","Advisory, Oversight, or Regulatory Body",Active,,New York State Law,,,,,
health payments,HEALTH PAYMENTS,,Unable to locate,,,,,,,
housing development corporation,Housing Development Corporation,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
hudson yards infrastructure corporation,Hudson Yards Infrastructure Corporation,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
office of administrative trials and hearings,Office of Administrative Trial and Hearings,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 45-A, Section 1048",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6837,"There shall be an office of administrative trials and hearings which shall conduct adjudicatory hearings for all agencies of the city unless otherwise provided for by executive order, rule, law or pursuant to collective bargaining agreements. The office shall be directed by the chief administrative law judge, who shall be an attorney admitted to practice for at least five years in the state of New York. The chief administrative law judge shall be appointed by the mayor.",,
library new york public,New York Public Library,Non-Governmental Organization,Active,,New York State Law,,,,,
lower manhattan development corporation,Lower Manhattan Development Corporation,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
office of climate resiliency,Office of Climate Resiliency,Mayoral Office,Inactive,,Mayoral Executive Order,"Executive Order 4, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/st74cs877?locale=en,"The Office of Long-Term Planning and Sustainability shall be established within the Office of the Mayor and hereafter be designated as the Office of Climate and Environmental Justice, except in court documents, contracts and any other situation where the name “Office of Long-Term Planning and Sustainability” is legally required. Such office shall perform the functions delineated in section 20 of the Charter as well as those functions that have been performed by the former Office of Climate and Sustainability and the Office of Climate Resiliency.",,
mayors committee on city marshals,Mayor's Committee on City Marshals,"Advisory, Oversight, or Regulatory Body",Active,,New York State Law,"Chapter 693, Article 16, Section 1601",https://www.nysenate.gov/legislation/laws/CCA/1601,"An independent committee on city marshals is hereby created. The committee shall consist of fifteen members, of whom six shall be selected by the mayor, three each shall be selected by the presiding justices of the first and second judicial departments and three shall be selected by the deans of law schools located within the city of New York. Performance of this function shall be rotated annually among such eligible deans. The members chosen by the mayor and the presiding justices shall serve for a term concurrent with the mayor's term of office. The members chosen by the law school deans shall serve one year. Vacancies in the committee shall be filled in the same manner as initial appointments.",,
mayors fund to advance nyc,Mayor's Fund to Advance New York City,Non-Governmental Organization,Active,,New York State Law,,,,,
mayors office chief of staff,Mayor's Office Chief of Staff,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,
mayors office for economic opportunity,Mayor's Office for Economic Opportunity,Mayoral Office,Active,Mayor's Office,Press Release,"May 16, 2017 Press Release",https://www.nyc.gov/office-of-the-mayor/news/311-17/mayor-de-blasio-release-poverty-measure-report-first-statistically-significant#/0,"The newly-designated Mayor’s Office for Economic Opportunity (NYC Opportunity) evolved from its origins in two separate but related mayoral units – the Center for Economic Opportunity and HHS-Connect. The Center was created a decade ago as one of the country’s first municipal innovation labs, and HHS-Connect was created to use data and technology to more holistically support clients of the City's health and human services.",,
labor relations office of,Office of Labor Relations,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 54, Section 1170",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3430,"There shall be an office of collective bargaining, the head of which shall be the director of such office, who shall be the person holding the office of chairman of the board of collective bargaining. The director may appoint, and at pleasure remove, two deputies.",,
