Name_1,Name_2,Label
brooklyn community board 13,brooklyn community board 11,No Match
brooklyn community board 14,brooklyn community board 1,No Match
brooklyn community board 14,brooklyn community board 4,No Match
brooklyn community board 14,brooklyn community board 10,No Match
brooklyn community board 14,brooklyn community board 11,No Match
brooklyn community board 15,brooklyn community board 1,No Match
brooklyn community board 15,brooklyn community board 5,No Match
brooklyn community board 15,brooklyn community board 10,No Match
brooklyn community board 15,brooklyn community board 11,No Match
brooklyn community board 16,brooklyn community board 1,No Match
brooklyn community board 16,brooklyn community board 6,No Match
brooklyn community board 16,brooklyn community board 10,No Match
brooklyn community board 16,brooklyn community board 11,No Match
brooklyn community board 17,brooklyn community board 1,No Match
brooklyn community board 17,brooklyn community board 7,No Match
brooklyn community board 17,brooklyn community board 10,No Match
brooklyn community board 17,brooklyn community board 11,No Match
brooklyn community board 18,brooklyn community board 1,No Match
brooklyn community board 18,brooklyn community board 8,No Match
brooklyn community board 18,brooklyn community board 10,No Match
brooklyn community board 18,brooklyn community board 11,No Match
chief counsel to the mayor,counsel to the mayor,Match
commission on racial equity,nyc commission on racial equity,Match
commission on racial equity,commission on gender equity,No Match
department of citywide administrative services,citywide administrative services,Match
department of consumer and worker protection,department of consumer worker protection,Match
department of consumer and worker protection,consumer and worker protection,Match
department of correction,department of probation,No Match
department of correction,department of education,No Match
department of housing preservation and development,housing preservation and development,Match
department of investigation,department of sanitation,No Match
department of probation,department of education,No Match
department of probation,department of transportation,No Match
department of probation,department of correction,No Match
department of probation,department of sanitation,No Match
department of sanitation,department of transportation,No Match
department of sanitation,department of investigation,No Match
department of sanitation,department of probation,No Match
department of sanitation,department of education,No Match
department of small business services,department of homeless services,No Match
department of transportation,department of sanitation,No Match
department of transportation,department of probation,No Match
department of veteran services,department of veterans services,Match
department of veteran services,department of homeless services,No Match
department of veteran services,department of social services,No Match
department of youth and community development,youth and community development,Match
financial information services agency office of the payroll administration,financial information services agency office of payroll administration,Match
fire department,police department,No Match
independent budget office,independent budget office nyc,Match
manhattan borough presidents office,manhattan borough president,Match
manhattan borough presidents office,bronx borough presidents office,No Match
manhattan borough presidents office,queens borough presidents office,No Match
manhattan community board 1,manhattan community board 10,No Match
manhattan community board 1,manhattan community board 11,No Match
manhattan community board 1,manhattan community board 12,No Match
manhattan community board 1,manhattan community board 2,No Match
manhattan community board 2,manhattan community board 12,No Match
manhattan community board 2,manhattan community board 1,No Match
manhattan community board 2,manhattan community board 3,No Match
manhattan community board 2,manhattan community board 4,No Match
manhattan community board 3,manhattan community board 1,No Match
manhattan community board 3,manhattan community board 2,No Match
manhattan community board 3,manhattan community board 4,No Match
manhattan community board 3,manhattan community board 5,No Match
manhattan community board 4,manhattan community board 1,No Match
manhattan community board 4,manhattan community board 2,No Match
manhattan community board 4,manhattan community board 3,No Match
manhattan community board 4,manhattan community board 5,No Match
manhattan community board 5,manhattan community board 1,No Match
manhattan community board 5,manhattan community board 2,No Match
manhattan community board 5,manhattan community board 3,No Match
manhattan community board 5,manhattan community board 4,No Match
manhattan community board 6,manhattan community board 1,No Match
manhattan community board 6,manhattan community board 2,No Match
manhattan community board 6,manhattan community board 3,No Match
manhattan community board 6,manhattan community board 4,No Match
manhattan community board 7,manhattan community board 1,No Match
manhattan community board 7,manhattan community board 2,No Match
manhattan community board 7,manhattan community board 3,No Match
manhattan community board 7,manhattan community board 4,No Match
manhattan community board 8,manhattan community board 1,No Match
manhattan community board 8,manhattan community board 2,No Match
manhattan community board 8,manhattan community board 3,No Match
manhattan community board 8,manhattan community board 4,No Match
manhattan community board 9,manhattan community board 1,No Match
manhattan community board 9,manhattan community board 2,No Match
manhattan community board 9,manhattan community board 3,No Match
manhattan community board 9,manhattan community board 4,No Match
manhattan community board 10,manhattan community board 1,No Match
manhattan community board 10,manhattan community board 11,No Match
manhattan community board 10,manhattan community board 12,No Match
manhattan community board 10,manhattan community board 2,No Match
manhattan community board 11,manhattan community board 1,No Match
manhattan community board 11,manhattan community board 10,No Match
manhattan community board 11,manhattan community board 12,No Match
manhattan community board 11,manhattan community board 2,No Match
manhattan community board 12,manhattan community board 1,No Match
manhattan community board 12,manhattan community board 2,No Match
manhattan community board 12,manhattan community board 10,No Match
manhattan community board 12,manhattan community board 11,No Match
mayors community affairs unit,community affairs unit,Match
mayors office for the prevention of hate crimes,office for the prevention of hate crimes,Match
mayors office nyc service,mayors office of contract services,No Match
mayors office of administrative services,office of administrative services,Match
mayors office of administrative services,mayors office of contract services,No Match
mayors office of appointments,office of appointments,Match
mayors office of appointments,mayors office of pensions investments,No Match
mayors office of capital project development,office of capital project development,Match
mayors office of citywide event coordination and management,office of citywide event coordination and management,Match
mayors office of contract services,mayors office of administrative services,No Match
mayors office of correspondence,office of correspondence,Match
mayors office of environmental coordination,mayors office of environmental remediation,No Match
mayors office of environmental coordination,office of environmental coordination,Match
mayors office of environmental coordination,office of environmental remediation,No Match
mayors office of ethnic and community media,office of ethnic and community media,Match
mayors office of immigrant affairs,office of immigrant affairs,Match
mayors office of intergovernmental affairs,office of intergovernmental affairs,Match
mayors office of intergovernmental affairs,mayors office for international affairs,No Match
mayors office of media and entertainment,office of media and entertainment,Match
mayors office of minority women owned business enterprises,mayors office of minority and womenowned business enterprises,Match
mayors office of minority women owned business enterprises,office of minority and womenowned business enterprises,Match
mayors office of operations,mayors office of communications,No Match
mayors office of special enforcement,office of special enforcement,Match
mayors office of special projects and community events,mayors office of special projects community events,Match
mayors office of special projects and community events,office of special projects and community events,Match
mayors office of sports wellness and recreation,office of sports wellness and recreation,Match
new york city employees retirement system,nyc employees retirement system,Match
nyc fire pension fund,nyc police pension fund,No Match
nyc police pension fund,police pension fund,Match
nyc police pension fund,nyc fire pension fund,No Match
office of administrative trial and hearings,office of administrative trials and hearings,Match
office of emergency management,nyc emergency management,Match
office of technology and innovation,office of technology innovation,Match
office of technology and innovation,office of technology and innovation new york city,Match
office of the chief medical examiner,office of chief medical examiner,Match
police department,fire department,No Match
queens borough presidents office,queens borough president,Match
queens borough presidents office,bronx borough presidents office,No Match
queens borough presidents office,brooklyn borough presidents office,No Match
queens borough presidents office,staten island borough presidents office,No Match
queens community board 1,queens community board 10,No Match
queens community board 1,queens community board 11,No Match
queens community board 1,queens community board 12,No Match
queens community board 1,queens community board 13,No Match
queens community board 2,queens community board 12,No Match
queens community board 2,queens community board 1,No Match
queens community board 2,queens community board 3,No Match
queens community board 2,queens community board 4,No Match
queens community board 3,queens community board 13,No Match
queens community board 3,queens community board 1,No Match
queens community board 3,queens community board 2,No Match
queens community board 3,queens community board 4,No Match
queens community board 4,queens community board 14,No Match
queens community board 4,queens community board 1,No Match
queens community board 4,queens community board 2,No Match
queens community board 4,queens community board 3,No Match
queens community board 5,queens community board 1,No Match
queens community board 5,queens community board 2,No Match
queens community board 5,queens community board 3,No Match
queens community board 5,queens community board 4,No Match
queens community board 6,queens community board 1,No Match
queens community board 6,queens community board 2,No Match
queens community board 6,queens community board 3,No Match
queens community board 6,queens community board 4,No Match
queens community board 7,queens community board 1,No Match
queens community board 7,queens community board 2,No Match
queens community board 7,queens community board 3,No Match
queens community board 7,queens community board 4,No Match
queens community board 8,queens community board 1,No Match
queens community board 8,queens community board 2,No Match
queens community board 8,queens community board 3,No Match
queens community board 8,queens community board 4,No Match
queens community board 9,queens community board 1,No Match
queens community board 9,queens community board 2,No Match
queens community board 9,queens community board 3,No Match
queens community board 9,queens community board 4,No Match
queens community board 10,queens community board 1,No Match
queens community board 10,queens community board 11,No Match
queens community board 10,queens community board 12,No Match
queens community board 10,queens community board 13,No Match
queens community board 11,queens community board 1,No Match
queens community board 11,queens community board 10,No Match
queens community board 11,queens community board 12,No Match
queens community board 11,queens community board 13,No Match
queens community board 12,queens community board 1,No Match
queens community board 12,queens community board 2,No Match
queens community board 12,queens community board 10,No Match
queens community board 12,queens community board 11,No Match
queens community board 13,queens community board 1,No Match
queens community board 13,queens community board 3,No Match
queens community board 13,queens community board 10,No Match
queens community board 13,queens community board 11,No Match
queens community board 14,queens community board 1,No Match
queens community board 14,queens community board 4,No Match
queens community board 14,queens community board 10,No Match
queens community board 14,queens community board 11,No Match
staten island borough presidents office,staten island borough president,Match
staten island borough presidents office,queens borough presidents office,No Match
staten island community board 1,staten island community board 2,No Match
staten island community board 1,staten island community board 3,No Match
staten island community board 2,staten island community board 1,No Match
staten island community board 2,staten island community board 3,No Match
staten island community board 3,staten island community board 1,No Match
staten island community board 3,staten island community board 2,No Match
nyc municipal water finance authority,municipal water finance authority,Match
transitional finance authority,transitional finance authority nyc,No Match
transitional finance authority,transitional finance authority new york city,Match
transitional finance authority,new york city transitional finance authority,Match
special commissioner of investigation for the nyc school district,special commissioner of investigation for the new york city school district,Match
special commissioner of investigation for the nyc school district,the special commissioner of investigation for the new york city school district,Match
office of prosecutor special narcotics,office of prosecution special narcotics,Match
office of prosecutor special narcotics,office of special narcotics,Match
district attorney queens,district attorney queens county,Match
district attorney queens,district attorney kings,No Match
district attorney queens,district attorney,No Match
district attorney queens,district attorney bronx,No Match
office of intergovernmental affairs,mayors office of intergovernmental affairs,Match
office of intergovernmental affairs,office of international affairs,No Match
taxi limousine commission,taxi and limousine commission,Match
taxi limousine commission,nyc taxi and limousine commission,Match
city clerk,county clerk,Match
new york city water board,new york city loft board,No Match
office of environmental remediation,mayors office of environmental remediation,Match
office of environmental remediation,office of environmental coordination,No Match
office of environmental remediation,mayors office of environmental coordination,No Match
office of criminal justice,mayors office of criminal justice,Match
department of homeless services,department of veterans services,No Match
department of homeless services,department of social services,No Match
department of homeless services,department of small business services,No Match
department of homeless services,department of veteran services,No Match
department of education,department of correction,No Match
department of education,department of probation,No Match
department of education,department of sanitation,No Match
district attorney bronx,district attorney bronx county,Match
district attorney bronx,district attorney richmond,No Match
district attorney bronx,district attorney,No Match
district attorney bronx,district attorney kings,No Match
office of administrative trials and hearings,office of administrative trial and hearings,Match
office of climate and environmental justice,mayors office of climate and environmental justice,Match
department of veterans services,department of veteran services,Match
department of veterans services,department of homeless services,No Match
office of food policy,mayors office of food policy,Match
office of food policy,office of information policy,Match
nyc housing authority,housing authority nyc,Match
office of international affairs,mayors office for international affairs,Match
office of international affairs,office of intergovernmental affairs,No Match
office of special projects and community events,mayors office of special projects and community events,Match
office of special projects and community events,mayors office of special projects community events,Match
district attorney new york,district attorney new york county,Match
queens public library,queens borough public library,Match
office of citywide event coordination and management,mayors office of citywide event coordination and management,Match
office of citywide event coordination and management,citywide event coordination and management office of,Match
district attorney richmond,district attorney richmond county,Match
district attorney richmond,district attorney bronx,No Match
district attorney richmond,district attorney kings,No Match
office of minority and womenowned business enterprises,mayors office of minority and womenowned business enterprises,Match
office of minority and womenowned business enterprises,mayors office of minority women owned business enterprises,Match
office to end domestic violence and genderbased violence,mayors office to end domestic and genderbased violence,Match
office of immigrant affairs,mayors office of immigrant affairs,Match
office of environmental coordination,mayors office of environmental coordination,Match
office of environmental coordination,office of environmental remediation,No Match
office of environmental coordination,mayors office of environmental remediation,No Match
municipal water finance authority,nyc municipal water finance authority,Match
employees retirement system,nyc employees retirement system,Match
office for economic opportunity,mayors office for economic opportunity,Match
mayors fund to advance new york city,mayors fund to advance nyc,Match
office of media and entertainment,mayors office of media and entertainment,Match
office for people with disabilities,mayors office for people with disabilities,Match
office of appointments,mayors office of appointments,Match
office of chief medical examiner,office of the chief medical examiner,Match
new york city transitional finance authority,transitional finance authority,Match
new york city loft board,new york city water board,No Match
district attorney kings,district attorney kings county,Match
district attorney kings,district attorney queens,No Match
district attorney kings,district attorney,No Match
district attorney kings,district attorney bronx,No Match
office of community mental health,mayors office of community mental health,Match
office of policy and planning,mayors office of policy and planning,Match
office of policy and planning,office of the director policy and planning,Match
office of information policy,office of information privacy,Match
office of information policy,office of food policy,No Match
public engagement unit,mayors public engagement unit,Match
commission on gender equality,commission on gender equity,Match
office to protect tenants,mayors office to protect tenants,Match
office of correspondence,mayors office of correspondence,Match
state legislative affairs,city legislative affairs,No Match
city legislative affairs,state legislative affairs,No Match
office of strategic partnerships,mayors office of strategic partnerships,Match
office of administrative services,mayors office of administrative services,Match
office of pensions and investments,mayors office of pensions investments,Match
counsel to the mayor,chief counsel to the mayor,Match
office of risk management and compliance,mayors office of risk management and compliance,Match
office of youth employment,mayors office of youth employment,Match
office of equity,mayors office of equity,Match
office of sports wellness and recreation,mayors office of sports wellness and recreation,Match
office of capital project development,mayors office of capital project development,Match
office of special enforcement,mayors office of special enforcement,Match
office of ethnic and community media,mayors office of ethnic and community media,Match
actuary office of,actuary nyc office of the,Match
citywide administrative services,citywide administrative services department of,Match
citywide administrative services,department of citywide administrative services,Match
civil service commission city,civil service commission,Match
county clerk,city clerk,No Match
district attorney,district attorney bronx,No Match
district attorney,district attorney kings,No Match
district attorney,district attorney queens,No Match
economic development corporation nyc,economic development corporation,Match
economic development corporation nyc,housing development corporation nyc,No Match
emergency management nyc,nyc emergency management,Match
health mental hygiene department of,health and mental hygiene department of,Match
housing authority nyc,housing authority new york city,Match
housing authority nyc,nyc housing authority,Match
housing development corporation nyc,housing development corporation,Match
housing development corporation nyc,economic development corporation nyc,No Match
housing preservation development,housing preservation and development,Match
human rights commission on,human rights city commission on,Match
labor relations office of,labor relations nyc office of,Match
mayor office of the,mayors office of equity,No Match
new york state surrogates court kings county,new york state surrogates court queens county,No Match
new york state surrogates court kings county,new york state surrogates court richmond county,No Match
new york state surrogates court kings county,new york state surrogates court new york county,No Match
new york state surrogates court new york county,new york state surrogates court kings county,No Match
new york state surrogates court new york county,new york state surrogates court queens county,No Match
new york state surrogates court new york county,new york state surrogates court richmond county,No Match
new york state surrogates court queens county,new york state surrogates court kings county,No Match
new york state surrogates court queens county,new york state surrogates court new york county,No Match
new york state surrogates court queens county,new york state surrogates court richmond county,No Match
new york state surrogates court richmond county,new york state surrogates court kings county,No Match
new york state surrogates court richmond county,new york state surrogates court queens county,No Match
new york state surrogates court richmond county,new york state surrogates court new york county,No Match
office of special narcotics,office of prosecutor special narcotics,Match
office of special narcotics,office of prosecution special narcotics,Match
office of technology innovation,office of technology and innovation,Match
school construction authority nyc,school construction authority,Match
transitional finance authority nyc,transitional finance authority,Match
transitional finance authority nyc,transitional finance authority new york city,Match
youth and community development,youth and community development department of,Match
youth and community development,department of youth and community development,Match
consumer and worker protection,consumer and worker protection department of,Match
consumer and worker protection,department of consumer and worker protection,Match
department of consumer worker protection,department of consumer and worker protection,Match
housing preservation and development,housing preservation development,Match
housing preservation and development,housing preservation and development department of,Match
housing preservation and development,department of housing preservation and development,Match
nyc taxi and limousine commission,taxi and limousine commission,Match
nyc taxi and limousine commission,taxi limousine commission,Match
office of prosecution special narcotics,office of prosecutor special narcotics,Match
office of prosecution special narcotics,office of special narcotics,Match
public administratorbronx county,public administrator bronx county,Match
public administratorbronx county,public administratorrichmond county,No Match
public administratorbronx county,public administrator richmond county,No Match
public administratorbronx county,public administratorkings county,No Match
public administratorkings county,public administrator kings county,Match
public administratorkings county,public administratorqueens county,No Match
public administratorkings county,public administrator queens county,No Match
public administratorkings county,public administratorbronx county,No Match
public administratornew york county,public administrator new york county,Match
public administratornew york county,public administratorbronx county,No Match
public administratornew york county,public administratorkings county,No Match
public administratornew york county,public administrator bronx county,No Match
public administratorqueens county,public administrator queens county,Match
public administratorqueens county,public administratorkings county,No Match
public administratorqueens county,public administrator kings county,No Match
public administratorqueens county,public administratorbronx county,No Match
public administratorrichmond county,public administrator richmond county,Match
public administratorrichmond county,public administratorbronx county,No Match
public administratorrichmond county,public administrator bronx county,No Match
public administratorrichmond county,public administratorkings county,No Match
queens borough public library,queens public library,Match
appointments mayors office of,mayors office of appointments,Match
borough president bronx,bronx borough president,Match
borough president brooklyn,brooklyn borough president,Match
borough president manhattan,manhattan borough president,Match
borough president queens,queens borough president,Match
borough president staten island,staten island borough president,Match
bronx borough president,borough president bronx,Match
brooklyn borough president,borough president brooklyn,Match
correction department of,department of correction,Match
department of correction,correction department of,Match
department of education,education department of,Match
department of finance,finance department of,Match
department of investigation,investigation department of,Match
department of transportation,transportation department of,Match
district attorney kings county,kings county district attorney,Match
district attorney new york county,new york county district attorney,Match
district attorney richmond county,richmond county district attorney,Match
education department of,department of education,Match
environmental coordination mayors office of,mayors office of environmental coordination,Match
finance department of,department of finance,Match
health hospitals nyc,nyc health hospitals,Match
immigrant affairs mayors office of,mayors office of immigrant affairs,Match
investigation department of,department of investigation,Match
kings county district attorney,district attorney kings county,Match
library new york public,new york public library,Match
manhattan borough president,borough president manhattan,Match
mayors office of appointments,appointments mayors office of,Match
mayors office of environmental coordination,environmental coordination mayors office of,Match
mayors office of immigrant affairs,immigrant affairs mayors office of,Match
mayors office of operations,operations mayors office of,Match
new york city tax commission,tax commission new york city,Match
new york county district attorney,district attorney new york county,Match
new york county public administrator,public administrator new york county,Match
new york public library,library new york public,Match
nyc health hospitals,health hospitals nyc,Match
operations mayors office of,mayors office of operations,Match
public administrator new york county,new york county public administrator,Match
public administrator queens county,queens county public administrator,Match
queens borough president,borough president queens,Match
queens county public administrator,public administrator queens county,Match
richmond county district attorney,district attorney richmond county,Match
staten island borough president,borough president staten island,Match
tax commission new york city,new york city tax commission,Match
transportation department of,department of transportation,Match
office of technology and innovation,technology and innovation nyc office of,Match
technology and innovation nyc office of,office of technology and innovation,Match
investigation for the nyc school district special commissioner of,the special commissioner of investigation for the new york city school district,Match
the special commissioner of investigation for the new york city school district,investigation for the nyc school district special commissioner of,Match
office of technology and innovation,technology and innovation nyc office of,Match
technology and innovation nyc office of,office of technology and innovation,Match
investigation for the nyc school district special commissioner of,the special commissioner of investigation for the new york city school district,Match
the special commissioner of investigation for the new york city school district,investigation for the nyc school district special commissioner of,Match
chief advisor to the mayor,office of the chief advisor to the mayor,Match
office of the chief advisor to the mayor,chief advisor to the mayor,Match
management budget office of,mayors office of management and budget office of,Match
mayors office of management and budget office of,management budget office of,Match
queens library,queens public library,Match
queens public library,queens library,Match
office of chief medical examiner,medical examiner office of chief institute of forensic sciences,Match
brooklyn navy yard,brooklyn navy yard development corporation,Match
brooklyn navy yard development corporation,brooklyn navy yard,Match
employees retirement system board of trustees nyc,nyc employees retirement system,Match
tax appeals tribunal,tax appeals tribunal new york city,Match
office of the public advocate,public advocate,Match
public advocate for the city of new york,public advocate,Match
mayors office,mayoralty,Match
mayors office,mayor office of the,Match
new york city loft board,loft board,Match
department of investigation,investigation,Match
department of education,education,Match
department of education,public schools new york city,Match
department of finance,finance,Match
fire department,fire department new york city,Match
human resources administration,human resources administration department of social services,Match
department of transportation,transportation,Match
nyc emergency management,department of emergency management,Match
office of the comptroller,comptroller,Match
police department new york city,police department,Match
city planning department of,city planning,Match
public schools new york city,education,Match
nyc health hospitals,health and hospitals corporation,Match
mayor office of the,mayoralty,Match
mayor office of the,office of the mayor of new york city,Match
office of the mayor of new york city,mayoralty,Match
department of parks and recreation,parks nyc,Match
office of the comptroller,comptroller,Match
buildings department of,buildings,Match
city council,city council new york,Match
cultural affairs department of,cultural affairs,Match
law department,law department office of the corporation counsel,Match
probation department of,probation,Match
sanitation department of,sanitation,Match
teachers retirement system of the city of new york,teachers retirement system,Match
special narcotics prosecutor nyc office of the,office of special narcotics,Match
office of the city clerk,county clerk,Match
office of the city clerk,city clerk clerk of the council,Match
citywide administrative services,dcasdivision of municipal supply service,Match
office of payroll administration,financial information services agency office of payroll administration,Match
mayors advisory committee on the judiciary,mayors judiciary committee,Match
office of the deputy mayor for communications,mayors office of communications,Match
nyc tourism conventions,nyc company,Match
fire department pension fund related funds,nyc fire pension fund,Match
talent and workforce development mayors office of,office of the executive director of talent and workforce development,Match
talent and workforce development mayors office of,office of workforce development,Match
the special commissioner of investigation for the new york city school district,special commissioner of investigation,Match
environmental protection,environmental protection department of,Match
water board,new york city water board,Match
